Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
CN,FengF,TE,https://www.vlr.gg/player/4770/fengf,59%35%6%,17,388,1.43,244,1.32,82%,184.7,0.87,0.19,1.88,0.10,0.05,25%,40%,8/20,37,338,256,75,15,8
CN,Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,71%29%,21,441,1.37,249,1.25,74%,179.9,0.90,0.17,1.26,0.19,0.15,29%,18%,2/11,33,396,317,77,29,23
CN,pl1xx,WBG,https://www.vlr.gg/player/871/pl1xx,31%25%13%+4,16,342,1.29,227,1.19,78%,154.9,0.78,0.31,2.50,0.07,0.03,19%,3%,1/29,25,267,225,106,15,6
CN,Spring,NTER,https://www.vlr.gg/player/14125/spring,54%46%,13,287,1.29,286,1.33,80%,177.0,0.98,0.18,1.45,0.20,0.15,31%,5%,1/22,32,281,211,53,55,38
CN,SWERL,RNG,https://www.vlr.gg/player/1209/swerl,69%31%,13,284,1.26,272,1.32,75%,178.6,0.96,0.19,1.70,0.23,0.13,27%,30%,3/10,33,273,207,53,51,30
CN,Maple,WBG,https://www.vlr.gg/player/5241/maple,56%38%6%,16,342,1.25,268,1.25,73%,182.7,0.92,0.21,1.55,0.26,0.19,22%,14%,2/14,29,315,253,73,59,38
CN,coldfish,GK,https://www.vlr.gg/player/3020/coldfish,69%31%,13,296,1.23,244,1.28,76%,157.0,0.86,0.27,1.65,0.09,0.06,17%,12%,7/58,32,255,199,80,28,17
CN,sphiry,4AM,https://www.vlr.gg/player/29835/sphiry,38%25%25%+1,16,358,1.20,205,1.11,74%,139.1,0.74,0.27,1.29,0.07,0.06,34%,16%,7/43,28,264,238,95,22,17
CN,Flex1n,TE,https://www.vlr.gg/player/4705/flex1n,59%41%,17,388,1.18,198,1.12,79%,115.5,0.72,0.46,1.25,0.07,0.05,28%,30%,8/27,25,278,249,179,10,8
CN,Ichiro,DRG,https://www.vlr.gg/player/3943/ichiro,53%20%13%+1,15,325,1.17,198,1.04,77%,137.0,0.68,0.45,1.00,0.07,0.07,28%,32%,14/44,25,222,214,147,19,19
CN,diseased,GK,https://www.vlr.gg/player/7106/diseased,54%46%,13,296,1.17,201,1.12,78%,140.2,0.72,0.33,1.18,0.07,0.06,24%,14%,6/42,32,213,191,98,20,17
CN,B3ar,NTER,https://www.vlr.gg/player/25329/b3ar,62%15%15%+1,13,287,1.17,178,1.08,85%,117.8,0.70,0.56,0.67,0.02,0.04,33%,9%,3/35,31,200,185,161,6,9
CN,LuoK1ng,TYL,https://www.vlr.gg/player/3045/luok1ng,38%33%19%+1,21,441,1.16,191,1.03,74%,134.4,0.70,0.38,0.85,0.06,0.08,27%,25%,6/24,25,308,299,168,11,13
CN,Chaos,ME,https://www.vlr.gg/player/14440/chaos,58%37%5%,19,425,1.16,237,1.10,74%,162.4,0.82,0.19,1.10,0.19,0.17,25%,25%,7/28,29,348,317,79,55,50
CN,signed,RNG,https://www.vlr.gg/player/1175/signed,62%23%15%,13,284,1.14,184,1.01,78%,128.0,0.65,0.46,1.22,0.05,0.04,22%,13%,5/38,20,185,183,131,11,9
CN,YOU,TE,https://www.vlr.gg/player/4710/you,35%29%24%+2,17,388,1.14,204,1.06,77%,143.5,0.72,0.33,2.83,0.11,0.04,21%,25%,2/8,35,280,265,128,17,6
CN,Hao,KZ,https://www.vlr.gg/player/37026/hao,67%33%,6,110,1.13,225,1.08,65%,145.5,0.85,0.08,1.07,0.14,0.13,44%,10%,2/21,26,94,87,9,15,14
CN,Nicc,DRG,https://www.vlr.gg/player/11524/nicc,60%27%7%+1,15,325,1.11,209,0.99,76%,144.0,0.69,0.40,2.00,0.10,0.05,24%,25%,8/32,24,224,226,130,28,14
CN,Eren,NTER,https://www.vlr.gg/player/14444/eren,31%31%15%+2,13,287,1.11,216,1.08,77%,151.7,0.78,0.32,1.24,0.10,0.08,27%,6%,1/17,28,225,209,92,26,21
CN,kawaii,iNv,https://www.vlr.gg/player/4778/kawaii,44%22%22%+1,9,176,1.10,223,1.12,70%,142.4,0.81,0.32,1.90,0.11,0.06,19%,14%,3/22,24,143,128,57,19,10
CN,Guran,DYG,https://www.vlr.gg/player/36513/guran,60%20%20%,10,216,1.10,207,1.05,75%,126.8,0.71,0.51,0.94,0.07,0.07,23%,21%,5/24,22,153,146,111,15,16
CN,LilCrazy,DYG,https://www.vlr.gg/player/14442/lilcrazy,90%10%,10,216,1.09,233,1.17,68%,145.2,0.85,0.12,1.08,0.18,0.17,32%,22%,4/18,28,183,156,26,39,36
CN,Lumo,4AM,https://www.vlr.gg/player/25258/lumo,75%19%6%,16,358,1.09,198,1.09,76%,126.2,0.70,0.37,1.13,0.06,0.05,22%,25%,8/32,29,250,229,133,18,16
