Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
CN,cxyy,NWG,https://www.vlr.gg/player/5013/cxyy,38%38%25%,8,162,,177,0.81,,,0.57,0.25,,0.05,,,,,16,92,114,41,3,0
CN,Kai,TE,https://www.vlr.gg/player/37494/kai,62%23%15%,13,268,,208,1.11,,,0.78,0.12,,0.14,,,,,24,209,188,32,8,0
CN,XiaoFei,NWG,https://www.vlr.gg/player/4711/xiaofei,38%25%25%+1,8,162,,174,0.91,,,0.63,0.32,,0.10,,,,,19,102,112,52,6,0
CN,XII,NWG,https://www.vlr.gg/player/13781/xii,100%,5,101,,279,1.54,,,1.02,0.09,,0.24,,,,,28,103,67,9,14,0
CN,LockM,NWG,https://www.vlr.gg/player/25339/lockm,50%38%13%,8,162,,185,0.93,,,0.65,0.27,,0.10,,,,,19,106,114,44,6,0
CN,FengF,TE,https://www.vlr.gg/player/4770/fengf,46%38%15%,13,268,,220,1.08,,,0.76,0.22,,0.07,,,,,26,205,190,59,4,0
CN,Flex1n,TE,https://www.vlr.gg/player/4705/flex1n,54%23%15%+1,13,268,,193,0.98,,,0.66,0.41,,0.12,,,,,21,177,180,111,7,0
CN,YOU,TE,https://www.vlr.gg/player/4710/you,31%31%23%+2,13,268,,186,0.97,,,0.65,0.31,,0.07,,,,,22,174,180,82,4,0
CN,heybay,TE,https://www.vlr.gg/player/4712/heybay,46%15%15%+2,13,268,,171,0.90,,,0.59,0.38,,0.05,,,,,17,157,175,102,3,0
CN,cloud,NWG,https://www.vlr.gg/player/3040/cloud,67%33%,3,61,,115,0.47,,,0.39,0.33,,,,,,,10,24,51,20,0,0
CN,pl1xx,WBG,https://www.vlr.gg/player/871/pl1xx,91%9%,11,218,,223,1.12,,,0.81,0.25,,,,,,,24,177,158,54,0,0
CN,zjc,ASE,https://www.vlr.gg/player/7135/zjc,40%20%20%+1,10,201,,216,1.03,,,0.76,0.20,,,,,,,21,152,148,41,0,0
CN,monk,ASE,https://www.vlr.gg/player/14431/monk,40%20%20%+1,10,201,,200,0.99,,,0.67,0.37,,,,,,,20,135,137,74,0,0
CN,Zero1,ASE,https://www.vlr.gg/player/3025/zero1,40%20%20%+1,10,201,,145,0.80,,,0.52,0.39,,,,,,,15,104,130,79,0,0
CN,Life,ASE,https://www.vlr.gg/player/3028/life,40%20%20%+1,10,201,,255,1.27,,,0.92,0.19,,,,,,,25,184,145,39,0,0
CN,PangH,NOVA,https://www.vlr.gg/player/4727/pangh,50%25%25%,4,97,,159,0.83,,,0.60,0.19,,0.04,,,,,22,58,70,18,2,0
CN,JL,NOVA,https://www.vlr.gg/player/3514/jl,100%,4,97,,221,0.99,,,0.76,0.32,,0.07,,,,,22,74,75,31,4,0
CN,o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,100%,4,97,,172,0.75,,,0.58,0.16,,0.11,,,,,20,56,75,16,6,0
CN,cb,NOVA,https://www.vlr.gg/player/39697/cb,100%,4,97,,178,0.79,,,0.59,0.27,,0.09,,,,,24,57,72,26,5,0
CN,Mike,RNG,https://www.vlr.gg/player/40408/mike,71%21%7%,14,297,,133,0.67,,,0.46,0.26,,0.05,,,,,14,137,206,77,7,0
CN,bunt,ASE,https://www.vlr.gg/player/25949/bunt,60%20%20%,10,201,,176,0.99,,,0.64,0.45,,,,,,,19,129,130,91,0,0
CN,2cy,IMAY,https://www.vlr.gg/player/40707/2cy,50%50%,4,69,,151,0.57,,,0.51,0.16,,,,,,,14,35,61,11,0,0
CN,Zoomer,WBG,https://www.vlr.gg/player/24236/zoomer,82%18%,11,218,,194,0.77,,,0.60,0.26,,,,,,,26,131,170,56,0,0
CN,nos,WBG,https://www.vlr.gg/player/36512/nos,36%27%18%+1,11,218,,141,0.62,,,0.46,0.44,,,,,,,18,101,162,95,0,0
CN,R1ckLee,WBG,https://www.vlr.gg/player/4410/r1cklee,82%18%,11,218,,191,0.99,,,0.73,0.22,,,,,,,25,159,160,49,0,0
CN,XTian,IMAY,https://www.vlr.gg/player/38659/xtian,50%50%,4,69,,151,0.54,,,0.49,0.07,,,,,,,14,34,63,5,0,0
CN,Eileen,IMAY,https://www.vlr.gg/player/38660/eileen,50%50%,4,69,,164,0.70,,,0.61,0.07,,,,,,,15,42,60,5,0,0
CN,B1ack,IMAY,https://www.vlr.gg/player/30526/b1ack,50%50%,4,69,,198,0.78,,,0.65,0.33,,,,,,,17,45,58,23,0,0
CN,shameless,IMAY,https://www.vlr.gg/player/40706/shameless,50%50%,4,69,,187,0.68,,,0.61,0.29,,,,,,,15,42,62,20,0,0
CN,TryTryz,WBG,https://www.vlr.gg/player/3018/trytryz,82%18%,11,218,,210,1.03,,,0.74,0.35,,,,,,,23,161,157,77,0,0
CN,yoman,RA,https://www.vlr.gg/player/25081/yoman,45%20%15%+2,20,396,,186,1.05,,,0.69,0.36,,,,,,,25,274,261,144,0,0
CN,YiHao,RA,https://www.vlr.gg/player/4320/yihao,45%30%15%+1,20,396,,196,1.09,,,0.73,0.40,,,,,,,24,289,264,159,0,0
CN,Viva,RA,https://www.vlr.gg/player/36415/viva,50%25%20%+1,20,396,,188,0.99,,,0.66,0.24,,,,,,,21,261,264,97,0,0
CN,MarT1n,RA,https://www.vlr.gg/player/36668/mart1n,50%50%,18,358,,195,0.97,,,0.67,0.23,,,,,,,22,241,249,83,0,0
CN,stew,RA,https://www.vlr.gg/player/16924/stew,60%30%5%+1,20,396,,243,1.20,,,0.87,0.18,,0.31,,,,,28,346,289,72,5,0
CN,SWERL,RNG,https://www.vlr.gg/player/1209/swerl,43%36%21%,14,297,,306,1.56,,,1.05,0.21,,0.24,,,,,40,311,200,62,34,0
CN,Xiaonuo,RNG,https://www.vlr.gg/player/17089/xiaonuo,64%29%7%,14,297,,209,1.09,,,0.74,0.55,,0.09,,,,,25,219,201,164,13,0
CN,Minimise,RNG,https://www.vlr.gg/player/5228/minimise,50%29%14%+1,14,297,,228,1.07,,,0.81,0.47,,0.11,,,,,23,240,224,140,16,0
CN,yCw,RNG,https://www.vlr.gg/player/24313/ycw,64%29%7%,14,297,,170,0.90,,,0.60,0.39,,0.08,,,,,18,177,197,115,12,0
CN,OBONE,NOVA,https://www.vlr.gg/player/36670/obone,50%25%25%,4,97,,198,0.89,,,0.69,0.35,,0.11,,,,,21,67,75,34,6,0
CN,happywei,NWG,https://www.vlr.gg/player/37927/happywei,38%25%25%+1,8,162,,192,0.99,,,0.70,0.10,,0.05,,,,,21,114,115,16,3,0
CN,Autumn,FPX,https://www.vlr.gg/player/872/autumn,42%25%17%+1,12,236,,227,1.06,,,0.79,0.20,,,,,,,20,186,175,47,0,0
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,56%33%11%,9,184,,213,1.15,,,0.73,0.38,,,,,,,19,135,117,70,0,0
CN,Knight,BLG,https://www.vlr.gg/player/4774/knight,43%29%14%+1,7,147,,192,0.90,,,0.67,0.39,,,,,,,22,98,109,57,0,0
CN,Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,75%25%,4,83,,175,0.66,,,0.55,0.14,,,,,,,13,46,70,12,0,0
CN,ICEKING,TYL,https://www.vlr.gg/player/4771/iceking,50%50%,4,83,,171,0.73,,,0.58,0.34,,,,,,,16,48,66,28,0,0
CN,AAK,TYL,https://www.vlr.gg/player/4773/aak,50%25%25%,4,83,,198,0.93,,,0.66,0.27,,,,,,,23,55,59,22,0,0
CN,Haodong,EDG,https://www.vlr.gg/player/4720/haodong,67%22%11%,9,184,,183,1.09,,,0.66,0.37,,,,,,,18,121,111,68,0,0
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,33%22%22%+2,9,184,,280,1.38,,,0.99,0.27,,0.19,,,,,26,182,132,49,3,0
CN,nobody,EDG,https://www.vlr.gg/player/3017/nobody,56%33%11%,9,184,,212,1.28,,,0.80,0.30,,,,,,,23,147,115,55,0,0
CN,Levius,BLG,https://www.vlr.gg/player/40845/levius,57%43%,7,147,,162,0.70,,,0.52,0.27,,,,,,,14,76,108,39,0,0
CN,Abo,TYL,https://www.vlr.gg/player/5011/abo,100%,4,83,,194,0.84,,,0.64,0.19,,,,,,,17,53,63,16,0,0
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,33%33%22%+1,9,184,,200,1.31,,,0.76,0.17,,,,,,,26,140,107,31,0,0
CN,nizhaoTZH,FPX,https://www.vlr.gg/player/4880/nizhaotzh,50%25%17%+1,12,236,,196,0.98,,,0.68,0.36,,,,,,,24,161,165,86,0,0
CN,BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,25%25%25%+2,12,236,,180,0.91,,,0.64,0.37,,,,,,,22,151,166,87,0,0
CN,AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,58%25%17%,12,236,,221,1.21,,,0.81,0.32,,,,,,,21,191,158,75,0,0
CN,Lysoar,FPX,https://www.vlr.gg/player/37489/lysoar,50%33%17%,12,236,,215,1.14,,,0.78,0.21,,,,,,,27,183,160,50,0,0
CN,whzy,BLG,https://www.vlr.gg/player/4885/whzy,43%29%29%,7,147,,255,1.13,,,0.87,0.27,,,,,,,23,128,113,39,0,0
CN,DK,BLG,https://www.vlr.gg/player/3024/dk,57%29%14%,7,147,,204,1.09,,,0.76,0.43,,,,,,,21,112,103,63,0,0
CN,Biank,BLG,https://www.vlr.gg/player/3021/biank,43%29%29%,7,147,,187,0.95,,,0.67,0.37,,,,,,,24,98,103,54,0,0
CN,Spring,NIP,https://www.vlr.gg/player/14125/spring,100%,1,22,,337,1.50,,,1.09,0.23,,0.14,,,,,24,24,16,5,3,0
CN,BeomJun,17,https://www.vlr.gg/player/24977/beomjun,100%,1,19,,,2.50,,,1.32,0.05,,,,,,,25,25,10,1,0,0
CN,Spitfires,RA,https://www.vlr.gg/player/4881/spitfires,100%,2,38,,251,1.57,,,0.95,0.45,,,,,,,18,36,23,17,0,0
CN,Artill,NH,https://www.vlr.gg/player/30524/artill,100%,1,19,,,1.00,,,0.79,0.16,,,,,,,15,15,15,3,0,0
CN,LuoK1ng,TYL,https://www.vlr.gg/player/3045/luok1ng,50%25%25%,4,83,,121,0.60,,,0.43,0.20,,,,,,,16,36,60,17,0,0
CN,Eren,NIP,https://www.vlr.gg/player/14444/eren,100%,1,22,,188,0.79,,,0.68,0.18,,0.18,,,,,15,15,19,4,4,0
CN,JayH,NIP,https://www.vlr.gg/player/7560/jayh,100%,1,22,,143,0.67,,,0.45,0.55,,0.00,,,,,10,10,15,12,0,0
CN,bryce,NIP,https://www.vlr.gg/player/7418/bryce,100%,1,22,,129,0.50,,,0.36,0.27,,0.05,,,,,8,8,16,6,1,0
CN,BEXEY,NH,https://www.vlr.gg/player/3535/bexey,100%,1,19,,,0.69,,,0.58,0.26,,,,,,,11,11,16,5,0,0
