Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Mixed,Sherlock,VDL,https://www.vlr.gg/player/42438/sherlock,100%,1,22,1.72,273,1.83,73%,179.6,1.00,0.59,1.00,0.09,0.09,23%,67%,2/3,22,22,12,13,2,2
Mixed,Zeref,PTM,https://www.vlr.gg/player/4015/zeref,100%,1,22,1.41,302,1.44,82%,200.0,1.05,0.14,2.50,0.23,0.09,29%,25%,1/4,23,23,16,3,5,2
Mixed,mwzera,FUR,https://www.vlr.gg/player/939/mwzera,60%20%20%,5,114,1.40,289,1.48,68%,184.0,1.03,0.21,1.55,0.27,0.18,24%,20%,2/10,29,117,79,24,31,20
Mixed,Fa2,VDL,https://www.vlr.gg/player/42441/fa2,100%,1,22,1.29,341,1.25,82%,202.7,1.14,0.14,3.00,0.27,0.09,32%,25%,1/4,25,25,20,3,6,2
Mixed,runneR,VIT,https://www.vlr.gg/player/21610/runner,50%50%,8,174,1.25,268,1.31,74%,170.8,0.93,0.20,1.33,0.21,0.16,25%,13%,2/16,28,162,124,35,36,27
Mixed,qRaxs,FUT,https://www.vlr.gg/player/1139/qraxs,100%,9,198,1.24,224,1.33,77%,152.7,0.87,0.46,1.14,0.04,0.04,33%,0%,0/21,28,172,129,91,8,7
Mixed,Binks,PTM,https://www.vlr.gg/player/4795/binks,100%,1,22,1.24,321,1.41,77%,191.5,1.09,0.14,0.67,0.09,0.14,13%,0%,0/1,24,24,17,3,2,3
Mixed,Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,67%33%,6,129,1.19,235,1.20,80%,157.8,0.85,0.37,2.00,0.11,0.05,24%,13%,2/15,26,110,92,48,14,7
Mixed,Xan,GRY,https://www.vlr.gg/player/11737/xan,58%42%,12,262,1.19,266,1.30,72%,171.0,0.93,0.16,1.11,0.19,0.17,31%,13%,2/15,37,244,188,42,50,45
Mixed,Anq,RGE,https://www.vlr.gg/player/2252/anq,60%40%,10,223,1.18,237,1.28,72%,152.1,0.87,0.13,1.53,0.22,0.14,27%,26%,6/23,30,194,151,30,49,32
Mixed,MrFaliN,FUT,https://www.vlr.gg/player/8044/mrfalin,44%33%22%,9,198,1.17,207,1.17,75%,143.3,0.74,0.39,1.53,0.15,0.10,20%,18%,4/22,20,147,126,77,29,19
Mixed,ezzy,MDL,https://www.vlr.gg/player/7485/ezzy,36%27%27%+1,11,231,1.16,215,1.17,75%,146.4,0.77,0.35,0.94,0.07,0.08,35%,16%,4/25,25,179,153,82,17,18
Mixed,cNed,FUT,https://www.vlr.gg/player/573/cned,56%44%,9,198,1.13,229,1.25,71%,160.2,0.89,0.11,1.44,0.18,0.13,26%,14%,3/21,29,176,141,21,36,25
Mixed,Venka,GRY,https://www.vlr.gg/player/27336/venka,42%33%25%,12,262,1.12,235,1.24,75%,148.8,0.84,0.14,1.43,0.16,0.11,33%,26%,6/23,23,220,178,37,43,30
Mixed,Paradox,MDL,https://www.vlr.gg/player/10463/paradox,27%27%27%+2,11,231,1.10,232,1.08,72%,145.1,0.81,0.33,0.93,0.11,0.12,31%,7%,2/27,22,186,172,77,26,28
Mixed,t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,67%33%,6,129,1.09,230,1.23,69%,147.8,0.88,0.09,1.47,0.22,0.15,21%,10%,1/10,23,113,92,12,28,19
Mixed,d1srupt,TRS,https://www.vlr.gg/player/7434/d1srupt,59%29%12%,17,387,1.07,220,1.14,68%,144.3,0.82,0.13,1.36,0.19,0.14,29%,10%,4/42,29,316,276,51,72,53
Mixed,Kohliii,GRY,https://www.vlr.gg/player/10758/kohliii,92%8%,12,262,1.06,193,0.99,74%,124.8,0.66,0.53,1.20,0.07,0.06,25%,6%,2/31,22,174,175,138,18,15
Mixed,Kicks,VIT,https://www.vlr.gg/player/11134/kicks,88%13%,8,174,1.06,178,1.07,74%,116.0,0.68,0.40,0.67,0.06,0.09,22%,12%,2/17,23,118,110,70,10,15
Mixed,Tbone,VDL,https://www.vlr.gg/player/42440/tbone,100%,1,22,1.06,250,1.06,73%,167.0,0.82,0.23,2.00,0.18,0.09,19%,0%,0/1,18,18,17,5,4,2
Mixed,blaZek1ng,GE,https://www.vlr.gg/player/1743/blazek1ng,60%40%,5,109,1.05,196,1.03,72%,130.7,0.68,0.34,0.50,0.04,0.07,30%,11%,2/19,20,74,72,37,4,8
Mixed,Harshhh,RGE,https://www.vlr.gg/player/3277/harshhh,50%30%20%,10,223,1.05,210,1.03,75%,142.7,0.71,0.33,1.70,0.08,0.04,23%,17%,6/35,20,159,154,74,17,10
Mixed,Mast3r,RES,https://www.vlr.gg/player/15363/mast3r,40%40%20%,5,91,1.05,219,1.03,62%,143.3,0.78,0.14,0.43,0.07,0.15,20%,6%,1/16,22,71,69,13,6,14
Mixed,DOXZ3R,DWF,https://www.vlr.gg/player/4089/doxz3r,33%33%17%+1,6,128,1.04,195,0.98,67%,131.2,0.69,0.25,1.17,0.05,0.05,33%,14%,4/28,22,88,90,32,7,6
Mixed,Whimp,MDL,https://www.vlr.gg/player/5536/whimp,36%27%27%+1,11,231,1.04,208,1.08,71%,137.9,0.73,0.24,1.00,0.09,0.09,30%,12%,3/25,23,168,156,56,21,21
Mixed,Techno,TRS,https://www.vlr.gg/player/27775/techno,65%24%6%+1,17,387,1.04,194,1.01,72%,129.4,0.70,0.38,1.14,0.09,0.07,29%,17%,8/46,26,271,269,147,33,29
Mixed,Meteor,GEN,https://www.vlr.gg/player/13039/meteor,100%,6,129,1.03,197,1.11,67%,140.2,0.70,0.17,1.00,0.09,0.09,28%,10%,2/20,19,90,81,22,11,11
Mixed,Hoax,GRY,https://www.vlr.gg/player/3639/hoax,75%25%,12,262,1.02,165,0.94,76%,106.5,0.59,0.50,0.64,0.03,0.05,22%,19%,7/36,18,155,165,130,9,14
Mixed,Karon,GEN,https://www.vlr.gg/player/34974/karon,100%,6,129,1.02,178,0.98,74%,119.3,0.67,0.40,1.22,0.09,0.07,35%,42%,5/12,21,87,89,52,11,9
Mixed,Destrian,VIT,https://www.vlr.gg/player/1615/destrian,63%38%,8,174,1.01,194,0.97,71%,125.2,0.64,0.40,0.81,0.07,0.09,26%,22%,4/18,19,111,115,70,13,16
Mixed,DEATHMAKER,TRS,https://www.vlr.gg/player/3628/deathmaker,53%24%6%+3,17,387,1.01,207,1.00,68%,145.8,0.72,0.21,0.81,0.12,0.15,27%,20%,8/40,31,277,277,82,47,58
Mixed,ceNder,VIT,https://www.vlr.gg/player/4321/cender,38%25%25%+1,8,174,1.01,178,0.99,71%,117.2,0.65,0.34,0.82,0.05,0.06,31%,19%,4/21,21,113,114,60,9,11
Mixed,AlphaClasher,PTM,https://www.vlr.gg/player/30561/alphaclasher,100%,1,22,1.00,180,1.00,86%,126.2,0.64,0.27,0.50,0.05,0.09,17%,0%,0/2,14,14,14,6,1,2
Mixed,Polvi,GE,https://www.vlr.gg/player/1839/polvi,60%40%,5,109,0.99,218,1.03,59%,139.7,0.75,0.10,0.72,0.17,0.23,23%,38%,3/8,24,82,80,11,18,25
Mixed,vibhoRR,GRY,https://www.vlr.gg/player/3268/vibhorr,42%25%25%+1,12,262,0.99,194,0.97,73%,129.2,0.67,0.32,1.24,0.08,0.06,31%,19%,7/36,23,175,181,84,21,17
Mixed,Sayf,VIT,https://www.vlr.gg/player/312/sayf,63%25%13%,8,174,0.98,199,1.07,67%,130.3,0.71,0.25,0.54,0.07,0.14,26%,20%,3/15,20,123,115,43,13,24
Mixed,Excali,RGE,https://www.vlr.gg/player/3271/excali,50%20%20%+1,10,223,0.98,173,0.90,68%,118.9,0.59,0.38,0.71,0.07,0.09,34%,24%,4/17,21,132,146,84,15,21
Mixed,Aryu,TRS,https://www.vlr.gg/player/9741/aryu,35%24%18%+3,17,387,0.98,190,0.96,68%,135.5,0.68,0.21,0.70,0.04,0.05,25%,19%,12/62,31,264,274,82,14,20
Mixed,LeVi,DWF,https://www.vlr.gg/player/18704/levi,50%33%17%,6,128,0.98,199,0.95,72%,136.3,0.71,0.26,1.08,0.10,0.09,35%,29%,5/17,22,91,96,33,13,12
Mixed,Lightningfast,GE,https://www.vlr.gg/player/3626/lightningfast,60%40%,5,109,0.96,171,0.90,66%,109.5,0.61,0.25,1.13,0.08,0.07,31%,23%,3/13,17,66,73,27,9,8
Mixed,adrnking,RGE,https://www.vlr.gg/player/1745/adrnking,30%20%20%+2,10,223,0.95,186,0.97,73%,127.5,0.67,0.33,0.87,0.06,0.07,38%,13%,3/23,21,150,155,73,13,15
Mixed,yetujey,FUT,https://www.vlr.gg/player/8369/yetujey,56%22%22%,9,198,0.94,167,1.00,72%,124.8,0.65,0.24,1.06,0.10,0.09,25%,14%,3/21,21,129,129,47,19,18
Mixed,Russ,GE,https://www.vlr.gg/player/1162/russ,40%40%20%,5,109,0.92,181,0.88,67%,118.7,0.63,0.46,0.67,0.06,0.08,37%,17%,2/12,21,69,78,50,6,9
Mixed,AtaKaptan,FUT,https://www.vlr.gg/player/6510/atakaptan,78%22%,9,198,0.92,169,0.84,72%,120.6,0.60,0.47,0.61,0.07,0.12,33%,24%,4/17,19,118,141,94,14,23
Mixed,karam1l,RGE,https://www.vlr.gg/player/30286/karam1l,50%30%20%,10,223,0.91,194,1.01,63%,139.6,0.73,0.15,0.79,0.10,0.13,36%,10%,3/29,30,163,162,33,22,28
Mixed,Deadly10,DWF,https://www.vlr.gg/player/18702/deadly10,33%33%33%,6,128,0.90,196,0.86,70%,128.5,0.66,0.17,1.33,0.16,0.12,30%,13%,1/8,20,85,99,22,20,15
Mixed,kon4n,FUR,https://www.vlr.gg/player/1671/kon4n,40%40%20%,5,114,0.89,171,0.83,72%,117.8,0.59,0.34,1.80,0.08,0.04,33%,0%,0/21,17,67,81,39,9,5
Mixed,liazzi,FUR,https://www.vlr.gg/player/2567/liazzi,40%40%20%,5,114,0.88,172,0.80,72%,113.2,0.56,0.37,2.00,0.12,0.06,25%,13%,2/15,16,64,80,42,14,7
Mixed,1TaPGoD,MDL,https://www.vlr.gg/player/15364/1tapgod,36%27%27%+1,11,231,0.88,196,0.93,62%,134.8,0.69,0.13,0.72,0.13,0.19,30%,7%,1/15,27,160,172,31,31,43
Mixed,tricky,DWF,https://www.vlr.gg/player/28612/tricky,83%17%,6,128,0.88,214,0.92,63%,141.1,0.74,0.13,1.00,0.16,0.16,24%,10%,1/10,22,95,103,16,21,21
Mixed,AnkkitaC,VDL,https://www.vlr.gg/player/42439/ankkitac,100%,1,22,0.87,141,0.69,68%,107.3,0.50,0.32,0.00,0.00,0.05,12%,50%,1/2,11,11,16,7,0,1
Mixed,Ri0,DWF,https://www.vlr.gg/player/3502/ri0,67%17%17%,6,128,0.86,153,0.72,74%,100.2,0.53,0.55,0.63,0.04,0.06,23%,11%,2/19,17,68,94,70,5,8
Mixed,BuLL3T,RES,https://www.vlr.gg/player/15252/bull3t,60%20%20%,5,91,0.86,167,0.78,53%,111.0,0.59,0.18,0.89,0.09,0.10,34%,15%,2/13,16,54,69,16,8,9
Mixed,blackhawk,MDL,https://www.vlr.gg/player/4693/blackhawk,36%36%27%,11,231,0.85,156,0.82,70%,108.6,0.56,0.27,0.86,0.05,0.06,42%,11%,4/36,17,129,157,63,12,14
Mixed,hellff,TRS,https://www.vlr.gg/player/3627/hellff,35%24%24%+1,17,387,0.83,152,0.73,68%,102.3,0.53,0.45,0.44,0.05,0.11,24%,15%,5/34,20,204,280,175,19,43
Mixed,GauRanG,RES,https://www.vlr.gg/player/3488/gaurang,80%20%,5,91,0.80,176,0.77,60%,113.1,0.63,0.22,0.75,0.03,0.04,38%,6%,1/17,14,57,74,20,3,4
Mixed,Lakia,GEN,https://www.vlr.gg/player/773/lakia,33%33%33%,6,129,0.79,145,0.75,69%,99.8,0.53,0.36,0.58,0.05,0.09,32%,19%,3/16,15,68,91,46,7,12
Mixed,havoc,FUR,https://www.vlr.gg/player/8706/havoc,40%40%20%,5,114,0.74,151,0.72,65%,105.5,0.55,0.36,0.64,0.06,0.10,32%,13%,1/8,23,63,87,41,7,11
Mixed,Busterrr,RES,https://www.vlr.gg/player/3273/busterrr,60%40%,5,91,0.71,176,0.64,52%,118.0,0.55,0.15,1.17,0.15,0.13,25%,0%,0/6,14,50,78,14,14,12
Mixed,skillZ,GE,https://www.vlr.gg/player/3630/skillz,40%40%20%,5,109,0.70,160,0.72,66%,104.7,0.58,0.10,0.38,0.06,0.15,24%,0%,0/14,18,63,87,11,6,16
Mixed,Khalil,FUR,https://www.vlr.gg/player/1711/khalil,40%40%20%,5,114,0.65,135,0.67,63%,94.2,0.50,0.12,2.33,0.06,0.03,32%,7%,1/15,17,57,85,14,7,3
Mixed,Sid,PTM,https://www.vlr.gg/player/42437/sid,100%,1,22,0.63,150,0.76,77%,99.9,0.59,0.05,0.00,0.00,0.05,23%,0%,0/5,13,13,17,1,0,1
Mixed,Pashasahil,RES,https://www.vlr.gg/player/8050/pashasahil,40%20%20%+1,5,91,0.57,133,0.54,58%,93.8,0.44,0.12,0.62,0.09,0.14,26%,10%,1/10,11,40,74,11,8,13
Mixed,Mili kya Mili,PTM,https://www.vlr.gg/player/30564/mili-kya-mili,100%,1,22,0.51,129,0.56,64%,88.0,0.45,0.32,0.50,0.09,0.18,32%,0%,0/2,10,10,18,7,2,4
Mixed,JokerKiHaveli,VDL,https://www.vlr.gg/player/42442/jokerkihaveli,100%,1,22,0.32,88,0.32,59%,56.2,0.27,0.32,0.00,0.00,0.14,16%,0%,0/3,6,6,19,7,0,3
