Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Americas,keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,64%36%,14,280,1.32,275,1.33,82%,181.3,0.93,0.32,1.38,0.17,0.12,17%,25%,5/20,29,261,196,90,47,34
Americas,kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,69%8%8%+2,13,266,1.22,233,1.28,79%,153.2,0.80,0.39,1.11,0.11,0.10,29%,15%,4/27,22,213,167,104,30,27
Americas,Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,67%33%,3,66,1.19,276,1.25,67%,170.2,0.98,0.09,2.00,0.27,0.14,29%,17%,1/6,32,65,52,6,18,9
Americas,zekken,SEN,https://www.vlr.gg/player/4004/zekken,75%25%,8,164,1.14,251,1.19,71%,172.9,0.86,0.25,0.82,0.14,0.17,23%,26%,5/19,26,141,118,41,23,28
Americas,mwzera,FUR,https://www.vlr.gg/player/939/mwzera,33%33%33%,3,67,1.10,242,1.06,63%,155.9,0.78,0.15,0.83,0.07,0.09,15%,13%,1/8,20,52,49,10,5,6
Americas,Melser,KRÜ,https://www.vlr.gg/player/1311/melser,43%29%14%+1,14,280,1.09,205,1.21,78%,130.8,0.75,0.30,1.17,0.10,0.09,32%,21%,6/28,19,211,175,83,28,24
Americas,Klaus,KRÜ,https://www.vlr.gg/player/2610/klaus,79%21%,14,280,1.07,205,1.09,80%,124.7,0.74,0.48,1.59,0.13,0.08,23%,28%,5/18,22,206,189,133,35,22
Americas,DaveeyS,KRÜ,https://www.vlr.gg/player/2764/daveeys,36%29%21%+1,14,280,1.07,186,1.18,73%,121.4,0.69,0.21,1.00,0.10,0.10,31%,24%,8/34,19,193,164,58,28,28
Americas,frz,MIBR,https://www.vlr.gg/player/651/frz,50%50%,2,41,1.06,233,1.06,73%,152.9,0.80,0.24,2.00,0.20,0.10,29%,0%,0/4,18,33,31,10,8,4
Americas,nzr,LEV,https://www.vlr.gg/player/725/nzr,38%23%15%+2,13,266,1.06,185,1.06,80%,124.5,0.65,0.32,1.20,0.07,0.06,20%,4%,2/45,24,172,163,84,18,15
Americas,jzz,MIBR,https://www.vlr.gg/player/13093/jzz,100%,2,41,1.06,225,1.03,68%,146.0,0.76,0.10,1.00,0.17,0.17,33%,0%,0/6,16,31,30,4,7,7
Americas,Shyy,LEV,https://www.vlr.gg/player/24007/shyy,62%38%,13,266,1.04,192,1.01,71%,136.3,0.68,0.31,1.00,0.06,0.06,25%,15%,5/33,32,181,180,82,16,16
Americas,TenZ,SEN,https://www.vlr.gg/player/9/tenz,50%38%13%,8,164,1.01,215,0.96,73%,134.1,0.73,0.46,1.28,0.14,0.11,24%,11%,1/9,19,120,125,76,23,18
Americas,stellar,100T,https://www.vlr.gg/player/733/stellar,33%33%33%,3,66,1.01,199,1.02,73%,135.4,0.70,0.24,0.71,0.08,0.11,25%,9%,1/11,21,46,45,16,5,7
Americas,pANcada,SEN,https://www.vlr.gg/player/683/pancada,50%25%25%,8,164,1.00,167,1.03,72%,118.0,0.60,0.16,1.00,0.04,0.04,27%,12%,3/26,17,99,96,27,7,7
Americas,murizzz,MIBR,https://www.vlr.gg/player/783/murizzz,50%50%,2,41,0.99,196,0.87,61%,143.0,0.66,0.24,1.00,0.05,0.05,29%,14%,1/7,14,27,31,10,2,2
Americas,Mazino,LEV,https://www.vlr.gg/player/7603/mazino,38%31%23%+1,13,266,0.98,206,1.02,72%,133.0,0.73,0.35,0.91,0.08,0.09,23%,14%,3/22,26,195,192,93,21,23
Americas,leaf,C9,https://www.vlr.gg/player/7873/leaf,55%18%18%+1,11,222,0.98,229,0.97,66%,150.8,0.78,0.20,0.83,0.18,0.22,27%,18%,3/17,21,173,178,45,40,48
Americas,Zellsis,C9,https://www.vlr.gg/player/729/zellsis,27%27%18%+2,11,222,0.96,171,0.90,72%,111.7,0.59,0.29,1.00,0.06,0.06,18%,21%,8/38,17,132,146,64,14,14
Americas,Sacy,SEN,https://www.vlr.gg/player/659/sacy,50%25%25%,8,164,0.95,183,0.96,71%,122.1,0.67,0.40,1.00,0.07,0.07,26%,4%,1/25,20,110,115,65,12,12
Americas,Asuna,100T,https://www.vlr.gg/player/601/asuna,33%33%33%,3,66,0.94,195,0.89,70%,123.9,0.62,0.27,1.00,0.09,0.09,17%,0%,0/6,17,41,46,18,6,6
Americas,runi,C9,https://www.vlr.gg/player/16003/runi,27%27%18%+3,11,222,0.94,167,0.87,70%,111.2,0.60,0.31,1.38,0.05,0.04,28%,18%,8/45,18,134,154,68,11,8
Americas,jakee,C9,https://www.vlr.gg/player/8742/jakee,36%27%27%+1,11,222,0.93,188,0.88,72%,124.5,0.67,0.31,0.63,0.08,0.12,32%,35%,9/26,23,149,169,68,17,27
Americas,NagZ,KRÜ,https://www.vlr.gg/player/1294/nagz,71%29%,14,280,0.92,154,0.92,73%,105.5,0.55,0.26,1.13,0.06,0.06,25%,21%,7/33,19,153,166,74,18,16
Americas,dgzin,FUR,https://www.vlr.gg/player/8873/dgzin,100%,3,67,0.91,221,1.00,69%,134.7,0.78,0.12,1.07,0.24,0.22,30%,20%,1/5,24,52,52,8,16,15
Americas,kon4n,FUR,https://www.vlr.gg/player/1671/kon4n,67%33%,3,67,0.90,181,0.82,72%,131.5,0.60,0.45,0.33,0.01,0.04,19%,29%,2/7,19,40,49,30,1,3
Americas,Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,64%27%9%,11,222,0.90,198,0.84,71%,128.7,0.66,0.40,0.48,0.06,0.13,20%,6%,1/16,18,146,173,88,14,29
Americas,Khalil,FUR,https://www.vlr.gg/player/1711/khalil,67%33%,3,67,0.89,159,0.89,75%,107.3,0.58,0.30,4.00,0.06,0.01,31%,0%,0/8,17,39,44,20,4,1
Americas,mazin,FUR,https://www.vlr.gg/player/8872/mazin,33%33%33%,3,67,0.88,175,0.85,72%,105.9,0.60,0.33,0.60,0.09,0.15,32%,9%,1/11,17,40,47,22,6,10
Americas,Marved,SEN,https://www.vlr.gg/player/263/marved,63%38%,8,164,0.83,172,0.79,71%,116.1,0.60,0.39,0.89,0.10,0.11,27%,11%,1/9,20,98,124,64,16,18
Americas,Tacolilla,LEV,https://www.vlr.gg/player/3828/tacolilla,69%23%8%,13,266,0.83,184,0.86,68%,121.1,0.64,0.14,1.08,0.20,0.18,18%,9%,1/11,19,170,197,38,52,48
Americas,bang,100T,https://www.vlr.gg/player/3880/bang,33%33%33%,3,66,0.83,161,0.75,71%,118.2,0.55,0.38,0.00,0.00,0.12,29%,13%,1/8,18,36,48,25,0,8
Americas,RgLMeister,MIBR,https://www.vlr.gg/player/5351/rglmeister,50%50%,2,41,0.80,152,0.79,73%,102.3,0.54,0.34,1.00,0.05,0.05,23%,0%,0/3,13,22,28,14,2,2
Americas,Derrek,100T,https://www.vlr.gg/player/1533/derrek,67%33%,3,66,0.68,121,0.53,68%,86.5,0.41,0.32,0.40,0.03,0.08,30%,18%,2/11,14,27,51,21,2,5
Americas,TxoziN,MIBR,https://www.vlr.gg/player/941/txozin,50%50%,2,41,0.54,109,0.40,59%,77.5,0.29,0.27,0.17,0.02,0.15,9%,0%,0/5,9,12,30,11,1,6
EMEA,Fit1nho,GIA,https://www.vlr.gg/player/292/fit1nho,43%43%14%,7,152,1.32,246,1.45,82%,157.1,0.89,0.37,1.38,0.14,0.11,33%,13%,2/15,24,136,94,56,22,16
EMEA,hoody,GIA,https://www.vlr.gg/player/2690/hoody,43%29%29%,7,152,1.24,223,1.25,80%,145.3,0.76,0.43,2.29,0.11,0.05,24%,6%,1/17,23,116,93,65,16,7
EMEA,nukkye,GIA,https://www.vlr.gg/player/3070/nukkye,43%43%14%,7,152,1.18,200,1.34,78%,135.0,0.78,0.35,1.67,0.07,0.04,22%,25%,6/24,22,119,89,53,10,6
