Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Americas,aspas,LOUD,https://www.vlr.gg/player/8480/aspas,,643,1.26,246.7,1.47,78%,158.6,0.91,0.18,0.16,0.11,25%,21%,15/73,33,585,398,113,106,70
Americas,Less,LOUD,https://www.vlr.gg/player/8447/less,,643,1.18,234.2,1.32,75%,152.5,0.81,0.23,0.10,0.09,26%,19%,15/81,25,523,396,147,67,55
Americas,kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,,596,1.17,219.4,1.21,75%,142.8,0.76,0.36,0.09,0.09,29%,15%,9/61,35,455,377,216,56,51
Americas,zekken,SEN,https://www.vlr.gg/player/4004/zekken,(+3),478,1.13,242.6,1.12,74%,161.9,0.82,0.27,0.14,0.14,23%,22%,11/49,31,392,349,129,67,65
Americas,crashies,NRG,https://www.vlr.gg/player/4/crashies,(+1),772,1.12,202.1,1.11,78%,132.9,0.71,0.43,0.06,0.06,27%,21%,23/109,24,547,492,330,49,48
Americas,leaf,C9,https://www.vlr.gg/player/7873/leaf,(+1),580,1.12,239.8,1.14,73%,153.4,0.83,0.26,0.21,0.18,21%,29%,9/31,27,482,423,150,122,102
Americas,s0m,NRG,https://www.vlr.gg/player/4164/s0m,(+2),772,1.12,204.7,1.18,78%,128.7,0.76,0.35,0.08,0.06,26%,20%,14/71,26,589,500,268,58,49
Americas,nzr,LEV,https://www.vlr.gg/player/725/nzr,,596,1.11,201.9,1.13,77%,129.5,0.69,0.35,0.05,0.05,19%,8%,8/95,25,412,364,208,29,30
Americas,Demon1,EG,https://www.vlr.gg/player/26171/demon1,,642,1.11,221.6,1.18,70%,147.6,0.79,0.17,0.15,0.12,33%,8%,5/63,28,509,432,107,94,75
Americas,Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,,511,1.08,219.1,1.08,72%,142.7,0.77,0.25,0.18,0.16,21%,9%,5/53,33,394,365,127,93,82
