Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Pacific,k1Ng,GEN,https://www.vlr.gg/player/771/k1ng,,48,1.45,267.5,1.38,83%,170.5,0.92,0.48,0.10,0.02,34%,10%,1/10,23,44,32,23,5,1
EMEA,trexx,MKOI,https://www.vlr.gg/player/2168/trexx,,46,1.39,275.0,1.70,76%,181.2,1.00,0.20,0.07,0.09,32%,,0/8,27,46,27,9,3,4
EMEA,Shao,NAVI,https://www.vlr.gg/player/384/shao,(+1),182,1.32,202.6,1.63,87%,129.8,0.75,0.35,0.10,0.05,37%,24%,9/38,23,137,84,64,18,9
EMEA,Leo,FNC,https://www.vlr.gg/player/1380/leo,,307,1.30,225.0,1.41,81%,143.2,0.79,0.33,0.05,0.02,19%,27%,13/49,25,243,172,100,15,7
CN,MaKo,KRX,https://www.vlr.gg/player/4462/mako,(+1),276,1.28,240.8,1.25,79%,154.7,0.79,0.59,0.12,0.07,26%,14%,5/37,24,219,175,163,32,20
EMEA,sh1n,KC,https://www.vlr.gg/player/2625/sh1n,,103,1.27,276.4,1.31,75%,169.3,0.94,0.27,0.19,0.06,27%,50%,3/6,25,97,74,28,20,6
EMEA,Nivera,KC,https://www.vlr.gg/player/14669/nivera,,103,1.27,262.8,1.33,82%,158.7,0.90,0.36,0.18,0.09,33%,6%,1/16,23,93,70,37,19,9
Americas,mwzera,FUR,https://www.vlr.gg/player/939/mwzera,,76,1.27,255.3,1.31,76%,166.0,0.93,0.32,0.09,0.07,20%,22%,2/9,34,71,54,24,7,5
Americas,Shyy,LEV,https://www.vlr.gg/player/24007/shyy,,125,1.26,237.3,1.38,78%,154.8,0.87,0.20,0.16,0.02,21%,15%,2/13,30,109,79,25,20,3
EMEA,nAts,TL,https://www.vlr.gg/player/457/nats,,41,1.25,258.0,1.33,78%,154.6,0.98,0.32,0.00,0.12,35%,,0/8,26,40,30,13,0,5
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,,71,1.25,253.0,1.27,69%,173.2,0.87,0.18,0.13,0.04,24%,44%,4/9,23,62,49,13,9,3
EMEA,Twisten,VIT,https://www.vlr.gg/player/1137/twisten,,104,1.24,263.8,1.36,68%,171.5,0.95,0.15,0.17,0.14,23%,17%,2/12,29,99,73,16,18,15
