Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
EMEA,Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,,210,1.33,229.2,1.63,80%,143.3,0.88,0.16,0.11,0.06,29%,21%,6/29,25,184,113,34,23,12
EMEA,Leo,FNC,https://www.vlr.gg/player/1380/leo,,210,1.31,200.9,1.47,80%,129.4,0.71,0.45,0.05,0.01,18%,18%,4/22,26,150,102,94,11,2
EMEA,Chronicle,FNC,https://www.vlr.gg/player/458/chronicle,,210,1.19,236.8,1.33,76%,149.6,0.83,0.43,0.07,0.09,26%,,0/11,22,174,131,91,15,19
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,,341,1.15,273.8,1.30,73%,169.7,0.96,0.17,0.24,0.16,19%,13%,3/23,30,329,254,59,82,54
CN,Rb,KRX,https://www.vlr.gg/player/488/rb,(+4),231,1.15,235.3,1.19,75%,147.2,0.85,0.24,0.13,0.05,28%,6%,2/34,25,196,165,55,29,11
EMEA,Shao,NAVI,https://www.vlr.gg/player/384/shao,(+1),124,1.14,190.6,1.15,73%,137.4,0.73,0.22,0.06,0.08,33%,7%,2/27,34,90,78,27,8,10
EMEA,SUYGETSU,NAVI,https://www.vlr.gg/player/2858/suygetsu,,124,1.14,205.8,1.17,72%,144.8,0.73,0.23,0.05,0.10,33%,21%,3/14,23,91,78,28,6,12
Americas,s0m,NRG,https://www.vlr.gg/player/4164/s0m,(+1),351,1.13,209.3,1.16,74%,135.8,0.75,0.43,0.09,0.09,23%,15%,6/39,24,264,228,151,31,30
Americas,Demon1,EG,https://www.vlr.gg/player/26171/demon1,,401,1.11,210.9,1.19,73%,143.2,0.79,0.17,0.14,0.10,38%,21%,11/53,28,318,267,69,56,39
Americas,aspas,LOUD,https://www.vlr.gg/player/8480/aspas,,80,1.11,252.0,1.02,69%,159.0,0.83,0.19,0.21,0.20,28%,,0/8,20,66,65,15,17,16
EMEA,Sayf,TL,https://www.vlr.gg/player/312/sayf,,169,1.11,246.0,1.08,71%,158.0,0.82,0.23,0.19,0.19,22%,5%,1/21,26,139,129,39,32,32
CN,MaKo,KRX,https://www.vlr.gg/player/4462/mako,,231,1.09,195.5,0.97,74%,130.4,0.66,0.53,0.07,0.09,28%,4%,1/24,24,152,156,122,16,21
Americas,Ethan,EG,https://www.vlr.gg/player/11225/ethan,,401,1.09,190.4,1.07,78%,118.6,0.65,0.58,0.05,0.06,18%,24%,10/42,20,262,246,231,20,23
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,(+1),341,1.08,195.3,1.13,77%,130.3,0.74,0.27,0.08,0.07,32%,19%,9/47,31,251,222,92,27,23
EMEA,Derke,FNC,https://www.vlr.gg/player/5022/derke,,210,1.08,247.3,1.18,70%,157.7,0.82,0.20,0.24,0.22,22%,38%,3/8,28,173,147,42,51,47
