Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
CN,FengF,TE,https://www.vlr.gg/player/4770/fengf,,336,,253.2,1.18,,,0.84,0.29,,,,,,40,283,240,98,0,0
CN,Biank,BLG,https://www.vlr.gg/player/3021/biank,,202,,191.4,0.88,,,0.62,0.30,,,,,,19,126,143,61,0,0
CN,Nicc,DRG,https://www.vlr.gg/player/11524/nicc,(+1),151,,195.9,1.04,,,0.71,0.44,,,,,,21,107,103,67,0,0
CN,TvirusLuke,DRG,https://www.vlr.gg/player/7841/tvirusluke,,151,,205.9,0.79,,,0.66,0.20,,,,,,21,99,126,30,0,0
CN,vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,,151,,248.9,1.18,,,0.87,0.28,,,,,,27,132,112,42,0,0
CN,Dingwei,DRG,https://www.vlr.gg/player/42513/dingwei,,151,,160.1,0.77,,,0.54,0.30,,,,,,18,82,107,45,0,0
CN,nizhaoTZH,DRG,https://www.vlr.gg/player/4880/nizhaotzh,,151,,192.1,1.06,,,0.72,0.38,,,,,,22,108,102,57,0,0
CN,sword9,AG,https://www.vlr.gg/player/3049/sword9,,86,,161.0,0.75,,,0.53,0.31,,,,,,13,46,61,27,0,0
CN,bunt,AG,https://www.vlr.gg/player/25949/bunt,,86,,240.5,1.17,,,0.87,0.34,,,,,,28,75,64,29,0,0
CN,monk,AG,https://www.vlr.gg/player/14431/monk,,86,,189.3,0.83,,,0.66,0.19,,,,,,18,57,69,16,0,0
CN,deLb,AG,https://www.vlr.gg/player/10821/delb,,86,,188.5,0.83,,,0.64,0.17,,,,,,19,55,66,15,0,0
CN,Spitfires,AG,https://www.vlr.gg/player/4881/spitfires,,86,,176.5,0.84,,,0.66,0.16,,,,,,21,57,68,14,0,0
CN,whzy,BLG,https://www.vlr.gg/player/4885/whzy,,202,,244.8,1.15,,,0.85,0.19,,,,,,25,172,149,38,0,0
CN,Knight,BLG,https://www.vlr.gg/player/4774/knight,(+1),202,,223.2,1.15,,,0.78,0.36,,,,,,24,157,136,72,0,0
CN,Abo,TEC,https://www.vlr.gg/player/5011/abo,,297,,197.2,0.92,,,0.69,0.15,,,,,,28,206,225,45,0,0
CN,yosemite,BLG,https://www.vlr.gg/player/6022/yosemite,,202,,222.3,1.20,,,0.77,0.30,,,,,,28,156,130,60,0,0
CN,B3ar,BLG,https://www.vlr.gg/player/25329/b3ar,,202,,132.4,0.74,,,0.47,0.44,,,,,,14,95,129,88,0,0
CN,pl1xx,WOL,https://www.vlr.gg/player/871/pl1xx,(+1),157,,216.0,1.04,,,0.75,0.35,,,,,,21,117,112,55,0,0
CN,Spring,WOL,https://www.vlr.gg/player/14125/spring,,157,,201.0,1.05,,,0.71,0.21,,,,,,26,111,106,33,0,0
CN,balua,WOL,https://www.vlr.gg/player/14441/balua,(+1),157,,189.1,0.99,,,0.66,0.38,,,,,,17,103,104,60,0,0
CN,coldfish,WOL,https://www.vlr.gg/player/3020/coldfish,,157,,183.4,1.12,,,0.69,0.22,,,,,,21,109,97,34,0,0
CN,Yuicaw,WOL,https://www.vlr.gg/player/11218/yuicaw,,157,,211.0,1.01,,,0.72,0.30,,,,,,19,113,112,47,0,0
CN,Haodong,EDG,https://www.vlr.gg/player/4720/haodong,,211,,151.7,0.79,,,0.53,0.35,,,,,,20,111,140,74,0,0
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,,211,,267.8,1.15,,,0.90,0.22,,,,,,30,189,164,47,0,0
CN,nobody,EDG,https://www.vlr.gg/player/3017/nobody,,211,,213.2,1.09,,,0.75,0.25,,,,,,27,159,146,53,0,0
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,(+1),211,,211.9,1.11,,,0.76,0.23,,,,,,24,161,145,49,0,0
CN,kawaii,TEC,https://www.vlr.gg/player/4778/kawaii,(+1),297,,193.7,0.98,,,0.70,0.38,,,,,,30,207,211,113,0,0
CN,LockM,TEC,https://www.vlr.gg/player/25339/lockm,,297,,181.6,0.86,,,0.62,0.27,,,,,,25,184,215,80,0,0
