Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
CN,Abo,TEC,https://www.vlr.gg/player/5011/abo,57%29%14%,7,139,,228,1.16,,,0.82,0.17,,,,,,,27,114,98,23,0,0
CN,Cangshu,DRG,https://www.vlr.gg/player/46527/cangshu,33%33%17%+1,6,123,,122,0.48,,,0.37,0.55,,,,,,,16,46,95,68,0,0
CN,Haodong,TEC,https://www.vlr.gg/player/4720/haodong,43%29%29%,7,139,,170,0.86,,,0.62,0.26,,,,,,,20,86,100,36,0,0
CN,Rb,TEC,https://www.vlr.gg/player/488/rb,43%29%29%,7,139,,205,0.88,,,0.70,0.24,,,,,,,17,97,110,34,0,0
CN,AC,TEC,https://www.vlr.gg/player/14445/ac,43%29%29%,7,139,,211,1.06,,,0.73,0.31,,,,,,,20,101,95,43,0,0
CN,Spring,WOL,https://www.vlr.gg/player/14125/spring,50%33%17%,18,387,,256,1.29,,,0.90,0.17,,,,,,,31,349,270,64,0,0
CN,Lysoar,WOL,https://www.vlr.gg/player/37489/lysoar,89%11%,18,387,,225,1.20,,,0.82,0.18,,,,,,,25,316,264,68,0,0
CN,Yuicaw,WOL,https://www.vlr.gg/player/11218/yuicaw,50%33%11%+1,18,387,,197,0.95,,,0.69,0.50,,,,,,,25,268,282,193,0,0
CN,V1yA,WOL,https://www.vlr.gg/player/45104/v1ya,89%11%,18,387,,165,0.83,,,0.57,0.47,,,,,,,21,219,264,182,0,0
CN,SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,83%11%6%,18,387,,184,1.05,,,0.65,0.33,,,,,,,26,251,238,127,0,0
CN,Nicc,DRG,https://www.vlr.gg/player/11524/nicc,50%50%,6,123,,166,0.74,,,0.54,0.46,,,,,,,17,67,90,57,0,0
CN,TvirusLuke,DRG,https://www.vlr.gg/player/7841/tvirusluke,50%33%17%,6,123,,188,0.75,,,0.63,0.21,,,,,,,17,78,104,26,0,0
CN,yosemite,FPX,https://www.vlr.gg/player/6022/yosemite,31%23%23%+2,13,285,,233,1.18,,,0.82,0.28,,,,,,,23,234,199,80,0,0
CN,Snail,TEC,https://www.vlr.gg/player/41053/snail,57%43%,7,139,,147,0.62,,,0.47,0.28,,,,,,,15,66,107,39,0,0
CN,SpiritZ1,DRG,https://www.vlr.gg/player/31753/spiritz1,50%33%17%,6,123,,191,0.86,,,0.65,0.37,,,,,,,23,80,93,45,0,0
CN,Rarga,XLG,https://www.vlr.gg/player/22047/rarga,46%31%23%,13,279,,258,1.21,,,0.91,0.17,,,,,,,27,255,210,47,0,0
CN,happywei,XLG,https://www.vlr.gg/player/37927/happywei,54%23%15%+1,13,279,,255,1.28,,,0.89,0.24,,,,,,,23,247,193,66,0,0
CN,YOU,XLG,https://www.vlr.gg/player/4710/you,77%23%,13,279,,213,1.06,,,0.72,0.24,,,,,,,22,201,189,66,0,0
CN,MrCANI,XLG,https://www.vlr.gg/player/37674/mrcani,46%31%23%,13,279,,140,0.72,,,0.48,0.44,,,,,,,19,135,188,123,0,0
CN,MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,54%23%23%,13,279,,167,1.01,,,0.62,0.37,,,,,,,22,173,172,102,0,0
CN,AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,54%23%15%+1,13,285,,193,1.02,,,0.67,0.30,,,,,,,20,192,189,86,0,0
CN,BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,77%15%8%,13,285,,149,0.69,,,0.48,0.38,,,,,,,16,136,196,109,0,0
CN,Autumn,FPX,https://www.vlr.gg/player/872/autumn,54%23%15%+1,13,285,,194,1.00,,,0.72,0.25,,,,,,,30,204,204,71,0,0
CN,Life,FPX,https://www.vlr.gg/player/3028/life,54%38%8%,13,285,,235,1.08,,,0.84,0.17,,,,,,,34,238,220,49,0,0
CN,vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,100%,6,123,,240,1.29,,,0.88,0.16,,,,,,,27,108,84,20,0,0
CN,Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,57%29%14%,7,156,,247,1.21,,,0.86,0.18,,,,,,,24,134,111,28,0,0
CN,Levius,BLG,https://www.vlr.gg/player/40845/levius,42%25%25%+1,12,270,,207,1.18,,,0.75,0.24,,,,,,,22,203,172,66,0,0
CN,nephh,BLG,https://www.vlr.gg/player/10698/nephh,75%25%,12,270,,225,1.11,,,0.76,0.55,,,,,,,23,205,184,148,0,0
CN,5CM,TYL,https://www.vlr.gg/player/47101/5cm,57%43%,7,156,,212,0.99,,,0.72,0.27,,,,,,,25,113,114,42,0,0
CN,Sunshine,TYL,https://www.vlr.gg/player/14453/sunshine,57%43%,7,156,,126,0.57,,,0.41,0.31,,,,,,,11,64,113,49,0,0
CN,stew,JDG,https://www.vlr.gg/player/16924/stew,38%25%25%+1,8,169,,261,1.34,,,0.93,0.19,,,,,,,24,158,118,32,0,0
CN,Viva,JDG,https://www.vlr.gg/player/36415/viva,50%25%13%+1,8,169,,202,1.04,,,0.74,0.18,,,,,,,22,125,120,31,0,0
CN,jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,63%25%13%,8,169,,177,0.88,,,0.62,0.37,,,,,,,20,104,118,62,0,0
CN,sword9,JDG,https://www.vlr.gg/player/3049/sword9,25%25%25%+2,8,169,,151,0.79,,,0.52,0.31,,,,,,,16,88,112,52,0,0
CN,Z1yan,JDG,https://www.vlr.gg/player/41029/z1yan,38%38%25%,8,169,,197,1.00,,,0.67,0.21,,,,,,,21,114,114,36,0,0
CN,whzy,BLG,https://www.vlr.gg/player/4885/whzy,58%25%17%,12,270,,253,1.14,,,0.88,0.22,,,,,,,31,238,209,60,0,0
CN,Knight,BLG,https://www.vlr.gg/player/4774/knight,75%25%,12,270,,216,1.15,,,0.72,0.37,,,,,,,26,194,168,100,0,0
CN,rushia,BLG,https://www.vlr.gg/player/48878/rushia,58%25%17%,12,270,,167,0.93,,,0.61,0.45,,,,,,,24,164,176,121,0,0
CN,slowly,TYL,https://www.vlr.gg/player/41739/slowly,43%43%14%,7,156,,193,0.93,,,0.67,0.29,,,,,,,22,104,112,46,0,0
CN,Core,TYL,https://www.vlr.gg/player/3124/core,43%29%14%+1,7,156,,178,0.93,,,0.64,0.28,,,,,,,18,100,107,44,0,0
CN,X3B,AG,https://www.vlr.gg/player/37019/x3b,20%20%20%+2,5,95,,145,0.63,,,0.49,0.41,,,,,,,18,47,75,39,0,0
CN,player,AG,https://www.vlr.gg/player/46749/player,100%,2,35,,161,0.61,,,0.54,0.11,,,,,,,12,19,31,4,0,0
CN,deLb,AG,https://www.vlr.gg/player/10821/delb,60%20%20%,5,95,,214,0.97,,,0.77,0.19,,,,,,,19,73,75,18,0,0
CN,Spitfires,AG,https://www.vlr.gg/player/4881/spitfires,40%40%20%,5,95,,184,0.75,,,0.63,0.23,,,,,,,24,60,80,22,0,0
CN,K1ra,AG,https://www.vlr.gg/player/46748/k1ra,60%20%20%,5,95,,180,0.80,,,0.64,0.32,,,,,,,18,61,76,30,0,0
CN,o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,86%14%,7,139,,168,0.75,,,0.55,0.64,,,,,,,17,76,102,89,0,0
CN,Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,43%29%29%,7,139,,207,0.97,,,0.73,0.50,,,,,,,25,101,104,69,0,0
CN,cb,NOVA,https://www.vlr.gg/player/39697/cb,57%43%,7,139,,236,1.10,,,0.78,0.35,,,,,,,18,109,99,49,0,0
CN,GuanG,NOVA,https://www.vlr.gg/player/41054/guang,86%14%,7,139,,218,1.33,,,0.82,0.15,,,,,,,23,114,86,21,0,0
CN,SWERL,NOVA,https://www.vlr.gg/player/1209/swerl,43%29%29%,7,139,,208,0.92,,,0.71,0.17,,,,,,,24,98,106,24,0,0
CN,bunt,AG,https://www.vlr.gg/player/25949/bunt,67%33%,3,60,,165,0.69,,,0.52,0.43,,,,,,,13,31,45,26,0,0
