Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
EMEA,Boo,TH,https://www.vlr.gg/player/1144/boo,,492,,177.6,1.05,,110.2,0.65,0.42,0.09,0.06,,,,20,320,306,207,42,30
CN,nobody,EDG,https://www.vlr.gg/player/3017/nobody,,78,,159.0,0.7,,102.9,0.56,0.29,0.06,0.14,,,,21,44,63,23,5,11
Pacific,Meteor,GEN,https://www.vlr.gg/player/13039/meteor,,388,,230.8,1.22,,150.8,0.84,0.13,0.11,0.09,,,,31,326,267,51,43,36
Pacific,Karon,GEN,https://www.vlr.gg/player/34974/karon,(+1),388,,193.2,1.13,,125.9,0.7,0.45,0.06,0.07,,,,26,270,238,175,22,28
Americas,C0M,LEV,https://www.vlr.gg/player/619/c0m,(+1),162,,146.0,0.73,,96.0,0.5,0.26,0.07,0.09,,,,16,81,111,42,11,15
Americas,tex,LEV,https://www.vlr.gg/player/1818/tex,,162,,219.8,1.16,,145.7,0.77,0.23,0.07,0.07,,,,20,125,108,37,12,12
Americas,Mazino,LEV,https://www.vlr.gg/player/7603/mazino,(+2),162,,199.3,1.01,,135.8,0.73,0.36,0.09,0.08,,,,30,119,118,59,14,13
Americas,aspas,LEV,https://www.vlr.gg/player/8480/aspas,,162,,237.8,1.17,,158.0,0.85,0.17,0.21,0.12,,,,23,137,117,28,34,20
Americas,kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,,162,,210.1,1.05,,140.7,0.75,0.32,0.09,0.1,,,,28,121,115,52,14,16
Pacific,Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,,171,,217.5,0.99,,151.7,0.77,0.21,0.09,0.1,,,,24,132,134,36,15,17
Pacific,mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,,171,,180.4,0.91,,120.7,0.64,0.32,0.06,0.05,,,,23,110,121,55,11,8
Pacific,f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,(+1),171,,189.0,0.89,,122.0,0.67,0.43,0.08,0.13,,,,29,114,128,74,13,22
Pacific,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,(+2),171,,182.5,1.03,,128.4,0.68,0.32,0.05,0.06,,,,20,117,114,55,8,10
Pacific,something,PRX,https://www.vlr.gg/player/17086/something,,171,,237.8,1.12,,152.2,0.81,0.29,0.2,0.19,,,,25,138,123,49,34,33
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,,78,,243.0,0.91,,154.1,0.81,0.15,0.17,0.17,,,,20,63,69,12,13,13
Pacific,Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,,388,,177.6,0.98,,119.5,0.62,0.39,0.06,0.09,,,,21,239,244,151,23,35
CN,Haodong,EDG,https://www.vlr.gg/player/4720/haodong,,78,,136.0,0.54,,83.6,0.45,0.21,0.12,0.12,,,,14,35,65,16,9,9
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,,78,,237.0,1.1,,156.4,0.82,0.26,0.09,0.04,,,,25,64,58,20,7,3
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,,78,,186.5,0.88,,122.4,0.65,0.26,0.05,0.05,,,,15,51,58,20,4,4
Americas,Asuna,100T,https://www.vlr.gg/player/601/asuna,,188,,202.8,0.98,,135.3,0.7,0.3,0.12,0.15,,,,24,131,134,57,22,28
Americas,Boostio,100T,https://www.vlr.gg/player/604/boostio,,188,,183.0,0.91,,125.1,0.66,0.2,0.1,0.12,,,,22,125,137,37,19,22
Americas,eeiu,100T,https://www.vlr.gg/player/796/eeiu,,188,,188.9,1.0,,124.5,0.66,0.25,0.05,0.05,,,,16,124,124,47,10,10
