Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Mixed,FengF,TE,https://www.vlr.gg/player/4770/fengf,47%33%13%+1,15,308,,183,0.91,,,0.66,0.18,,,,,,,22,203,222,55,0,0
Mixed,Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,50%25%13%+1,8,201,,195,0.86,,,0.64,0.25,,,,,,,24,128,149,51,0,0
Mixed,LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,80%20%,15,308,,189,0.96,,,0.65,0.44,,,,,,,23,201,210,134,0,0
Mixed,Biank,TE,https://www.vlr.gg/player/3021/biank,87%13%,15,308,,182,0.83,,,0.59,0.32,,,,,,,19,182,220,99,0,0
Mixed,xffero,RRQ,https://www.vlr.gg/player/4871/xffero,25%25%25%+2,8,176,,174,1.05,,,0.60,0.23,,,,,,,22,106,101,41,0,0
Mixed,Estrella,RRQ,https://www.vlr.gg/player/25025/estrella,38%25%25%+1,8,176,,169,0.98,,,0.58,0.57,,,,,,,19,102,104,100,0,0
Mixed,Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,50%25%25%,8,176,,232,1.34,,,0.85,0.16,,,,,,,26,150,112,28,0,0
Mixed,Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,50%38%13%,8,176,,212,0.92,,,0.71,0.26,,,,,,,23,125,136,46,0,0
Mixed,mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,62%29%10%,21,473,,201,1.17,,,0.74,0.39,,,,,,,33,352,301,183,0,0
Mixed,f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,38%33%14%+1,21,473,,229,1.09,,,0.78,0.35,,,,,,,30,369,337,167,0,0
Mixed,Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,63%25%13%,8,176,,204,1.12,,,0.75,0.22,,,,,,,27,132,118,39,0,0
Mixed,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,24%24%14%+3,21,473,,187,1.06,,,0.68,0.31,,,,,,,25,323,304,148,0,0
