Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Mixed,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,50%50%,2,49,,225,1.00,,,0.73,0.20,,,,,,,19,36,36,10,0,0
Mixed,YOU,XLG,https://www.vlr.gg/player/4710/you,75%25%,4,92,,210,1.15,,,0.74,0.30,,,,,,,23,68,59,28,0,0
Mixed,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,50%50%,2,49,,232,0.95,,,0.82,0.20,,,,,,,20,40,42,10,0,0
Mixed,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,50%50%,2,49,,180,0.86,,,0.65,0.20,,,,,,,20,32,37,10,0,0
Mixed,S1Mon,EDG,https://www.vlr.gg/player/13768/s1mon,50%50%,2,49,,146,0.58,,,0.47,0.31,,,,,,,14,23,40,15,0,0
Mixed,Rarga,XLG,https://www.vlr.gg/player/22047/rarga,50%25%25%,4,92,,283,1.28,,,1.00,0.13,,,,,,,30,92,72,12,0,0
Mixed,happywei,XLG,https://www.vlr.gg/player/37927/happywei,50%25%25%,4,92,,260,1.25,,,0.87,0.26,,,,,,,29,80,64,24,0,0
Mixed,MrCANI,XLG,https://www.vlr.gg/player/37674/mrcani,75%25%,4,92,,175,0.97,,,0.65,0.46,,,,,,,20,60,62,42,0,0
Mixed,ZiXuan,XLG,https://www.vlr.gg/player/4763/zixuan,50%25%25%,4,92,,150,0.73,,,0.48,0.52,,,,,,,13,44,60,48,0,0
Mixed,nobody,EDG,https://www.vlr.gg/player/3017/nobody,50%50%,2,49,,162,0.67,,,0.57,0.14,,,,,,,21,28,42,7,0,0
Mixed,f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,33%33%33%,3,69,,244,1.28,,,0.86,0.30,,,,,,,27,59,46,21,0,0
Mixed,mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,33%33%33%,3,69,,208,1.07,,,0.70,0.52,,,,,,,20,48,45,36,0,0
Mixed,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,33%33%33%,3,69,,204,1.02,,,0.74,0.33,,,,,,,19,51,50,23,0,0
Mixed,Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,67%33%,3,69,,203,1.04,,,0.70,0.26,,,,,,,21,48,46,18,0,0
Mixed,something,PRX,https://www.vlr.gg/player/17086/something,67%33%,3,69,,179,1.05,,,0.65,0.14,,,,,,,16,45,43,10,0,0
Mixed,Juicy,WOL,https://www.vlr.gg/player/7426/juicy,40%20%20%+1,5,112,,167,0.88,,,0.60,0.40,,,,,,,17,67,76,45,0,0
Mixed,SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,40%40%20%,5,112,,197,1.28,,,0.73,0.29,,,,,,,20,82,64,32,0,0
Mixed,Yuicaw,WOL,https://www.vlr.gg/player/11218/yuicaw,40%20%20%+1,5,112,,160,0.73,,,0.56,0.28,,,,,,,18,63,86,31,0,0
Mixed,Spring,WOL,https://www.vlr.gg/player/14125/spring,60%40%,5,112,,252,1.03,,,0.81,0.22,,,,,,,24,91,88,25,0,0
Mixed,Lysoar,WOL,https://www.vlr.gg/player/37489/lysoar,40%40%20%,5,112,,224,1.01,,,0.76,0.22,,,,,,,25,85,84,25,0,0
