Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Mixed,Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,50%33%17%,6,123,1.22,246,1.30,75%,151.8,0.85,0.41,0.82,0.07,0.09,23%,13%,2/15,23,104,80,51,9,11
Mixed,Crws,TLN,https://www.vlr.gg/player/3977/crws,63%13%13%+1,8,155,1.19,232,1.26,76%,153.4,0.82,0.40,1.22,0.07,0.06,34%,35%,7/20,22,127,101,62,11,9
Mixed,Karon,GEN,https://www.vlr.gg/player/34974/karon,50%33%17%,6,123,1.16,208,1.23,75%,125.9,0.75,0.43,1.00,0.09,0.09,32%,35%,6/17,21,92,75,53,11,11
Mixed,yoman,GEN,https://www.vlr.gg/player/25081/yoman,50%50%,6,123,1.11,181,1.18,75%,121.0,0.68,0.25,1.50,0.07,0.05,27%,25%,4/16,26,84,71,31,9,6
Mixed,Life,FPX,https://www.vlr.gg/player/3028/life,50%50%,4,85,1.08,232,1.03,74%,156.5,0.82,0.16,1.29,0.21,0.16,40%,17%,1/6,27,70,68,14,18,14
Mixed,Athan,KRX,https://www.vlr.gg/player/34982/athan,67%33%,6,123,1.08,202,0.99,74%,139.7,0.70,0.57,0.50,0.03,0.07,27%,10%,1/10,21,86,87,70,4,8
Mixed,JitBoyS,TLN,https://www.vlr.gg/player/13788/jitboys,50%25%25%,8,155,1.04,185,1.01,71%,120.5,0.68,0.32,1.00,0.08,0.08,36%,17%,2/12,18,105,104,50,13,13
Mixed,free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,50%50%,6,123,1.02,199,1.01,67%,132.3,0.71,0.22,0.50,0.07,0.15,30%,16%,4/25,22,87,86,27,9,18
Mixed,primmie,TLN,https://www.vlr.gg/player/25255/primmie,50%25%13%+1,8,155,1.02,237,1.11,70%,149.4,0.83,0.12,1.04,0.16,0.15,38%,20%,3/15,24,128,115,19,25,24
Mixed,Governor,TLN,https://www.vlr.gg/player/3980/governor,75%13%13%,8,155,1.00,183,1.00,70%,119.8,0.65,0.19,2.00,0.13,0.06,30%,25%,4/16,16,101,101,30,20,10
Mixed,Flashback,KRX,https://www.vlr.gg/player/35013/flashback,100%,6,123,0.97,194,0.93,66%,130.6,0.69,0.18,1.10,0.09,0.08,29%,19%,3/16,21,85,91,22,11,10
Mixed,Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,50%33%17%,6,123,0.95,220,1.01,72%,138.1,0.76,0.22,1.08,0.11,0.10,30%,0%,0/6,19,94,93,27,13,12
Mixed,AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,50%25%25%,4,85,0.95,196,0.92,73%,124.0,0.71,0.35,0.75,0.07,0.09,42%,9%,1/11,19,60,65,30,6,8
Mixed,t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,50%50%,6,123,0.91,218,1.02,69%,141.4,0.78,0.12,0.95,0.16,0.17,26%,25%,2/8,20,96,94,15,20,21
Mixed,MaKo,KRX,https://www.vlr.gg/player/4462/mako,100%,6,123,0.90,170,0.86,70%,107.1,0.61,0.42,0.73,0.09,0.12,26%,14%,2/14,19,75,87,52,11,15
Mixed,ZiXuan,FPX,https://www.vlr.gg/player/4763/zixuan,50%25%25%,4,85,0.90,191,0.83,71%,132.9,0.62,0.41,0.75,0.07,0.09,24%,9%,1/11,18,53,64,35,6,8
Mixed,HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,67%33%,6,123,0.88,202,0.89,70%,131.6,0.72,0.15,1.18,0.16,0.14,32%,0%,0/9,22,89,100,19,20,17
Mixed,BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,50%25%25%,4,85,0.79,171,0.73,60%,119.6,0.56,0.26,0.75,0.07,0.09,19%,9%,1/11,14,48,66,22,6,8
Mixed,ban,TLN,https://www.vlr.gg/player/5129/ban,38%38%13%+1,8,155,0.78,171,0.83,72%,112.4,0.63,0.17,1.31,0.11,0.08,32%,5%,1/21,16,97,117,26,17,13
Mixed,Autumn,FPX,https://www.vlr.gg/player/872/autumn,50%50%,4,85,0.72,143,0.67,65%,107.8,0.49,0.14,0.57,0.05,0.08,25%,11%,2/18,15,42,63,12,4,7
