Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Mixed,Rarga,XLG,https://www.vlr.gg/player/22047/rarga,50%50%,4,85,,233,1.11,,,0.81,0.16,,,,,,,23,69,62,14,0,0
Mixed,HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,40%40%20%,10,205,,244,1.32,,,0.89,0.20,,,,,,,32,182,138,40,0,0
Mixed,YOU,XLG,https://www.vlr.gg/player/4710/you,50%25%25%,4,85,,160,0.77,,,0.56,0.27,,,,,,,18,48,62,23,0,0
Mixed,coconut,XLG,https://www.vlr.gg/player/12365/coconut,50%50%,4,85,,182,0.85,,,0.60,0.29,,,,,,,16,51,60,25,0,0
Mixed,Viva,XLG,https://www.vlr.gg/player/36415/viva,50%25%25%,4,85,,157,0.70,,,0.49,0.45,,,,,,,14,42,60,38,0,0
Mixed,mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,75%25%,4,95,,136,0.68,,,0.46,0.27,,,,,,,18,44,65,26,0,0
Mixed,f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,75%25%,4,95,,215,1.11,,,0.77,0.37,,,,,,,27,73,66,35,0,0
Mixed,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,25%25%25%+1,4,95,,178,0.85,,,0.59,0.34,,,,,,,20,56,66,32,0,0
Mixed,Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,50%25%25%,4,95,,211,1.07,,,0.77,0.19,,,,,,,27,73,68,18,0,0
Mixed,something,PRX,https://www.vlr.gg/player/17086/something,50%50%,4,95,,184,0.86,,,0.65,0.15,,,,,,,22,62,72,14,0,0
Mixed,free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,80%20%,10,205,,196,1.12,,,0.71,0.22,,,,,,,21,146,130,45,0,0
Mixed,MaKo,KRX,https://www.vlr.gg/player/4462/mako,70%30%,10,205,,225,1.27,,,0.77,0.45,,,,,,,21,157,124,92,0,0
Mixed,BeYN,KRX,https://www.vlr.gg/player/4678/beyn,50%30%20%,10,205,,202,1.26,,,0.73,0.29,,,,,,,23,149,118,59,0,0
Mixed,Estrella,KRX,https://www.vlr.gg/player/25025/estrella,40%20%20%+2,10,205,,194,1.08,,,0.69,0.31,,,,,,,22,141,130,64,0,0
Mixed,MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,50%50%,4,85,,174,0.95,,,0.67,0.20,,,,,,,24,57,60,17,0,0
Mixed,Xlele,TE,https://www.vlr.gg/player/54487/xlele,60%40%,5,99,,194,0.91,,,0.69,0.30,,,,,,,19,68,75,30,0,0
Mixed,FengF,TE,https://www.vlr.gg/player/4770/fengf,40%40%20%,5,99,,210,1.05,,,0.78,0.20,,,,,,,19,77,73,20,0,0
Mixed,Kai,TE,https://www.vlr.gg/player/37494/kai,100%,5,99,,230,0.97,,,0.77,0.19,,,,,,,21,76,78,19,0,0
Mixed,LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,80%20%,5,99,,159,0.73,,,0.56,0.33,,,,,,,14,55,75,33,0,0
Mixed,Midi,TE,https://www.vlr.gg/player/37017/midi,60%20%20%,5,99,,175,0.89,,,0.67,0.19,,,,,,,21,66,74,19,0,0
Mixed,SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,100%,3,60,,203,1.00,,,0.75,0.38,,,,,,,18,45,45,23,0,0
Mixed,CLZ,ZETA,https://www.vlr.gg/player/2615/clz,33%33%33%,3,60,,180,0.85,,,0.58,0.35,,,,,,,19,35,41,21,0,0
Mixed,Dep,ZETA,https://www.vlr.gg/player/424/dep,67%33%,3,60,,164,0.71,,,0.57,0.27,,,,,,,15,34,48,16,0,0
Mixed,Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,67%33%,3,60,,191,0.82,,,0.67,0.42,,,,,,,18,40,49,25,0,0
Mixed,TenTen,ZETA,https://www.vlr.gg/player/29839/tenten,67%33%,3,60,,264,1.22,,,0.93,0.18,,,,,,,20,56,46,11,0,0
Mixed,whzy,BLG,https://www.vlr.gg/player/4885/whzy,33%33%17%+1,6,120,,261,1.31,,,0.95,0.23,,,,,,,29,114,87,28,0,0
Mixed,Knight,BLG,https://www.vlr.gg/player/4774/knight,33%33%17%+1,6,120,,182,0.80,,,0.61,0.33,,,,,,,17,73,91,39,0,0
Mixed,Levius,BLG,https://www.vlr.gg/player/40845/levius,33%33%17%+1,6,120,,173,0.81,,,0.60,0.23,,,,,,,17,72,89,28,0,0
Mixed,nephh,BLG,https://www.vlr.gg/player/10698/nephh,33%17%17%+2,6,120,,183,0.98,,,0.67,0.43,,,,,,,23,80,82,52,0,0
Mixed,rushia,BLG,https://www.vlr.gg/player/48878/rushia,67%17%17%,6,120,,192,0.91,,,0.67,0.46,,,,,,,20,80,88,55,0,0
