Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
CN,OBONE,NOVA,https://www.vlr.gg/player/36670/obone,89%11%,9,185,,206,1.13,,,0.73,0.38,,,,,,,20,135,119,71,0,0
CN,Youze,AQ,https://www.vlr.gg/player/46040/youze,50%50%,2,41,,208,0.77,,,0.66,0.39,,,,,,,16,27,35,16,0,0
CN,GREEN,NOVA,https://www.vlr.gg/player/34181/green,67%22%11%,9,185,,222,1.18,,,0.80,0.24,,,,,,,27,148,125,45,0,0
CN,heybay,NOVA,https://www.vlr.gg/player/4712/heybay,67%22%11%,9,185,,171,0.93,,,0.58,0.35,,,,,,,17,108,116,65,0,0
CN,P1n,EDG,https://www.vlr.gg/player/34180/p1n,33%33%33%,3,55,,172,0.69,,,0.56,0.24,,,,,,,17,31,45,13,0,0
CN,AnJing,EDG,https://www.vlr.gg/player/56277/anjing,67%33%,3,55,,133,0.55,,,0.47,0.20,,,,,,,11,26,47,11,0,0
CN,YoungX,EDG,https://www.vlr.gg/player/59796/youngx,67%33%,3,55,,210,0.95,,,0.75,0.25,,,,,,,19,41,43,14,0,0
CN,Moonlight,EDG,https://www.vlr.gg/player/59797/moonlight,67%33%,3,55,,213,0.91,,,0.76,0.35,,,,,,,16,42,46,19,0,0
CN,stew,JDG,https://www.vlr.gg/player/16924/stew,40%40%20%,10,209,,235,1.18,,,0.83,0.18,,,,,,,27,173,146,38,0,0
CN,jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,90%10%,10,209,,188,1.02,,,0.68,0.41,,,,,,,19,142,139,85,0,0
CN,ggd,EDG,https://www.vlr.gg/player/59798/ggd,67%33%,3,55,,184,0.79,,,0.62,0.18,,,,,,,18,34,43,10,0,0
CN,Yuicaw,JDG,https://www.vlr.gg/player/11218/yuicaw,60%40%,10,209,,175,0.98,,,0.61,0.22,,,,,,,18,128,130,46,0,0
CN,kklin,JDG,https://www.vlr.gg/player/55828/kklin,60%20%10%+1,10,209,,199,1.08,,,0.69,0.18,,,,,,,18,145,134,38,0,0
CN,zhe,JDG,https://www.vlr.gg/player/49476/zhe,100%,10,209,,206,1.17,,,0.74,0.19,,,,,,,28,155,132,40,0,0
CN,S1Mon,AQ,https://www.vlr.gg/player/13768/s1mon,100%,2,41,,195,0.93,,,0.68,0.37,,,,,,,16,28,30,15,0,0
CN,FFs,AQ,https://www.vlr.gg/player/14439/ffs,100%,2,41,,143,0.63,,,0.49,0.22,,,,,,,12,20,32,9,0,0
CN,Dannyy,AQ,https://www.vlr.gg/player/32183/dannyy,50%50%,2,41,,168,0.81,,,0.61,0.17,,,,,,,16,25,31,7,0,0
CN,Youjun,AQ,https://www.vlr.gg/player/46042/youjun,100%,2,41,,120,0.52,,,0.41,0.07,,,,,,,10,17,33,3,0,0
