Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Americas,aspas,MIBR,https://www.vlr.gg/player/8480/aspas,90%10%,10,217,1.29,251,1.37,71%,166.5,0.92,0.12,1.43,0.20,0.14,30%,19%,5/27,27,200,146,27,43,30
Americas,OXY,C9,https://www.vlr.gg/player/18796/oxy,33%33%22%+1,9,191,1.29,283,1.46,73%,172.0,1.02,0.13,1.93,0.27,0.14,32%,8%,1/13,33,194,133,25,52,27
Americas,heat,FUR,https://www.vlr.gg/player/8673/heat,75%25%,4,79,1.25,223,1.17,67%,146.2,0.77,0.14,1.00,0.08,0.08,50%,9%,2/23,19,61,52,11,6,6
Americas,eeiu,100T,https://www.vlr.gg/player/796/eeiu,61%22%17%,18,374,1.18,218,1.23,74%,149.4,0.77,0.24,1.65,0.07,0.05,28%,16%,9/55,24,288,235,89,28,17
Americas,Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,33%28%17%+2,18,374,1.16,224,1.24,72%,145.2,0.83,0.17,1.09,0.16,0.14,26%,34%,12/35,25,311,250,62,58,53
Americas,s0m,NRG,https://www.vlr.gg/player/4164/s0m,41%29%29%,17,371,1.16,224,1.25,78%,147.3,0.80,0.33,1.18,0.11,0.09,25%,24%,8/34,25,297,237,121,39,33
Americas,kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,33%33%33%,6,137,1.16,218,1.24,73%,145.0,0.78,0.38,2.43,0.12,0.05,33%,29%,6/21,26,107,86,52,17,7
Americas,skuba,NRG,https://www.vlr.gg/player/11118/skuba,53%18%18%+2,17,371,1.16,210,1.30,77%,137.2,0.78,0.33,0.88,0.06,0.07,28%,19%,12/64,31,289,222,124,23,26
Americas,yay,EG,https://www.vlr.gg/player/881/yay,60%20%20%,5,112,1.13,274,1.20,74%,169.4,0.95,0.20,1.73,0.23,0.13,35%,0%,0/3,27,106,88,22,26,15
Americas,nerve,KRÜ,https://www.vlr.gg/player/754/nerve,57%29%14%,7,144,1.12,178,1.10,69%,120.4,0.68,0.32,0.50,0.05,0.10,35%,21%,5/24,19,98,89,46,7,14
