Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Americas,penny,FUR,https://www.vlr.gg/player/7716/penny,,38,1.37,266.0,1.68,82%,165.9,0.97,0.21,0.18,0.11,24%,25%,1/4,22,37,22,8,7,4
Americas,mada,NRG,https://www.vlr.gg/player/5132/mada,(+1),183,1.29,277.3,1.37,75%,173.6,0.97,0.19,0.20,0.21,22%,26%,5/19,30,178,130,35,37,39
Americas,bdog,FUR,https://www.vlr.gg/player/844/bdog,,38,1.28,212.5,1.33,79%,125.5,0.74,0.55,0.05,0.00,35%,,0/8,16,28,21,21,2,0
Americas,aspas,MIBR,https://www.vlr.gg/player/8480/aspas,,373,1.26,248.8,1.38,77%,163.4,0.89,0.13,0.20,0.12,23%,7%,3/42,37,332,241,48,73,45
Americas,trent,G2,https://www.vlr.gg/player/15500/trent,,221,1.26,217.2,1.42,75%,150.7,0.81,0.21,0.10,0.07,28%,26%,7/27,23,179,126,47,21,16
Americas,Shyy,KRÜ,https://www.vlr.gg/player/24007/shyy,,246,1.20,213.1,1.22,77%,141.9,0.76,0.23,0.08,0.04,28%,24%,9/38,25,188,154,56,19,9
Americas,leaf,G2,https://www.vlr.gg/player/7873/leaf,,221,1.19,230.0,1.27,71%,151.6,0.84,0.20,0.15,0.09,27%,22%,7/32,24,186,146,44,34,19
Americas,dgzin,LOUD,https://www.vlr.gg/player/8873/dgzin,,204,1.19,238.9,1.35,70%,156.1,0.86,0.12,0.21,0.12,26%,13%,2/16,28,175,130,25,42,24
Americas,jakee,FUR,https://www.vlr.gg/player/8742/jakee,,38,1.16,221.0,1.16,82%,141.7,0.76,0.47,0.03,0.11,25%,,,19,29,25,18,1,4
Americas,gobera,2G,https://www.vlr.gg/player/14950/gobera,,69,1.16,239.5,1.07,75%,157.2,0.84,0.29,0.10,0.06,32%,6%,1/18,23,58,54,20,7,4
Americas,Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,(+1),170,1.15,233.9,1.20,81%,154.1,0.81,0.24,0.14,0.08,29%,20%,4/20,24,138,115,41,23,13
Americas,Melser,KRÜ,https://www.vlr.gg/player/1311/melser,,246,1.14,204.0,1.23,78%,125.7,0.74,0.36,0.10,0.07,33%,26%,7/27,26,182,148,88,24,16
Americas,s0m,NRG,https://www.vlr.gg/player/4164/s0m,(+2),183,1.11,215.0,1.10,81%,134.1,0.75,0.44,0.10,0.08,24%,11%,2/18,30,138,125,81,19,14
Americas,Khalil,FUR,https://www.vlr.gg/player/1711/khalil,,80,1.10,211.3,1.07,79%,137.1,0.78,0.26,0.09,0.04,39%,7%,1/14,19,62,58,21,7,3
Americas,eeiu,100T,https://www.vlr.gg/player/796/eeiu,,170,1.09,198.1,1.21,78%,129.0,0.76,0.32,0.06,0.05,41%,17%,4/23,26,129,107,55,10,8
Americas,johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,,370,1.09,186.5,1.05,74%,127.9,0.65,0.27,0.06,0.05,27%,10%,4/40,27,242,231,100,24,18
Americas,kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,,148,1.09,216.0,1.08,80%,138.4,0.76,0.39,0.09,0.09,32%,16%,3/19,20,112,104,57,14,13
Americas,pANcada,LOUD,https://www.vlr.gg/player/683/pancada,,204,1.08,193.4,1.08,75%,129.0,0.70,0.31,0.08,0.05,39%,5%,2/38,20,142,131,63,17,11
Americas,stellar,FUR,https://www.vlr.gg/player/733/stellar,,38,1.08,204.5,1.21,76%,143.3,0.76,0.29,0.11,0.16,19%,100%,2/2,15,29,24,11,4,6
Americas,JonahP,G2,https://www.vlr.gg/player/4581/jonahp,,221,1.05,178.9,1.04,78%,113.7,0.65,0.51,0.05,0.06,24%,18%,4/22,18,144,138,113,12,13
Americas,nataNk,LEV,https://www.vlr.gg/player/5004/natank,(+2),148,1.05,207.1,1.07,76%,136.9,0.70,0.38,0.13,0.14,25%,27%,4/15,20,104,97,56,19,21
Americas,Asuna,100T,https://www.vlr.gg/player/601/asuna,,170,1.04,234.3,1.08,71%,149.7,0.78,0.28,0.19,0.16,22%,43%,6/14,23,132,122,47,33,27
Americas,zekken,SEN,https://www.vlr.gg/player/4004/zekken,,370,1.04,219.7,1.10,72%,144.3,0.79,0.22,0.19,0.18,23%,14%,5/37,32,291,264,81,71,68
Americas,xenom,MIBR,https://www.vlr.gg/player/20240/xenom,,373,1.04,182.6,1.03,76%,118.2,0.66,0.42,0.06,0.06,31%,17%,9/53,33,247,240,155,21,24
Americas,keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,,246,1.03,214.6,1.10,73%,137.9,0.74,0.16,0.17,0.16,22%,17%,3/18,24,183,167,40,43,39
Americas,tex,LEV,https://www.vlr.gg/player/1818/tex,,148,1.03,186.6,1.09,70%,123.3,0.70,0.09,0.06,0.11,36%,30%,6/20,17,104,95,14,9,16
Americas,valyn,G2,https://www.vlr.gg/player/3885/valyn,,221,1.03,187.5,1.03,72%,122.8,0.66,0.40,0.06,0.07,20%,29%,5/17,20,145,141,89,14,16
