Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,(+1),313,1.23,235.6,1.27,71%,158.1,0.87,0.28,0.08,0.07,28%,22%,11/51,36,271,213,87,24,22
EMEA,nAts,TL,https://www.vlr.gg/player/457/nats,,155,1.21,257.6,1.32,72%,155.1,0.91,0.19,0.09,0.12,26%,13%,3/23,25,141,107,29,14,18
Americas,trent,G2,https://www.vlr.gg/player/15500/trent,,360,1.21,220.0,1.21,75%,146.9,0.76,0.32,0.09,0.09,25%,29%,14/48,26,274,226,116,31,31
EMEA,Derke,VIT,https://www.vlr.gg/player/5022/derke,,225,1.18,257.2,1.20,70%,166.8,0.91,0.17,0.20,0.20,22%,31%,5/16,32,204,170,38,46,45
Pacific,iZu,T1,https://www.vlr.gg/player/29833/izu,(+1),453,1.13,207.1,1.24,75%,130.6,0.75,0.21,0.11,0.09,30%,31%,19/61,21,341,276,96,48,40
CN,free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,,149,1.10,227.3,1.16,77%,146.9,0.79,0.26,0.12,0.11,29%,7%,1/15,24,117,101,38,18,16
EMEA,keiko,TL,https://www.vlr.gg/player/11494/keiko,(+1),155,1.09,198.9,1.09,77%,137.7,0.75,0.34,0.10,0.08,30%,10%,2/20,31,117,107,52,15,12
EMEA,trexx,VIT,https://www.vlr.gg/player/2168/trexx,(+1),225,1.09,207.3,1.02,72%,134.3,0.68,0.44,0.05,0.05,19%,9%,3/32,28,153,150,98,12,11
CN,BeYN,KRX,https://www.vlr.gg/player/4678/beyn,,149,1.08,182.4,1.03,78%,117.3,0.64,0.44,0.06,0.07,25%,21%,4/19,17,95,92,65,9,10
Pacific,BuZz,T1,https://www.vlr.gg/player/804/buzz,(+1),453,1.08,239.5,1.12,72%,150.4,0.82,0.24,0.17,0.14,17%,20%,6/30,26,370,331,107,78,62
Americas,valyn,G2,https://www.vlr.gg/player/3885/valyn,,360,1.08,186.8,1.06,76%,122.1,0.68,0.44,0.08,0.08,23%,14%,5/37,26,244,231,158,29,27
Americas,leaf,G2,https://www.vlr.gg/player/7873/leaf,,360,1.06,207.3,1.09,74%,137.5,0.74,0.25,0.11,0.10,24%,12%,5/41,28,267,244,91,38,36
Americas,N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,(+1),103,1.05,202.4,0.97,76%,148.4,0.73,0.39,0.13,0.04,27%,13%,2/15,33,75,77,40,13,4
Pacific,Meteor,T1,https://www.vlr.gg/player/13039/meteor,(+2),453,1.04,229.0,1.09,71%,152.8,0.81,0.23,0.17,0.11,33%,16%,7/45,30,366,337,103,75,50
EMEA,Less,VIT,https://www.vlr.gg/player/8447/less,(+1),225,1.03,197.1,1.03,68%,128.8,0.72,0.31,0.06,0.12,29%,20%,6/30,23,163,159,69,14,26
Americas,jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,,360,1.03,218.5,1.06,71%,142.9,0.77,0.29,0.13,0.18,23%,38%,9/24,29,277,262,104,47,64
Pacific,Sylvan,T1,https://www.vlr.gg/player/4056/sylvan,,408,1.02,186.1,0.97,77%,114.6,0.64,0.64,0.08,0.04,27%,17%,7/42,25,260,267,262,31,18
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,(+1),313,1.01,236.2,1.04,70%,151.0,0.83,0.19,0.21,0.22,23%,4%,1/27,33,260,249,59,66,70
Pacific,stax,T1,https://www.vlr.gg/player/485/stax,(+2),453,1.01,173.6,1.01,74%,120.3,0.63,0.34,0.04,0.04,31%,17%,10/59,22,284,282,154,20,20
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,(+1),313,1.01,191.1,0.93,74%,124.6,0.65,0.49,0.10,0.06,30%,20%,9/45,24,203,219,152,30,20
CN,Flashback,KRX,https://www.vlr.gg/player/35013/flashback,,149,1.00,180.4,1.00,71%,126.4,0.68,0.17,0.09,0.07,26%,8%,2/25,26,101,101,26,13,11
EMEA,kamo,TL,https://www.vlr.gg/player/14681/kamo,(+1),155,0.99,215.0,1.02,66%,144.5,0.75,0.15,0.18,0.17,27%,13%,2/15,34,117,115,23,28,27
