Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Mixed,OBONE,NOVA,https://www.vlr.gg/player/36670/obone,50%25%25%,4,81,,205,0.90,,,0.68,0.40,,,,,,,21,55,61,32,0,0
Mixed,Setrod,FPX,https://www.vlr.gg/player/50025/setrod,50%33%17%,6,125,,213,1.00,,,0.72,0.22,,,,,,,18,90,90,27,0,0
Mixed,Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,50%25%25%,4,81,,216,1.07,,,0.77,0.16,,,,,,,19,62,58,13,0,0
Mixed,GREEN,NOVA,https://www.vlr.gg/player/34181/green,50%25%25%,4,81,,195,0.81,,,0.67,0.30,,,,,,,16,54,67,24,0,0
Mixed,heybay,NOVA,https://www.vlr.gg/player/4712/heybay,75%25%,4,81,,131,0.65,,,0.51,0.15,,,,,,,22,41,63,12,0,0
Mixed,f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,38%31%15%+1,13,264,,213,1.14,,,0.78,0.33,,,,,,,21,206,180,88,0,0
Mixed,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,62%23%15%,13,264,,215,1.11,,,0.75,0.22,,,,,,,23,197,177,59,0,0
Mixed,Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,69%15%15%,13,264,,231,1.16,,,0.79,0.22,,,,,,,29,208,180,57,0,0
Mixed,something,PRX,https://www.vlr.gg/player/17086/something,100%,13,264,,212,1.14,,,0.78,0.22,,,,,,,24,207,182,58,0,0
Mixed,invy,PRX,https://www.vlr.gg/player/8504/invy,100%,13,264,,190,1.20,,,0.70,0.29,,,,,,,19,185,154,76,0,0
Mixed,AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,33%33%17%+1,6,125,,168,0.82,,,0.62,0.18,,,,,,,19,77,94,22,0,0
Mixed,Life,FPX,https://www.vlr.gg/player/3028/life,50%33%17%,6,125,,212,1.00,,,0.79,0.18,,,,,,,29,99,99,22,0,0
Mixed,BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,67%33%,6,125,,167,0.81,,,0.58,0.28,,,,,,,18,73,90,35,0,0
Mixed,sScary,FPX,https://www.vlr.gg/player/4382/sscary,67%33%,6,125,,201,0.97,,,0.67,0.44,,,,,,,22,84,87,55,0,0
Mixed,GuanG,NOVA,https://www.vlr.gg/player/41054/guang,50%50%,4,81,,186,0.83,,,0.67,0.15,,,,,,,17,54,65,12,0,0
Mixed,Karon,GEN,https://www.vlr.gg/player/34974/karon,75%13%13%,8,155,,199,1.04,,,0.73,0.24,,,,,,,18,113,109,37,0,0
Mixed,Ash,GEN,https://www.vlr.gg/player/25017/ash,50%50%,8,155,,187,1.00,,,0.66,0.37,,,,,,,21,102,102,58,0,0
Mixed,t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,50%38%13%,8,155,,208,0.98,,,0.75,0.17,,,,,,,19,116,118,27,0,0
Mixed,Lakia,GEN,https://www.vlr.gg/player/773/lakia,50%38%13%,8,155,,187,0.97,,,0.65,0.23,,,,,,,17,101,104,35,0,0
Mixed,ZynX,GEN,https://www.vlr.gg/player/51099/zynx,50%25%13%+1,8,155,,215,1.16,,,0.78,0.19,,,,,,,23,121,104,30,0,0
Mixed,whzy,BLG,https://www.vlr.gg/player/4885/whzy,75%25%,4,80,,200,0.78,,,0.65,0.24,,,,,,,18,52,67,19,0,0
Mixed,Knight,BLG,https://www.vlr.gg/player/4774/knight,100%,4,80,,178,0.87,,,0.65,0.20,,,,,,,20,52,60,16,0,0
Mixed,Levius,BLG,https://www.vlr.gg/player/40845/levius,50%25%25%,4,80,,160,0.73,,,0.54,0.10,,,,,,,15,43,59,8,0,0
Mixed,nephh,BLG,https://www.vlr.gg/player/10698/nephh,50%25%25%,4,80,,170,0.78,,,0.63,0.10,,,,,,,17,50,64,8,0,0
Mixed,rushia,BLG,https://www.vlr.gg/player/48878/rushia,50%25%25%,4,80,,167,0.67,,,0.54,0.41,,,,,,,16,43,64,33,0,0
Mixed,trent,G2,https://www.vlr.gg/player/15500/trent,57%29%14%,7,139,,180,0.99,,,0.66,0.30,,,,,,,23,92,93,42,0,0
Mixed,valyn,G2,https://www.vlr.gg/player/3885/valyn,86%14%,7,139,,194,0.95,,,0.69,0.32,,,,,,,27,96,101,45,0,0
Mixed,leaf,G2,https://www.vlr.gg/player/7873/leaf,43%29%14%+1,7,139,,211,0.96,,,0.68,0.40,,,,,,,19,95,99,56,0,0
Mixed,jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,57%29%14%,7,139,,235,1.12,,,0.83,0.28,,,,,,,23,115,103,39,0,0
Mixed,BABYBAY,G2,https://www.vlr.gg/player/2170/babybay,43%29%14%+1,7,139,,201,1.05,,,0.71,0.20,,,,,,,18,99,94,28,0,0
