Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Mixed,Demon1,Team,https://www.vlr.gg/player/26171/demon1,100%,1,20,1.58,328,1.60,80%,189.6,1.20,0.45,0.00,0.00,0.25,48%,50%,1/2,24,24,15,9,0,5
Mixed,Aace,FL,https://www.vlr.gg/player/43064/aace,100%,2,40,1.56,382,1.49,75%,247.2,1.30,0.15,3.00,0.38,0.13,40%,0%,0/3,29,52,35,6,15,5
Mixed,brazy,BLX,https://www.vlr.gg/player/7994/brazy,100%,2,41,1.37,302,1.57,68%,183.8,1.07,0.10,1.71,0.29,0.17,18%,0%,0/4,29,44,28,4,12,7
Mixed,Madaô,BXLZ,https://www.vlr.gg/player/4614/mada,50%50%,2,42,1.33,231,1.35,76%,157.7,0.83,0.24,2.50,0.12,0.05,26%,20%,2/10,20,35,26,10,5,2
Mixed,Darxcioo,BXLZ,https://www.vlr.gg/player/42358/darxcioo,50%50%,2,42,1.32,319,1.47,83%,190.8,1.12,0.21,1.57,0.26,0.17,35%,0%,0/4,27,47,32,9,11,7
Mixed,iiTzTimmy,Team,https://www.vlr.gg/player/18161/iitztimmy,100%,1,20,1.28,233,1.64,60%,143.2,0.90,0.00,0.33,0.05,0.15,32%,50%,1/2,18,18,11,0,1,3
Mixed,Sacy,Team,https://www.vlr.gg/player/659/sacy,100%,1,20,1.26,221,1.36,75%,134.9,0.75,0.35,,0.05,0.00,19%,0%,0/2,15,15,11,7,1,0
Mixed,Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,80%20%,5,109,1.24,227,1.36,77%,141.1,0.83,0.30,2.50,0.09,0.04,25%,0%,0/7,22,91,67,33,10,4
Mixed,zander,CUBE,https://www.vlr.gg/player/8082/zander,67%17%17%,6,107,1.23,230,1.37,80%,146.8,0.83,0.47,2.40,0.11,0.05,25%,18%,2/11,21,89,65,50,12,5
Mixed,YuNo,Klan,https://www.vlr.gg/player/15473/yuno,100%,3,64,1.22,224,1.23,77%,145.4,0.75,0.33,1.67,0.08,0.05,30%,20%,2/10,19,48,39,21,5,3
Mixed,TenZ,Team,https://www.vlr.gg/player/9/tenz,100%,1,20,1.20,222,1.08,75%,152.3,0.70,0.30,3.00,0.15,0.05,29%,0%,0/2,14,14,13,6,3,1
Mixed,Kess,CUBE,https://www.vlr.gg/player/9094/kess,83%17%,6,107,1.20,227,1.28,83%,149.4,0.81,0.25,2.33,0.07,0.03,24%,5%,1/19,23,87,68,27,7,3
Mixed,jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,56%33%11%,9,186,1.19,230,1.29,73%,148.6,0.87,0.20,1.40,0.19,0.13,24%,44%,8/18,34,162,126,37,35,25
Mixed,Hassan,Klan,https://www.vlr.gg/player/48951/hassan,100%,3,64,1.18,209,1.26,72%,136.6,0.75,0.20,1.50,0.09,0.06,26%,27%,3/11,20,48,38,13,6,4
Mixed,NiSMO,CUBE,https://www.vlr.gg/player/4828/nismo,50%17%17%+1,6,107,1.16,206,1.29,76%,138.6,0.76,0.30,0.56,0.05,0.08,29%,27%,3/11,21,81,63,32,5,9
Mixed,Saiz,Klan,https://www.vlr.gg/player/7220/saiz,100%,3,64,1.16,224,1.24,80%,150.7,0.80,0.27,1.20,0.09,0.08,42%,20%,1/5,20,51,41,17,6,5
Mixed,penny,C9,https://www.vlr.gg/player/7716/penny,40%40%20%,5,109,1.16,238,1.22,76%,156.8,0.82,0.26,1.00,0.10,0.10,21%,0%,0/15,24,89,73,28,11,11
Mixed,trent,G2,https://www.vlr.gg/player/15500/trent,67%33%,9,186,1.16,191,1.28,75%,123.3,0.72,0.30,0.93,0.08,0.08,29%,29%,9/31,25,133,104,56,14,15
Mixed,mada,NRG,https://www.vlr.gg/player/5132/mada,57%29%14%,7,139,1.15,235,1.30,71%,160.7,0.86,0.19,1.33,0.23,0.17,34%,14%,1/7,23,120,92,26,32,24
Mixed,Leosen,SGE,https://www.vlr.gg/player/9508/leosen,67%33%,3,67,1.14,237,1.08,75%,148.6,0.78,0.43,2.60,0.19,0.07,29%,0%,0/5,21,52,48,29,13,5
