Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Mixed,Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,50%50%,2,43,,129,0.47,,,0.40,0.12,,,,,,,15,17,36,5,0,0
Mixed,Neon,LEV,https://www.vlr.gg/player/29243/neon,50%38%13%,8,175,,250,1.53,,,0.89,0.13,,,,,,,41,156,102,23,0,0
Mixed,Jovi,RRQ,https://www.vlr.gg/player/6570/jovi,100%,2,43,,135,0.55,,,0.51,0.19,,,,,,,11,22,40,8,0,0
Mixed,Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,100%,2,43,,169,0.69,,,0.56,0.23,,,,,,,16,24,35,10,0,0
Mixed,Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,100%,2,43,,234,1.09,,,0.81,0.19,,,,,,,18,35,32,8,0,0
Mixed,nobody,EDG,https://www.vlr.gg/player/3017/nobody,57%29%14%,7,158,,210,1.05,,,0.73,0.23,,,,,,,21,116,110,37,0,0
Mixed,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,43%29%29%,7,158,,209,1.11,,,0.76,0.35,,,,,,,27,120,108,56,0,0
Mixed,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,71%29%,7,158,,204,1.03,,,0.73,0.22,,,,,,,30,115,112,35,0,0
Mixed,cb,EDG,https://www.vlr.gg/player/39697/cb,43%29%29%,7,158,,175,0.85,,,0.61,0.22,,,,,,,19,97,114,34,0,0
Mixed,Jieni7,EDG,https://www.vlr.gg/player/51244/jieni7,57%29%14%,7,158,,171,0.82,,,0.61,0.11,,,,,,,21,97,119,18,0,0
Mixed,kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,63%25%13%,8,175,,200,1.27,,,0.70,0.39,,,,,,,24,122,96,68,0,0
Mixed,blowz,LEV,https://www.vlr.gg/player/21251/blowz,75%25%,8,175,,184,1.23,,,0.66,0.18,,,,,,,27,116,94,31,0,0
Mixed,Sato,LEV,https://www.vlr.gg/player/21659/sato,63%25%13%,8,175,,225,1.19,,,0.75,0.19,,,,,,,24,131,110,33,0,0
Mixed,spike,LEV,https://www.vlr.gg/player/21661/spike,75%25%,8,175,,193,1.14,,,0.69,0.34,,,,,,,23,120,105,59,0,0
Mixed,xffero,RRQ,https://www.vlr.gg/player/4871/xffero,50%50%,2,43,,259,1.33,,,0.93,0.16,,,,,,,27,40,30,7,0,0
Mixed,whzy,BLG,https://www.vlr.gg/player/4885/whzy,71%29%,7,171,,185,0.87,,,0.66,0.18,,,,,,,27,113,130,31,0,0
Mixed,Knight,BLG,https://www.vlr.gg/player/4774/knight,100%,7,171,,174,0.82,,,0.60,0.32,,,,,,,22,103,126,54,0,0
Mixed,nephh,BLG,https://www.vlr.gg/player/10698/nephh,43%29%29%,7,171,,189,0.90,,,0.64,0.35,,,,,,,26,110,122,60,0,0
Mixed,Levius,BLG,https://www.vlr.gg/player/40845/levius,57%29%14%,7,171,,183,0.85,,,0.61,0.25,,,,,,,30,105,124,42,0,0
Mixed,rushia,BLG,https://www.vlr.gg/player/48878/rushia,71%29%,7,171,,191,1.03,,,0.70,0.19,,,,,,,23,119,116,33,0,0
Mixed,free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,63%25%13%,8,180,,204,1.06,,,0.68,0.18,,,,,,,25,122,115,33,0,0
Mixed,MaKo,KRX,https://www.vlr.gg/player/4462/mako,63%25%13%,8,180,,157,0.83,,,0.54,0.42,,,,,,,21,97,117,76,0,0
Mixed,BeYN,KRX,https://www.vlr.gg/player/4678/beyn,63%38%,8,180,,173,0.93,,,0.60,0.24,,,,,,,17,108,116,44,0,0
Mixed,HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,50%38%13%,8,180,,175,0.91,,,0.63,0.14,,,,,,,21,114,125,25,0,0
Mixed,Flashback,KRX,https://www.vlr.gg/player/35013/flashback,100%,8,180,,220,1.21,,,0.78,0.16,,,,,,,24,140,116,28,0,0
Mixed,yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,50%50%,2,47,,167,0.93,,,0.60,0.17,,,,,,,16,28,30,8,0,0
Mixed,SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,100%,2,47,,186,1.11,,,0.64,0.32,,,,,,,17,30,27,15,0,0
Mixed,Spring,WOL,https://www.vlr.gg/player/14125/spring,50%50%,2,47,,227,1.09,,,0.74,0.26,,,,,,,20,35,32,12,0,0
Mixed,jowa,WOL,https://www.vlr.gg/player/19292/jowa,50%50%,2,47,,135,0.65,,,0.47,0.34,,,,,,,14,22,34,16,0,0
Mixed,Satoshi,WOL,https://www.vlr.gg/player/46532/satoshi,50%50%,2,47,,182,0.94,,,0.66,0.30,,,,,,,17,31,33,14,0,0
