Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Mixed,Xross,NS,https://www.vlr.gg/player/42772/xross,75%13%13%,8,165,1.17,199,1.20,78%,132.7,0.73,0.38,1.50,0.07,0.05,33%,15%,4/26,23,120,100,62,12,8
Mixed,BeYN,KRX,https://www.vlr.gg/player/4678/beyn,50%50%,6,119,1.15,206,1.33,82%,141.4,0.77,0.22,0.63,0.04,0.07,24%,22%,4/18,23,92,69,26,5,8
Mixed,Flashback,KRX,https://www.vlr.gg/player/35013/flashback,100%,6,119,1.15,253,1.35,75%,152.4,0.94,0.12,1.46,0.16,0.11,24%,22%,2/9,28,112,83,14,19,13
Mixed,Dambi,NS,https://www.vlr.gg/player/31827/dambi,50%38%13%,8,165,1.10,234,1.07,77%,145.1,0.81,0.36,1.17,0.16,0.14,19%,0%,0/7,24,133,124,59,27,23
Mixed,MaKo,KRX,https://www.vlr.gg/player/4462/mako,33%33%33%,6,119,1.08,184,1.11,80%,125.0,0.66,0.50,0.50,0.03,0.07,26%,36%,4/11,19,79,71,60,4,8
Mixed,Francis,NS,https://www.vlr.gg/player/31828/francis,88%13%,8,165,1.08,223,1.18,75%,137.0,0.83,0.18,1.81,0.23,0.13,21%,17%,2/12,29,137,116,30,38,21
Mixed,Rb,NS,https://www.vlr.gg/player/488/rb,63%25%13%,8,165,1.07,197,1.13,74%,122.4,0.70,0.32,1.25,0.03,0.02,23%,22%,4/18,21,115,102,53,5,4
Mixed,yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,100%,4,84,1.05,212,1.15,68%,146.9,0.75,0.26,0.40,0.07,0.18,21%,0%,0/7,23,63,55,22,6,15
Mixed,Spring,WOL,https://www.vlr.gg/player/14125/spring,75%25%,4,84,1.02,201,1.00,63%,130.9,0.73,0.17,1.33,0.10,0.07,28%,20%,2/10,20,61,61,14,8,6
Mixed,free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,50%33%17%,6,119,0.99,203,1.11,70%,130.5,0.74,0.24,1.86,0.11,0.06,27%,25%,3/12,16,88,79,28,13,7
Mixed,jowa,WOL,https://www.vlr.gg/player/19292/jowa,50%25%25%,4,84,0.98,182,0.91,68%,110.1,0.62,0.31,0.56,0.06,0.11,38%,14%,1/7,15,52,57,26,5,9
Mixed,Boo,TH,https://www.vlr.gg/player/1144/boo,100%,6,128,0.97,175,0.90,74%,110.1,0.62,0.45,0.41,0.05,0.13,29%,18%,5/28,21,79,88,57,7,17
Mixed,benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,50%33%17%,6,128,0.96,189,0.95,71%,125.0,0.67,0.14,0.73,0.09,0.12,34%,13%,2/15,22,86,91,18,11,15
Mixed,Flicker,KRX,https://www.vlr.gg/player/51100/flicker,50%33%17%,6,119,0.96,227,0.98,76%,145.2,0.75,0.27,1.00,0.18,0.18,24%,0%,0/10,20,89,91,32,21,21
Mixed,Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,50%33%17%,6,128,0.93,202,0.89,74%,135.0,0.70,0.23,1.38,0.14,0.10,28%,14%,1/7,23,89,100,29,18,13
Mixed,Ivy,NS,https://www.vlr.gg/player/31829/ivy,38%38%25%,8,165,0.89,189,0.93,66%,123.8,0.66,0.19,1.00,0.08,0.08,33%,14%,3/21,22,109,117,31,13,13
Mixed,SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,50%25%25%,4,84,0.86,144,0.71,79%,96.7,0.46,0.31,0.33,0.02,0.07,28%,0%,0/16,15,39,55,26,2,6
Mixed,ComeBack,TH,https://www.vlr.gg/player/40591/comeback,50%33%17%,6,128,0.79,166,0.74,67%,109.6,0.58,0.16,1.58,0.15,0.09,26%,5%,1/20,20,74,100,21,19,12
Mixed,paTiTek,TH,https://www.vlr.gg/player/309/patitek,67%17%17%,6,128,0.74,160,0.72,65%,107.3,0.57,0.23,0.45,0.04,0.09,28%,8%,1/13,22,73,102,30,5,11
Mixed,Satoshi,WOL,https://www.vlr.gg/player/46532/satoshi,50%50%,4,84,0.52,121,0.50,61%,82.1,0.40,0.19,0.53,0.11,0.20,21%,0%,0/4,19,34,68,16,9,17
