Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
CN,vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,(+2),581,1.25,220.2,1.26,74%,148.0,0.81,0.23,0.08,0.06,30%,,,28,470,372,135,46,35
CN,slowly,TYL,https://www.vlr.gg/player/41739/slowly,(+2),517,1.20,216.6,1.21,76%,143.2,0.78,0.34,0.06,0.06,30%,,,28,404,335,178,30,31
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,(+2),554,1.20,231.3,1.23,79%,150.0,0.81,0.39,0.11,0.08,28%,,,26,448,365,217,62,47
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,(+1),554,1.19,210.0,1.27,77%,138.3,0.77,0.30,0.07,0.07,30%,,,23,426,335,166,41,41
CN,nephh,BLG,https://www.vlr.gg/player/10698/nephh,(+1),259,1.17,215.9,1.18,76%,128.6,0.76,0.38,0.07,0.07,24%,,,23,198,168,99,18,19
CN,f4ngeer,AG,https://www.vlr.gg/player/21216/f4ngeer,,523,1.17,236.6,1.25,70%,148.5,0.85,0.19,0.15,0.13,32%,,,27,445,357,100,71,61
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,(+2),554,1.16,252.5,1.27,73%,164.9,0.89,0.17,0.21,0.15,23%,,,28,495,389,95,116,82
CN,AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,(+1),262,1.16,228.4,1.26,76%,147.6,0.84,0.20,0.09,0.05,36%,,,29,219,174,53,22,11
CN,happywei,XLG,https://www.vlr.gg/player/37927/happywei,(+1),639,1.14,232.5,1.19,75%,156.7,0.81,0.27,0.12,0.09,37%,,,29,518,434,172,75,56
CN,Spring,WOL,https://www.vlr.gg/player/14125/spring,(+2),253,1.12,216.7,1.01,71%,145.8,0.74,0.33,0.09,0.10,27%,,,23,186,184,83,23,25
CN,deLb,TE,https://www.vlr.gg/player/10821/delb,(+1),406,1.12,211.2,1.10,73%,138.9,0.76,0.31,0.09,0.09,40%,,,28,307,280,125,34,32
CN,lucas,TEC,https://www.vlr.gg/player/19677/lucas,,425,1.12,205.7,1.12,70%,136.2,0.73,0.30,0.06,0.06,30%,,,25,312,279,128,24,25
CN,zhe,JDG,https://www.vlr.gg/player/49476/zhe,(+1),438,1.10,235.4,1.10,75%,152.1,0.82,0.24,0.15,0.15,24%,,,30,360,326,107,67,64
CN,Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,(+1),639,1.10,202.4,1.08,77%,132.7,0.71,0.42,0.05,0.05,24%,,,23,455,421,268,35,29
CN,Erv,TYL,https://www.vlr.gg/player/55085/erv,(+2),517,1.09,219.4,1.03,74%,148.2,0.73,0.39,0.11,0.10,29%,,,23,378,366,204,53,49
CN,Shr1mp,AG,https://www.vlr.gg/player/25494/shr1mp,,523,1.09,191.8,1.09,72%,117.4,0.70,0.35,0.06,0.04,25%,,,22,364,334,184,29,21
CN,WsLeo,XLG,https://www.vlr.gg/player/24308/wsleo,(+1),639,1.09,202.4,1.10,77%,132.8,0.70,0.40,0.07,0.05,27%,,,22,450,410,256,42,32
CN,Coco,TEC,https://www.vlr.gg/player/47629/coco,(+3),425,1.07,207.0,1.00,73%,135.8,0.71,0.40,0.08,0.08,30%,,,26,302,302,170,34,35
