Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Mixed,marteen,M8,https://www.vlr.gg/player/10307/marteen,56%33%11%,9,194,1.31,268,1.40,78%,178.5,0.90,0.31,2.17,0.13,0.06,25%,16%,3/19,29,175,125,60,26,12
Mixed,Lar0k,BBL,https://www.vlr.gg/player/31305/lar0k,44%25%19%+1,16,346,1.26,273,1.35,73%,173.4,0.93,0.19,1.08,0.12,0.12,31%,29%,10/34,29,323,240,67,43,40
Mixed,Loita,BBL,https://www.vlr.gg/player/24344/loita,94%6%,16,346,1.23,227,1.18,77%,151.0,0.78,0.48,1.23,0.08,0.06,35%,20%,8/40,30,271,230,167,27,22
Mixed,Verno,MIBR,https://www.vlr.gg/player/21668/verno,50%40%10%,10,196,1.21,221,1.23,76%,142.5,0.73,0.40,1.50,0.06,0.04,33%,15%,4/26,23,144,117,78,12,8
Mixed,Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,38%25%13%+2,8,178,1.19,244,1.20,75%,159.0,0.84,0.34,1.84,0.20,0.11,23%,0%,0/14,29,150,125,61,35,19
Mixed,Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,75%25%,4,83,1.19,243,1.23,65%,160.3,0.89,0.12,1.00,0.20,0.20,39%,20%,2/10,29,74,60,10,17,17
Mixed,trent,G2,https://www.vlr.gg/player/15500/trent,50%50%,8,171,1.18,205,1.20,73%,142.7,0.74,0.34,1.38,0.06,0.05,40%,19%,5/26,23,127,106,58,11,8
Mixed,N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,50%38%13%,8,168,1.18,232,1.15,69%,154.4,0.80,0.20,1.13,0.11,0.10,28%,7%,2/28,23,134,117,33,18,16
Mixed,leaf,G2,https://www.vlr.gg/player/7873/leaf,63%25%13%,8,171,1.17,231,1.28,72%,153.6,0.83,0.30,1.50,0.09,0.06,29%,6%,2/31,23,142,111,51,15,10
Mixed,RieNs,TH,https://www.vlr.gg/player/10971/riens,50%50%,8,178,1.15,216,1.16,77%,141.2,0.79,0.29,1.07,0.08,0.08,32%,18%,3/17,26,141,122,51,15,14
Mixed,Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,80%20%,15,304,1.13,205,1.17,70%,138.5,0.74,0.26,1.23,0.09,0.07,28%,22%,11/49,26,226,193,79,27,22
Mixed,Rarga,XLG,https://www.vlr.gg/player/22047/rarga,40%40%20%,5,97,1.13,230,1.07,64%,152.6,0.82,0.15,0.81,0.13,0.16,37%,0%,0/10,26,80,75,15,13,16
Mixed,Xross,NS,https://www.vlr.gg/player/42772/xross,65%18%12%+1,17,368,1.12,214,1.08,76%,141.1,0.74,0.29,1.89,0.10,0.05,24%,17%,6/35,25,273,253,105,36,19
Mixed,vora,100T,https://www.vlr.gg/player/20140/vora,73%20%7%,15,304,1.11,198,1.10,72%,137.0,0.69,0.32,1.79,0.08,0.05,22%,18%,7/39,22,211,191,96,25,14
Mixed,starxo,M8,https://www.vlr.gg/player/565/starxo,67%33%,9,194,1.10,221,1.12,71%,136.6,0.74,0.28,1.31,0.09,0.07,31%,20%,4/20,25,143,128,54,17,13
Mixed,keiko,NRG,https://www.vlr.gg/player/11494/keiko,42%26%21%+1,19,406,1.10,207,1.20,70%,136.1,0.77,0.18,1.16,0.14,0.12,30%,10%,5/49,24,312,260,74,57,49
Mixed,f4ngeer,AG,https://www.vlr.gg/player/21216/f4ngeer,38%38%25%,8,178,1.09,222,1.21,69%,143.6,0.81,0.11,0.93,0.15,0.16,25%,15%,3/20,30,144,119,20,26,28
Mixed,Derke,VIT,https://www.vlr.gg/player/5022/derke,75%25%,8,175,1.08,229,1.14,67%,156.6,0.80,0.17,1.00,0.22,0.22,27%,11%,1/9,23,140,123,30,38,38
Mixed,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,33%33%33%,6,129,1.08,212,1.11,67%,141.9,0.76,0.20,1.25,0.08,0.06,35%,9%,2/22,23,98,88,26,10,8
Mixed,Dambi,NS,https://www.vlr.gg/player/31827/dambi,100%,17,368,1.08,241,1.11,73%,158.1,0.82,0.25,1.15,0.21,0.18,23%,28%,5/18,26,303,274,92,76,66
Mixed,mada,NRG,https://www.vlr.gg/player/5132/mada,42%26%21%+1,19,406,1.07,223,1.12,71%,146.4,0.78,0.31,1.32,0.18,0.14,29%,22%,4/18,33,317,284,124,75,57
Mixed,skuba,NRG,https://www.vlr.gg/player/11118/skuba,47%42%11%,19,406,1.07,184,1.08,74%,120.1,0.67,0.30,1.13,0.07,0.06,24%,18%,11/62,18,270,249,121,27,24
Mixed,Sayonara,VIT,https://www.vlr.gg/player/33902/sayonara,25%25%25%+2,8,175,1.07,216,1.08,73%,152.8,0.76,0.26,1.13,0.10,0.09,30%,10%,2/20,30,133,123,46,17,15
Mixed,something,PRX,https://www.vlr.gg/player/17086/something,50%33%17%,6,129,1.06,197,1.10,66%,129.2,0.74,0.21,1.11,0.16,0.15,28%,12%,2/17,19,95,86,27,21,19
Mixed,bipo,M8,https://www.vlr.gg/player/18400/bipo,89%11%,9,194,1.05,179,1.11,69%,120.1,0.66,0.24,1.36,0.08,0.06,32%,18%,6/33,21,128,115,46,15,11
Mixed,Kr1stal,GE,https://www.vlr.gg/player/5796/kr1stal,25%25%25%+1,4,80,1.04,194,0.95,69%,135.4,0.68,0.18,1.20,0.08,0.06,30%,9%,2/22,20,54,57,14,6,5
Mixed,Ivy,NS,https://www.vlr.gg/player/31829/ivy,47%35%18%,17,368,1.04,201,1.06,70%,132.9,0.70,0.19,1.38,0.10,0.07,33%,11%,8/70,21,258,243,69,36,26
Mixed,brawk,NRG,https://www.vlr.gg/player/2172/brawk,63%21%11%+1,19,406,1.03,198,1.00,72%,134.0,0.65,0.33,1.47,0.06,0.04,18%,4%,2/48,22,264,264,132,25,17
Mixed,bang,100T,https://www.vlr.gg/player/3880/bang,73%27%,15,304,1.03,177,1.02,73%,113.7,0.66,0.45,1.00,0.05,0.05,30%,13%,4/32,24,200,197,138,15,15
Mixed,zekken,MIBR,https://www.vlr.gg/player/4004/zekken,50%30%10%+1,10,196,1.03,196,1.03,75%,135.8,0.68,0.27,1.26,0.12,0.10,21%,31%,5/16,22,134,130,53,24,19
Mixed,Shr1mp,AG,https://www.vlr.gg/player/25494/shr1mp,38%38%25%,8,178,1.03,192,1.04,72%,127.1,0.67,0.26,0.90,0.05,0.06,30%,13%,4/30,24,120,115,47,9,10
Mixed,Crewen,BBL,https://www.vlr.gg/player/12795/crewen,44%38%19%,16,346,1.02,183,1.03,72%,126.5,0.64,0.21,1.18,0.08,0.06,35%,13%,7/56,28,222,215,73,26,22
Mixed,aspas,MIBR,https://www.vlr.gg/player/8480/aspas,60%30%10%,10,196,1.01,201,1.09,75%,136.9,0.75,0.20,1.50,0.17,0.11,27%,14%,3/21,27,147,135,40,33,22
Mixed,Asuna,100T,https://www.vlr.gg/player/601/asuna,80%13%7%,15,304,1.00,209,0.99,70%,142.7,0.71,0.39,0.65,0.07,0.11,25%,17%,4/24,22,215,217,118,22,34
Mixed,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,57%29%14%,7,147,1.00,227,1.05,69%,150.2,0.82,0.18,1.03,0.20,0.20,22%,7%,1/14,33,120,114,26,30,29
Mixed,Francis,NS,https://www.vlr.gg/player/31828/francis,59%18%12%+1,17,368,1.00,182,0.98,73%,124.8,0.66,0.33,0.60,0.06,0.10,31%,19%,7/36,24,244,249,123,21,35
Mixed,jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,38%25%25%+1,8,171,0.99,221,0.99,78%,148.2,0.76,0.32,0.64,0.11,0.16,26%,25%,2/8,27,130,131,55,18,28
Mixed,Boo,TH,https://www.vlr.gg/player/1144/boo,88%13%,8,178,0.98,166,0.89,73%,108.6,0.58,0.44,0.39,0.04,0.10,31%,22%,6/27,21,104,117,79,7,18
Mixed,Proxh,M8,https://www.vlr.gg/player/45494/proxh,100%,9,194,0.98,168,1.01,75%,108.7,0.62,0.43,0.60,0.06,0.10,31%,21%,5/24,26,121,120,83,12,20
Mixed,Rb,NS,https://www.vlr.gg/player/488/rb,76%24%,17,368,0.97,176,0.92,74%,115.2,0.62,0.40,0.83,0.07,0.08,29%,6%,2/36,25,228,248,147,24,29
Mixed,lovers rock,BBL,https://www.vlr.gg/player/40935/lovers-rock,94%6%,16,346,0.97,201,1.03,69%,127.9,0.72,0.20,1.15,0.18,0.16,22%,22%,5/23,25,249,241,70,62,54
Mixed,valyn,G2,https://www.vlr.gg/player/3885/valyn,63%38%,8,171,0.96,190,0.95,74%,121.7,0.66,0.42,1.00,0.08,0.08,27%,0%,0/10,20,113,119,71,14,14
Mixed,benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,50%50%,8,178,0.96,185,1.02,69%,122.9,0.70,0.25,0.91,0.06,0.06,25%,13%,3/24,23,124,122,45,10,11
Mixed,Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,80%20%,5,97,0.96,180,0.85,72%,121.3,0.68,0.30,1.33,0.08,0.06,39%,17%,2/12,19,66,78,29,8,6
