Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Americas,Verno,MIBR,https://www.vlr.gg/player/21668/verno,40%40%20%,5,108,1.37,235,1.41,81%,156.5,0.77,0.55,0.80,0.04,0.05,21%,23%,3/13,25,83,59,59,4,5
Americas,Asuna,100T,https://www.vlr.gg/player/601/asuna,80%20%,5,100,1.25,254,1.40,75%,171.0,0.91,0.41,1.40,0.14,0.10,25%,0%,0/7,23,91,65,41,14,10
Americas,aspas,MIBR,https://www.vlr.gg/player/8480/aspas,40%40%20%,5,108,1.22,259,1.37,81%,168.5,0.93,0.21,1.90,0.18,0.09,23%,14%,1/7,25,100,73,23,19,10
Americas,bang,100T,https://www.vlr.gg/player/3880/bang,40%40%20%,5,100,1.19,190,1.35,81%,120.4,0.73,0.43,1.17,0.07,0.06,39%,9%,1/11,23,73,54,43,7,6
Americas,Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,40%40%20%,5,100,1.19,216,1.36,75%,139.1,0.83,0.19,2.80,0.14,0.05,18%,29%,4/14,28,83,61,19,14,5
Americas,keznit,ENVY,https://www.vlr.gg/player/2462/keznit,25%25%25%+2,8,185,1.17,237,1.25,69%,156.9,0.88,0.16,1.11,0.11,0.10,27%,17%,4/24,26,162,130,29,20,18
Americas,cortezia,SEN,https://www.vlr.gg/player/5395/cortezia,37%26%21%+1,19,380,1.16,209,1.28,71%,137.4,0.75,0.20,1.42,0.12,0.08,31%,8%,5/60,21,286,224,76,44,31
Americas,Mazino,MIBR,https://www.vlr.gg/player/7603/mazino,60%20%20%,5,108,1.15,185,1.22,81%,128.4,0.68,0.44,1.00,0.05,0.05,23%,22%,2/9,28,73,60,47,5,5
Americas,keiko,NRG,https://www.vlr.gg/player/11494/keiko,44%22%22%+1,9,203,1.15,228,1.19,75%,151.0,0.81,0.34,1.44,0.11,0.08,35%,14%,3/22,29,165,139,70,23,16
Americas,brawk,NRG,https://www.vlr.gg/player/2172/brawk,67%33%,9,203,1.14,212,1.10,75%,144.0,0.70,0.33,1.17,0.07,0.06,18%,13%,4/30,21,143,130,68,14,12
Americas,mwzera,KRÜ,https://www.vlr.gg/player/939/mwzera,40%20%20%+1,5,104,1.12,225,1.09,72%,161.7,0.79,0.21,2.67,0.08,0.03,23%,13%,2/16,23,82,75,22,8,3
Americas,Reduxx,SEN,https://www.vlr.gg/player/8419/reduxx,47%21%16%+1,19,380,1.12,239,1.19,76%,150.8,0.86,0.24,2.35,0.16,0.07,22%,9%,3/33,26,326,274,93,61,26
Americas,zerona,EG,https://www.vlr.gg/player/14048/zerona,44%44%11%,9,189,1.11,219,1.15,67%,147.1,0.81,0.28,0.88,0.12,0.13,22%,5%,1/19,34,153,133,53,22,25
