Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
CN,whzy,BLG,https://www.vlr.gg/player/4885/whzy,40%40%20%,5,102,,260,1.19,,,0.90,0.28,,,,,,,25,92,77,29,0,0
CN,LuXlis,WOL,https://www.vlr.gg/player/40610/luxlis,40%40%20%,5,109,,110,0.44,,,0.36,0.35,,,,,,,13,39,88,38,0,0
CN,nephh,BLG,https://www.vlr.gg/player/10698/nephh,60%20%20%,5,102,,143,0.89,,,0.61,0.49,,,,,,,16,62,70,50,0,0
CN,rushia,BLG,https://www.vlr.gg/player/48878/rushia,40%40%20%,5,102,,206,1.01,,,0.71,0.19,,,,,,,19,72,71,19,0,0
CN,yilai,BLG,https://www.vlr.gg/player/62947/yilai,40%40%20%,5,102,,173,0.86,,,0.62,0.17,,,,,,,19,63,73,17,0,0
CN,Spring,WOL,https://www.vlr.gg/player/14125/spring,40%40%20%,5,109,,244,1.26,,,0.84,0.31,,,,,,,23,92,73,34,0,0
CN,SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,60%20%20%,5,109,,148,0.68,,,0.47,0.41,,,,,,,13,51,75,45,0,0
CN,yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,60%20%20%,5,109,,230,1.05,,,0.76,0.21,,,,,,,20,83,79,23,0,0
CN,glacier,WOL,https://www.vlr.gg/player/49973/glacier,40%40%20%,5,109,,219,1.12,,,0.78,0.13,,,,,,,22,85,76,14,0,0
CN,Knight,BLG,https://www.vlr.gg/player/4774/knight,40%20%20%+1,5,102,,177,0.83,,,0.62,0.18,,,,,,,22,63,76,18,0,0
CN,Zhubibi,FPX,https://www.vlr.gg/player/58013/zhubibi,100%,6,134,,162,0.79,,,0.56,0.22,,,,,,,15,75,95,29,0,0
CN,AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,33%33%33%,6,134,,216,1.17,,,0.77,0.14,,,,,,,21,103,88,19,0,0
CN,Setrod,FPX,https://www.vlr.gg/player/50025/setrod,83%17%,6,134,,203,1.10,,,0.74,0.16,,,,,,,23,99,90,22,0,0
CN,KovaQ,FPX,https://www.vlr.gg/player/7987/kovaq,50%33%17%,6,134,,212,1.10,,,0.74,0.23,,,,,,,19,99,90,31,0,0
CN,Ben1Ley,FPX,https://www.vlr.gg/player/55823/ben1ley,67%33%,6,134,,152,0.75,,,0.51,0.45,,,,,,,15,69,92,60,0,0
CN,swagzor,NOVA,https://www.vlr.gg/player/45492/swagzor,67%17%17%,6,127,,319,1.63,,,1.10,0.26,,,,,,,30,140,86,33,0,0
CN,GuanG,NOVA,https://www.vlr.gg/player/41054/guang,50%33%17%,6,127,,207,1.23,,,0.76,0.13,,,,,,,20,96,78,16,0,0
CN,Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,67%17%17%,6,127,,192,1.02,,,0.67,0.31,,,,,,,18,85,83,40,0,0
CN,GREEN,NOVA,https://www.vlr.gg/player/34181/green,67%17%17%,6,127,,139,0.75,,,0.48,0.43,,,,,,,12,61,81,54,0,0
CN,qiutiaN,NOVA,https://www.vlr.gg/player/43007/qiutian,67%17%17%,6,127,,190,1.15,,,0.71,0.24,,,,,,,20,90,78,31,0,0
