Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,673538,all,,bo3,1.35,237.0,65.0,43.0,19.0,80%,149.0,38%,8.0,9.0,1.51
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,673538,all,,bo3,1.15,227.0,61.0,47.0,25.0,85%,150.0,30%,5.0,6.0,1.3
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,673538,all,,bo3,0.93,148.0,37.0,45.0,24.0,65%,102.0,19%,3.0,4.0,0.82
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,673538,all,,bo3,0.83,151.0,42.0,49.0,9.0,67%,98.0,37%,3.0,10.0,0.86
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,673538,all,,bo3,0.8,200.0,51.0,58.0,10.0,67%,122.0,15%,16.0,11.0,0.88
cNed,PCF,https://www.vlr.gg/player/573/cned,EMEA,673538,all,,bo3,1.24,241.0,64.0,50.0,11.0,72%,155.0,16%,17.0,8.0,1.28
al0rante,PCF,https://www.vlr.gg/player/5292/al0rante,EMEA,673538,all,,bo3,0.96,209.0,56.0,57.0,12.0,68%,136.0,42%,8.0,6.0,0.98
seven,PCF,https://www.vlr.gg/player/8376/seven,EMEA,673538,all,,bo3,0.92,193.0,50.0,52.0,16.0,68%,129.0,28%,9.0,13.0,0.96
NINJA,PCF,https://www.vlr.gg/player/28948/ninja,EMEA,673538,all,,bo3,0.92,165.0,43.0,49.0,14.0,72%,124.0,30%,3.0,3.0,0.88
qpert,PCF,https://www.vlr.gg/player/7105/qpert,EMEA,673538,all,,bo3,0.75,122.0,29.0,48.0,27.0,69%,76.0,29%,3.0,5.0,0.6
SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,EMEA,673539,all,,bo3,1.53,261.0,37.0,16.0,5.0,89%,165.0,29%,4.0,1.0,2.31
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,673539,all,,bo3,1.37,276.0,39.0,24.0,9.0,81%,176.0,27%,10.0,4.0,1.62
dos9,KC,https://www.vlr.gg/player/16215/dos9,EMEA,673539,all,,bo3,1.21,192.0,25.0,20.0,18.0,81%,121.0,19%,2.0,2.0,1.25
Avez,KC,https://www.vlr.gg/player/5654/avez,EMEA,673539,all,,bo3,1.09,203.0,28.0,20.0,8.0,73%,131.0,20%,2.0,3.0,1.4
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,EMEA,673539,all,,bo3,1.04,202.0,26.0,22.0,15.0,81%,141.0,27%,5.0,4.0,1.18
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,673539,all,,bo3,0.86,156.0,20.0,29.0,11.0,57%,108.0,27%,3.0,3.0,0.69
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,673539,all,,bo3,0.84,176.0,23.0,30.0,4.0,57%,106.0,27%,5.0,7.0,0.77
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,673539,all,,bo3,0.76,181.0,23.0,32.0,8.0,59%,137.0,28%,3.0,3.0,0.72
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,673539,all,,bo3,0.75,186.0,23.0,32.0,4.0,59%,127.0,45%,2.0,4.0,0.72
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,673539,all,,bo3,0.52,108.0,13.0,32.0,14.0,51%,78.0,23%,1.0,6.0,0.41
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,673540,all,,bo3,1.62,280.0,36.0,15.0,14.0,82%,179.0,27%,0.0,0.0,2.4
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,673540,all,,bo3,1.39,310.0,36.0,26.0,10.0,88%,188.0,11%,13.0,6.0,1.38
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,673540,all,,bo3,1.34,257.0,32.0,21.0,13.0,82%,175.0,38%,4.0,3.0,1.52
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,673540,all,,bo3,1.32,175.0,21.0,12.0,13.0,85%,114.0,18%,1.0,0.0,1.75
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,673540,all,,bo3,0.82,149.0,19.0,17.0,7.0,70%,94.0,40%,3.0,3.0,1.12
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,673540,all,,bo3,0.85,203.0,24.0,29.0,2.0,48%,135.0,30%,4.0,5.0,0.83
dos9,KC,https://www.vlr.gg/player/16215/dos9,EMEA,673540,all,,bo3,0.69,174.0,19.0,28.0,5.0,52%,106.0,25%,3.0,5.0,0.68
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,EMEA,673540,all,,bo3,0.62,161.0,14.0,30.0,11.0,64%,126.0,20%,2.0,4.0,0.47
