Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Pacific,t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,26%26%26%+2,23,495,1.30,267,1.47,75%,164.3,0.97,0.14,1.73,0.19,0.11,29%,13%,8/63,36,481,328,71,95,55
Pacific,kellyS,TS,https://www.vlr.gg/player/7437/kellys,38%25%13%+2,8,186,1.28,243,1.30,80%,165.1,0.87,0.36,2.60,0.14,0.05,21%,16%,5/31,30,161,124,67,26,10
Pacific,Zeus,TS,https://www.vlr.gg/player/46135/zeus,100%,8,186,1.22,262,1.30,77%,165.5,0.95,0.17,1.15,0.21,0.18,23%,10%,1/10,34,176,135,31,39,34
Pacific,eKo,ZETA,https://www.vlr.gg/player/1960/eko,25%25%25%+1,4,103,1.21,229,1.16,76%,148.7,0.79,0.26,2.40,0.12,0.05,27%,24%,6/25,26,81,70,27,12,5
Pacific,Meiy,DFM,https://www.vlr.gg/player/6672/meiy,80%20%,5,108,1.18,237,1.24,67%,144.7,0.86,0.09,1.21,0.16,0.13,27%,19%,4/21,23,93,75,10,17,14
Pacific,Kr1stal,GE,https://www.vlr.gg/player/5796/kr1stal,29%29%14%+2,7,151,1.17,199,1.19,74%,135.3,0.75,0.21,0.50,0.03,0.05,28%,23%,7/30,26,113,95,31,4,8
Pacific,PatMen,GE,https://www.vlr.gg/player/13744/patmen,57%29%14%,7,151,1.15,221,1.16,75%,151.7,0.79,0.35,1.07,0.10,0.09,30%,15%,2/13,24,119,103,53,15,14
Pacific,xffero,RRQ,https://www.vlr.gg/player/4871/xffero,43%29%14%+1,7,143,1.13,204,1.15,78%,135.4,0.70,0.23,1.09,0.08,0.08,25%,12%,2/17,26,100,87,33,12,11
Pacific,crazyguy,RRQ,https://www.vlr.gg/player/1430/crazyguy,29%29%14%+2,7,143,1.11,198,1.01,73%,129.7,0.64,0.44,1.30,0.09,0.07,21%,9%,2/22,22,92,91,63,13,10
Pacific,Meteor,T1,https://www.vlr.gg/player/13039/meteor,43%29%14%+1,7,161,1.10,235,1.08,70%,161.4,0.79,0.22,0.82,0.09,0.11,32%,8%,2/25,22,127,118,35,14,17
Pacific,UdoTan,GE,https://www.vlr.gg/player/4428/udotan,57%29%14%,7,151,1.09,238,1.13,73%,154.9,0.81,0.26,1.15,0.15,0.13,22%,14%,1/7,25,122,108,40,23,20
Pacific,Caedye,DFM,https://www.vlr.gg/player/29841/caedye,40%40%20%,5,108,1.09,241,1.09,70%,157.2,0.81,0.19,1.63,0.12,0.07,33%,15%,2/13,23,88,81,21,13,8
Pacific,Karon,GEN,https://www.vlr.gg/player/34974/karon,70%22%9%,23,495,1.09,199,1.11,78%,124.7,0.69,0.47,1.17,0.07,0.06,33%,20%,10/49,26,341,308,233,34,29
Pacific,Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,43%29%14%+1,7,143,1.07,189,1.01,76%,125.5,0.66,0.46,1.11,0.07,0.06,24%,0%,0/11,24,95,94,66,10,9
Pacific,Ivy,NS,https://www.vlr.gg/player/31829/ivy,38%31%23%+1,13,292,1.07,195,1.20,72%,130.0,0.75,0.16,1.04,0.10,0.09,26%,7%,3/45,24,218,182,47,28,27
Pacific,oonzmlp,VL,https://www.vlr.gg/player/34926/oonzmlp,86%14%,7,183,1.07,203,1.02,75%,137.9,0.70,0.32,0.65,0.06,0.09,30%,18%,6/33,32,129,126,59,11,17
Pacific,Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,43%29%29%,7,143,1.06,198,1.07,78%,126.1,0.73,0.36,1.10,0.08,0.07,35%,20%,2/10,31,105,98,52,11,10
Pacific,xavi8k,GE,https://www.vlr.gg/player/7754/xavi8k,29%29%29%+1,7,151,1.06,193,1.10,77%,129.4,0.68,0.32,1.07,0.10,0.09,31%,23%,3/13,22,103,94,48,15,14
Pacific,Xross,NS,https://www.vlr.gg/player/42772/xross,69%15%15%,13,292,1.05,210,1.00,77%,142.5,0.71,0.33,1.71,0.12,0.07,27%,14%,3/22,28,206,206,96,36,21
