Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Pacific,primmie,FS,https://www.vlr.gg/player/25255/primmie,,100,1.40,277.0,1.51,74%,169.0,1.03,0.14,0.15,0.09,30%,6%,1/18,27,103,68,14,15,9
Pacific,invy,PRX,https://www.vlr.gg/player/8504/invy,,263,1.25,221.2,1.29,79%,148.6,0.78,0.43,0.05,0.05,29%,9%,3/34,22,206,160,112,12,12
Americas,keiko,NRG,https://www.vlr.gg/player/11494/keiko,,176,1.23,235.9,1.27,69%,155.5,0.88,0.31,0.09,0.06,35%,26%,5/19,34,154,121,54,16,11
Americas,Neon,LEV,https://www.vlr.gg/player/29243/neon,(+1),451,1.21,223.4,1.37,75%,147.5,0.81,0.25,0.18,0.11,29%,10%,5/52,28,366,267,113,80,51
EMEA,Derke,VIT,https://www.vlr.gg/player/5022/derke,,260,1.21,254.1,1.27,71%,168.5,0.89,0.21,0.17,0.12,25%,9%,3/32,23,232,183,55,44,32
CN,vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,,97,1.21,245.4,1.13,78%,166.8,0.81,0.32,0.10,0.05,25%,,0/13,24,79,70,31,10,5
Pacific,Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,,263,1.15,225.8,1.19,76%,153.8,0.81,0.32,0.11,0.10,23%,25%,4/16,30,212,178,84,29,26
Pacific,something,PRX,https://www.vlr.gg/player/17086/something,,263,1.15,226.5,1.23,77%,145.4,0.80,0.25,0.15,0.10,24%,13%,4/31,25,210,171,65,39,26
Americas,spike,LEV,https://www.vlr.gg/player/21661/spike,,451,1.15,235.5,1.21,75%,151.8,0.85,0.31,0.16,0.12,25%,10%,2/21,27,383,317,140,74,54
Pacific,Kr1stal,GE,https://www.vlr.gg/player/5796/kr1stal,(+2),195,1.13,212.2,1.19,72%,135.6,0.72,0.23,0.10,0.05,29%,28%,10/36,25,140,118,45,19,10
Americas,leaf,G2,https://www.vlr.gg/player/7873/leaf,,106,1.11,221.6,0.97,74%,144.5,0.73,0.29,0.10,0.14,33%,27%,3/11,20,77,79,31,11,15
Americas,blowz,LEV,https://www.vlr.gg/player/21251/blowz,(+1),451,1.10,181.4,1.09,77%,123.3,0.64,0.37,0.06,0.04,33%,12%,7/57,22,289,265,168,26,20
Americas,Sato,LEV,https://www.vlr.gg/player/21659/sato,(+1),451,1.10,229.4,1.16,75%,151.0,0.80,0.30,0.11,0.10,30%,20%,5/25,27,362,311,137,48,47
CN,happywei,XLG,https://www.vlr.gg/player/37927/happywei,,331,1.09,213.4,1.07,70%,146.8,0.76,0.23,0.14,0.08,34%,7%,3/43,35,252,235,75,46,27
CN,Nicc,DRG,https://www.vlr.gg/player/11524/nicc,,97,1.08,192.4,1.06,70%,127.1,0.71,0.26,0.04,0.06,31%,29%,4/14,18,69,65,25,4,6
EMEA,Chronicle,VIT,https://www.vlr.gg/player/458/chronicle,(+1),260,1.07,211.1,1.17,73%,141.7,0.75,0.24,0.08,0.11,24%,16%,5/32,21,196,167,62,22,29
Americas,skuba,NRG,https://www.vlr.gg/player/11118/skuba,(+1),176,1.07,182.8,1.06,71%,118.1,0.65,0.31,0.07,0.03,24%,15%,5/34,19,114,108,54,13,5
EMEA,PROFEK,VIT,https://www.vlr.gg/player/5554/profek,(+1),260,1.06,185.0,1.09,72%,118.1,0.68,0.43,0.08,0.05,23%,13%,4/31,23,178,164,113,21,12
Pacific,UdoTan,GE,https://www.vlr.gg/player/4428/udotan,,195,1.05,232.7,1.11,73%,147.7,0.80,0.19,0.14,0.15,29%,29%,5/17,24,156,140,37,27,29
Americas,trent,G2,https://www.vlr.gg/player/15500/trent,,106,1.05,201.8,0.91,77%,141.3,0.66,0.41,0.06,0.05,30%,,0/20,18,70,77,43,6,5
EMEA,xeus,FUT,https://www.vlr.gg/player/12793/xeus,(+1),317,1.04,216.2,1.08,68%,145.9,0.80,0.19,0.14,0.12,39%,20%,3/15,26,254,235,60,44,37
EMEA,s0pp,FUT,https://www.vlr.gg/player/39357/s0pp,,317,1.04,224.7,1.03,70%,142.5,0.78,0.20,0.19,0.16,26%,20%,4/20,27,248,241,63,60,51
Pacific,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,,263,1.03,189.5,1.09,73%,129.9,0.69,0.19,0.10,0.05,33%,16%,5/32,21,181,166,51,25,12
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,(+1),260,1.02,178.3,0.97,67%,127.5,0.64,0.28,0.07,0.07,26%,20%,10/50,24,166,171,74,17,19
EMEA,yetujey,FUT,https://www.vlr.gg/player/8369/yetujey,,317,1.01,194.4,0.98,72%,134.7,0.68,0.23,0.07,0.06,27%,16%,10/63,24,214,218,74,23,19
Americas,kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,(+3),451,1.00,168.5,1.04,75%,110.5,0.60,0.33,0.06,0.06,27%,11%,6/56,24,272,261,151,25,26
EMEA,sociablEE,FUT,https://www.vlr.gg/player/5568/sociablee,,317,0.99,185.2,0.97,73%,117.3,0.64,0.41,0.08,0.10,24%,18%,8/45,19,204,211,130,24,32
EMEA,Sayonara,VIT,https://www.vlr.gg/player/33902/sayonara,(+1),260,0.98,205.7,1.03,70%,134.7,0.72,0.24,0.11,0.12,27%,11%,2/18,19,187,182,63,28,32
EMEA,KROSTALY,FUT,https://www.vlr.gg/player/15735/krostaly,,317,0.97,176.5,0.92,74%,119.1,0.60,0.34,0.05,0.04,29%,15%,5/34,22,190,206,109,15,13
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,,260,0.97,218.5,1.01,68%,137.9,0.74,0.20,0.16,0.18,23%,23%,6/26,24,193,192,53,42,47
Americas,brawk,NRG,https://www.vlr.gg/player/2172/brawk,,176,0.96,188.5,0.88,70%,130.6,0.61,0.39,0.07,0.07,18%,23%,6/26,17,108,123,68,13,13
Americas,BABYBAY,G2,https://www.vlr.gg/player/2170/babybay,,106,0.95,211.8,0.95,75%,137.8,0.70,0.25,0.11,0.12,23%,8%,1/13,19,74,78,27,12,13
EMEA,koshmaras,TH,https://www.vlr.gg/player/23365/koshmaras,,98,0.94,201.0,0.86,63%,138.1,0.66,0.17,0.18,0.19,24%,11%,1/9,20,65,76,17,18,19
Americas,jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,,106,0.94,179.0,0.88,68%,124.5,0.64,0.23,0.10,0.11,23%,9%,1/11,23,68,77,24,11,12
