Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Americas,Neon,LEV,https://www.vlr.gg/player/29243/neon,67%33%,56,1.35,225,1.48,82%,148.6,0.88,0.25,0.09,0.02,25%,14%,2/14,20,49,33,14,5,1
Americas,basic,FUR,https://www.vlr.gg/player/37354/basic,67%33%,56,1.30,238,1.31,79%,139.9,0.82,0.48,0.09,0.05,23%,30%,3/10,20,46,35,27,5,3
Americas,Reduxx,SEN,https://www.vlr.gg/player/8419/reduxx,67%33%,71,1.20,211,1.26,77%,140.0,0.82,0.31,0.14,0.10,45%,60%,3/5,31,58,46,22,10,7
Americas,cortezia,SEN,https://www.vlr.gg/player/5395/cortezia,67%33%,71,1.19,256,1.30,75%,152.9,0.86,0.32,0.11,0.10,29%,20%,2/10,25,61,47,23,8,7
Americas,eeiu,FUR,https://www.vlr.gg/player/796/eeiu,67%33%,56,1.17,225,1.25,84%,145.6,0.80,0.45,0.07,0.04,20%,30%,3/10,21,45,36,25,4,2
Americas,Sato,LEV,https://www.vlr.gg/player/21659/sato,100%,56,1.13,265,1.06,70%,174.9,0.89,0.36,0.11,0.11,46%,0%,0/3,22,50,47,20,6,6
Americas,v1c,C9,https://www.vlr.gg/player/17433/v1c,67%33%,71,1.10,211,1.15,73%,144.1,0.77,0.38,0.11,0.06,37%,25%,2/8,26,55,48,27,8,4
Americas,Shyy,FUR,https://www.vlr.gg/player/24007/shyy,67%33%,56,1.04,211,1.03,75%,139.9,0.73,0.18,0.09,0.05,36%,25%,1/4,18,41,40,10,5,3
Americas,OXY,C9,https://www.vlr.gg/player/18796/oxy,67%33%,71,1.01,221,1.04,72%,146.4,0.80,0.11,0.20,0.24,21%,17%,1/6,28,57,55,8,14,17
Americas,Marved,SEN,https://www.vlr.gg/player/263/marved,33%33%33%,71,1.00,172,0.91,77%,113.8,0.58,0.45,0.04,0.10,33%,22%,2/9,17,41,45,32,3,7
Americas,JonahP,SEN,https://www.vlr.gg/player/4581/jonahp,67%33%,71,0.97,168,0.98,72%,116.2,0.59,0.27,0.03,0.11,21%,0%,0/9,21,42,43,19,2,8
Americas,kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,33%33%33%,56,0.96,164,0.94,71%,113.7,0.59,0.32,0.09,0.05,33%,18%,2/11,17,33,35,18,5,3
Americas,Jerrwin,SEN,https://www.vlr.gg/player/34057/jerrwin,67%33%,71,0.94,180,0.94,66%,118.3,0.66,0.21,0.13,0.13,23%,33%,1/3,21,47,50,15,9,9
Americas,blowz,LEV,https://www.vlr.gg/player/21251/blowz,67%33%,56,0.89,149,0.79,71%,107.2,0.54,0.34,0.05,0.04,28%,25%,1/4,15,30,38,19,3,2
Americas,koalanoob,FUR,https://www.vlr.gg/player/3722/koalanoob,67%33%,56,0.88,208,0.86,70%,136.7,0.66,0.13,0.18,0.14,24%,25%,1/4,15,37,43,7,10,8
Americas,Jackk,C9,https://www.vlr.gg/player/44842/jackk,100%,71,0.87,142,0.71,76%,96.4,0.49,0.34,0.07,0.01,28%,9%,1/11,22,35,49,24,5,1
Americas,FireBallOps,C9,https://www.vlr.gg/player/10053/fireballops,33%33%33%,71,0.86,175,0.86,70%,113.7,0.62,0.27,0.11,0.06,44%,14%,1/7,21,44,51,19,8,4
Americas,Zellsis,C9,https://www.vlr.gg/player/729/zellsis,33%33%33%,71,0.73,144,0.80,72%,99.1,0.56,0.28,0.06,0.10,24%,9%,1/11,17,40,50,20,4,7
Americas,spike,LEV,https://www.vlr.gg/player/21661/spike,100%,56,0.71,186,0.80,68%,126.0,0.64,0.18,0.20,0.25,27%,,,19,36,45,10,11,14
Americas,artzin,FUR,https://www.vlr.gg/player/5957/artzin,33%33%33%,56,0.57,160,0.66,70%,117.3,0.52,0.34,0.04,0.25,20%,0%,0/2,12,29,44,19,2,14
EMEA,hiro,NAVI,https://www.vlr.gg/player/29867/hiro,50%50%,41,1.39,280,1.68,80%,174.7,1.02,0.34,0.07,0.05,31%,0%,0/2,22,42,25,14,3,2
EMEA,Cloud,FNC,https://www.vlr.gg/player/4181/cloud,50%50%,50,1.35,242,1.37,80%,156.5,0.82,0.48,0.06,0.02,21%,25%,2/8,23,41,30,24,3,1
EMEA,Minny,M8,https://www.vlr.gg/player/23169/minny,33%33%33%,53,1.30,267,1.49,79%,171.1,0.98,0.19,0.15,0.08,30%,0%,0/4,26,52,35,10,8,4
