match_id,map_num,map_name,round,winner_org,winner_side,win_condition,score_after,date,event
167348,113040,IceboxPICK,1,MKOI,attack,elimination,1-0,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,2,MKOI,attack,elimination,2-0,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,3,MKOI,attack,elimination,3-0,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,4,MKOI,attack,elimination,4-0,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,5,NRG,defense,elimination,4-1,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,6,MKOI,attack,elimination,5-1,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,7,MKOI,attack,elimination,6-1,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,8,MKOI,attack,elimination,7-1,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,9,MKOI,attack,elimination,8-1,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,10,NRG,defense,defuse,8-2,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,11,MKOI,attack,detonate,9-2,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,12,NRG,defense,elimination,9-3,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,13,NRG,attack,elimination,9-4,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,14,NRG,attack,elimination,9-5,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,15,NRG,attack,elimination,9-6,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,16,NRG,attack,elimination,9-7,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,17,MKOI,defense,defuse,10-7,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,18,NRG,attack,detonate,10-8,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,19,NRG,attack,detonate,10-9,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,20,NRG,attack,elimination,10-10,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,21,NRG,attack,detonate,10-11,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,22,MKOI,defense,elimination,11-11,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,23,NRG,attack,elimination,11-12,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113040,IceboxPICK,24,NRG,attack,elimination,11-13,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,1,MKOI,defense,defuse,1-0,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,2,NRG,attack,elimination,1-1,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,3,NRG,attack,detonate,1-2,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,4,MKOI,defense,defuse,2-2,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,5,NRG,attack,detonate,2-3,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,6,MKOI,defense,defuse,3-3,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,7,NRG,attack,detonate,3-4,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,8,NRG,attack,detonate,3-5,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,9,NRG,attack,detonate,3-6,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,10,MKOI,defense,elimination,4-6,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,11,NRG,attack,elimination,4-7,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,12,NRG,attack,elimination,4-8,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,13,MKOI,attack,elimination,5-8,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,14,MKOI,attack,elimination,6-8,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,15,MKOI,attack,detonate,7-8,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,16,MKOI,attack,detonate,8-8,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,17,NRG,defense,defuse,8-9,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,18,NRG,defense,elimination,8-10,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,19,NRG,defense,defuse,8-11,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,20,MKOI,attack,elimination,9-11,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,21,NRG,defense,defuse,9-12,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167348,113041,HavenPICK,22,NRG,defense,defuse,9-13,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,1,GIA,defense,elimination,0-1,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,2,GIA,defense,elimination,0-2,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,3,DFM,attack,elimination,1-2,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,4,GIA,defense,defuse,1-3,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,5,GIA,defense,elimination,1-4,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,6,DFM,attack,detonate,2-4,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,7,DFM,attack,elimination,3-4,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,8,DFM,attack,elimination,4-4,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,9,GIA,defense,defuse,4-5,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,10,GIA,defense,defuse,4-6,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,11,GIA,defense,elimination,4-7,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,12,GIA,defense,defuse,4-8,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,13,GIA,attack,elimination,4-9,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,14,GIA,attack,elimination,4-10,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,15,GIA,attack,detonate,4-11,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,16,GIA,attack,detonate,4-12,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113043,HavenPICK,17,GIA,attack,elimination,4-13,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,1,GIA,attack,elimination,0-1,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,2,GIA,attack,elimination,0-2,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,3,GIA,attack,elimination,0-3,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,4,GIA,attack,elimination,0-4,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,5,DFM,defense,time,1-4,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,6,DFM,defense,defuse,2-4,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,7,GIA,attack,elimination,2-5,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,8,DFM,defense,defuse,3-5,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,9,GIA,attack,elimination,3-6,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,10,GIA,attack,elimination,3-7,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,11,GIA,attack,elimination,3-8,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,12,DFM,defense,elimination,4-8,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,13,GIA,defense,elimination,4-9,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,14,GIA,defense,elimination,4-10,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,15,DFM,attack,elimination,5-10,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,16,GIA,defense,time,5-11,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,17,GIA,defense,defuse,5-12,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,18,DFM,attack,elimination,6-12,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,19,DFM,attack,elimination,7-12,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167349,113044,IceboxPICK,20,GIA,defense,elimination,7-13,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,1,LOUD,defense,defuse,0-1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,2,LOUD,defense,elimination,0-2,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,3,LOUD,defense,elimination,0-3,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,4,LOUD,defense,elimination,0-4,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,5,GEN,attack,elimination,1-4,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,6,GEN,attack,elimination,2-4,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,7,GEN,attack,elimination,3-4,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,8,GEN,attack,detonate,4-4,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,9,GEN,attack,detonate,5-4,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,10,GEN,attack,elimination,6-4,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,11,GEN,attack,elimination,7-4,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
