date,event_ticker,team_a,team_b,kalshi_a_raw,kalshi_b_raw,kalshi_a_fair,kalshi_b_fair,vig_bps,volume_total,model_p_a,model_p_b,a_won,kalshi_winner_org,actual_winner_org,edge_for_a,match_id
2026-05-14,KXVALORANTGAME-26MAY140500FPXBLG,FPX,BLG,0.3909,0.6697,0.3686,0.6314,605.2,5905.0,0.2438,0.7562,1,FPX,,-0.1247,
2026-05-14,KXVALORANTGAME-26MAY132100SENC9,SEN,C9,0.7342,0.3038,0.7073,0.2927,380.0,29070.0,0.3259,0.6741,1,SEN,,-0.3814,
2026-05-14,KXVALORANTGAME-26MAY132100EGNV,ENVY,EG,0.5564,0.4908,0.5313,0.4687,472.4,303546.0,0.45,0.55,0,EG,,-0.0813,
2026-05-13,KXVALORANTGAME-26MAY131200GXKC,KC,GX,0.5486,0.5048,0.5208,0.4792,533.7,14230.0,0.4993,0.5007,1,KC,,-0.0214,
2026-05-13,KXVALORANTGAME-26MAY130500WOLFPX,WOL,FPX,0.4219,0.5976,0.4138,0.5862,195.4,5505.0,0.592,0.408,0,FPX,,0.1781,
2026-05-13,KXVALORANTGAME-26MAY130500BLGNOVA,NOVA,BLG,0.369,0.7218,0.3383,0.6617,908.2,4334.0,0.2785,0.7215,1,NOVA,,-0.0598,
2026-05-13,KXVALORANTGAME-26MAY122000NVC9,C9,ENVY,0.4556,0.5464,0.4547,0.5453,19.8,93774.0,0.6845,0.3155,0,ENVY,,0.2298,
2026-05-13,KXVALORANTGAME-26MAY122000EGSEN,EG,SEN,0.3131,0.7645,0.2906,0.7094,775.9,72264.0,0.5384,0.4616,1,EG,,0.2478,
2026-05-12,KXVALORANTGAME-26MAY121200PCFICGX,PCF,GX,0.3492,0.6574,0.3469,0.6531,66.6,19192.0,0.3127,0.6873,0,GX,,-0.0342,
2026-05-12,KXVALORANTGAME-26MAY121200NAVIKC,NAVI,KC,0.6046,0.4133,0.594,0.406,178.9,11152.0,0.5423,0.4577,1,NAVI,,-0.0517,
2026-05-12,KXVALORANTGAME-26MAY120500WOLBLG,BLG,WOL,0.7617,0.2844,0.7281,0.2719,461.4,30059.0,0.6795,0.3205,1,BLG,,-0.0486,
2026-05-12,KXVALORANTGAME-26MAY120500NOVAFPX,NOVA,FPX,0.3979,0.61,0.3948,0.6052,79.5,9293.0,0.5437,0.4563,1,NOVA,,0.1489,
2026-05-12,KXVALORANTGAME-26MAY120400ZETAGENG,ZETA,GEN,0.3017,0.7122,0.2976,0.7024,139.4,7290.0,0.2165,0.7835,0,GEN,,-0.0811,
2026-05-11,KXVALORANTGAME-26MAY111100PCFICNAVI,NAVI,PCF,0.6976,0.296,0.7021,0.2979,-63.3,9554.0,0.7226,0.2774,1,NAVI,,0.0206,
2026-05-11,KXVALORANTGAME-26MAY111100GXKC,GX,KC,0.5873,0.4645,0.5584,0.4416,517.6,19307.0,0.5007,0.4993,0,KC,,-0.0577,
2026-05-10,KXVALORANTGAME-26MAY101100THFNC,FNC,TH,0.5635,0.4638,0.5485,0.4515,272.3,256893.0,0.6338,0.3662,0,TH,TH,0.0853,660389.0
2026-05-10,KXVALORANTGAME-26MAY100400RRQT1,RRQ,T1,0.3294,0.6902,0.3231,0.6769,196.9,56420.0,0.3032,0.6968,0,T1,T1,-0.0199,666496.0
2026-05-10,KXVALORANTGAME-26MAY092000MIBRNV,MIBR,ENVY,0.7192,0.2629,0.7323,0.2677,-179.0,134120.0,0.8112,0.1888,0,ENVY,,0.0789,
2026-05-09,KXVALORANTGAME-26MAY091700C9G2,G2,C9,0.8156,0.1968,0.8056,0.1944,124.0,109126.0,0.8691,0.1309,1,G2,G2,0.0634,645500.0
2026-05-09,KXVALORANTGAME-26MAY091400GMTL,TL,M8,0.6714,0.3666,0.6468,0.3532,379.9,131695.0,0.3307,0.6693,0,M8,M8,-0.3162,660388.0
2026-05-09,KXVALORANTGAME-26MAY091100BBLTH,TH,BBL,0.6235,0.3958,0.6117,0.3883,193.8,100267.0,0.2462,0.7538,1,TH,TH,-0.3655,660387.0
2026-05-09,KXVALORANTGAME-26MAY090400DFMRRQ,DFM,RRQ,0.3814,0.6377,0.3743,0.6257,191.3,165987.0,0.3931,0.6069,0,RRQ,RRQ,0.0189,666494.0
2026-05-09,KXVALORANTGAME-26MAY082000100TFUR,FUR,100T,0.5312,0.4844,0.523,0.477,155.8,330192.0,0.5896,0.4104,0,100T,,0.0666,
2026-05-08,KXVALORANTGAME-26MAY081400VITFNC,VIT,FNC,0.4368,0.5819,0.4288,0.5712,187.4,354883.0,0.4898,0.5102,1,VIT,VIT,0.061,660384.0
2026-05-08,KXVALORANTGAME-26MAY080700AGDRG,AG,DRG,0.5299,0.4915,0.5188,0.4812,213.6,72478.0,0.7748,0.2252,0,DRG,DRG,0.256,659486.0
2026-05-08,KXVALORANTGAME-26MAY080400GEPR,PRX,GE,0.7614,0.255,0.7491,0.2509,164.2,196347.0,0.7359,0.2641,0,GE,GE,-0.0133,666490.0
2026-05-07,KXVALORANTGAME-26MAY071400VITTL,TL,VIT,0.5581,0.4782,0.5386,0.4614,363.1,243492.0,0.5104,0.4896,0,VIT,VIT,-0.0282,660382.0
2026-05-07,KXVALORANTGAME-26MAY070400GERRQ,GE,RRQ,0.5044,0.512,0.4963,0.5037,164.1,73392.0,0.4937,0.5063,1,GE,GE,-0.0026,666488.0
2026-05-05,KXVALORANTGAME-26MAY050500JDGDRG,DRG,JDG,0.6065,0.4097,0.5968,0.4032,161.5,84263.0,0.5684,0.4316,1,DRG,DRG,-0.0284,659485.0
2026-05-04,KXVALORANTGAME-26MAY040700EDGAG,EDG,AG,0.6034,0.3964,0.6035,0.3965,-1.7,46451.0,0.3233,0.6767,1,EDG,EDG,-0.2802,659479.0
2026-05-04,KXVALORANTGAME-26MAY032000NVG2,G2,ENVY,0.8409,0.1892,0.8163,0.1837,301.6,128178.0,0.9398,0.0602,1,G2,,0.1235,
2026-05-03,KXVALORANTGAME-26MAY030700DRGTE,TE,DRG,0.4398,0.5759,0.433,0.567,156.8,17142.0,0.4205,0.5795,0,DRG,DRG,-0.0125,659483.0
2026-05-03,KXVALORANTGAME-26MAY030600DFMRRQ,DFM,RRQ,0.3149,0.6966,0.3113,0.6887,115.3,115442.0,0.3931,0.6069,0,RRQ,RRQ,0.0818,644682.0
2026-05-02,KXVALORANTGAME-26MAY020700DRGEDG,DRG,EDG,0.3324,0.704,0.3207,0.6793,363.5,29466.0,0.3809,0.6191,0,EDG,EDG,0.0602,659477.0
2026-05-02,KXVALORANTGAME-26MAY020600GENS,GE,NS,0.2643,0.765,0.2568,0.7432,293.8,154193.0,0.0981,0.9019,1,GE,GE,-0.1587,644680.0
2026-05-02,KXVALORANTGAME-26MAY020500TEAG,TE,AG,0.4536,0.5736,0.4416,0.5584,272.1,23063.0,0.172,0.828,0,AG,AG,-0.2696,659476.0
2026-05-02,KXVALORANTGAME-26MAY012000MIBRLEV,LEV,MIBR,0.5849,0.4911,0.5436,0.4564,760.5,181771.0,0.1759,0.8241,0,MIBR,,-0.3677,
2026-05-01,KXVALORANTGAME-26MAY011700NRGEG,EG,NRG,0.2234,0.8036,0.2175,0.7825,269.7,131224.0,0.1087,0.8913,0,NRG,NRG,-0.1088,645492.0
2026-05-01,KXVALORANTGAME-26MAY011400TLGM,M8,TL,0.3581,0.6449,0.3571,0.6429,30.3,69221.0,0.6693,0.3307,0,TL,TL,0.3123,644739.0
2026-05-01,KXVALORANTGAME-26MAY010400TSGENG,TS,GEN,0.2433,0.7752,0.2389,0.7611,185.6,140283.0,0.1579,0.8421,1,TS,TS,-0.081,644677.0
2026-04-30,KXVALORANTGAME-26APR301400FNCBBL,BBL,FNC,0.3729,0.6716,0.357,0.643,444.6,61120.0,0.6368,0.3632,0,FNC,FNC,0.2798,644737.0
2026-04-30,KXVALORANTGAME-26APR301100KCNAVI,NAVI,KC,0.5964,0.4305,0.5808,0.4192,268.7,37007.0,0.5423,0.4577,1,NAVI,NAVI,-0.0385,644736.0
