MatchID,step,team,action,map
167348,1,NRG,ban,Ascent
167348,2,MKOI,ban,Split
167348,3,NRG,pick,Icebox
167348,4,MKOI,pick,Haven
167348,5,NRG,ban,Fracture
167348,6,MKOI,ban,Lotus
167348,7,,remains,Pearl
167349,1,DFM,ban,Split
167349,2,GIA,ban,Fracture
167349,3,DFM,pick,Haven
167349,4,GIA,pick,Icebox
167349,5,DFM,ban,Lotus
167349,6,GIA,ban,Ascent
167349,7,,remains,Pearl
167350,1,LOUD,ban,Haven
167350,2,GEN,ban,Icebox
167350,3,LOUD,pick,Pearl
167350,4,GEN,pick,Fracture
167350,5,LOUD,ban,Lotus
167350,6,GEN,ban,Ascent
167350,7,,remains,Split
167351,1,FPX,ban,Icebox
167351,2,KC,ban,Ascent
167351,3,FPX,pick,Lotus
167351,4,KC,pick,Haven
167351,5,FPX,ban,Split
167351,6,KC,ban,Fracture
167351,7,,remains,Pearl
167352,1,KRX,ban,Lotus
167352,2,BBL,ban,Fracture
167352,3,KRX,pick,Pearl
167352,4,BBL,pick,Ascent
167352,5,KRX,ban,Split
167352,6,BBL,ban,Icebox
167352,7,,remains,Haven
167353,1,PRX,ban,Icebox
167353,2,C9,ban,Ascent
167353,3,PRX,pick,Lotus
167353,4,C9,pick,Pearl
167353,5,PRX,ban,Split
167353,6,C9,ban,Haven
167353,7,,remains,Fracture
167354,1,EG,ban,Lotus
167354,2,TH,ban,Icebox
167354,3,EG,pick,Pearl
167354,4,TH,pick,Ascent
167354,5,EG,ban,Fracture
167354,6,TH,ban,Split
167354,7,,remains,Haven
167355,1,MIBR,ban,Ascent
167355,2,TLN,ban,Lotus
167355,3,MIBR,pick,Haven
167355,4,TLN,pick,Fracture
167355,5,MIBR,ban,Split
167355,6,TLN,ban,Pearl
167355,7,,remains,Icebox
167356,1,NRG,ban,Ascent
167356,2,GIA,ban,Fracture
167356,3,NRG,pick,Lotus
167356,4,GIA,pick,Haven
167356,5,NRG,ban,Pearl
167356,6,GIA,ban,Split
167356,7,,remains,Icebox
167357,1,LOUD,ban,Icebox
167357,2,KC,ban,Ascent
167357,3,LOUD,pick,Pearl
167357,4,KC,pick,Split
167357,5,LOUD,ban,Lotus
167357,6,KC,ban,Haven
167357,7,,remains,Fracture
167358,1,C9,ban,Fracture
167358,2,KRX,ban,Lotus
167358,3,C9,pick,Pearl
167358,4,KRX,pick,Haven
167358,5,C9,ban,Ascent
167358,6,KRX,ban,Split
167358,7,,remains,Icebox
167359,1,EG,ban,Lotus
167359,2,TLN,ban,Pearl
167359,3,EG,pick,Haven
167359,4,TLN,pick,Split
167359,5,EG,ban,Ascent
167359,6,TLN,ban,Fracture
167359,7,,remains,Icebox
167360,1,NRG,ban,Ascent
167360,2,LOUD,ban,Haven
167360,3,NRG,pick,Split
167360,4,LOUD,pick,Pearl
167360,5,NRG,ban,Icebox
167360,6,LOUD,ban,Lotus
167360,7,,remains,Fracture
167361,1,TLN,ban,Haven
167361,2,KRX,ban,Lotus
167361,3,TLN,pick,Fracture
167361,4,KRX,pick,Ascent
167361,5,TLN,ban,Split
167361,6,KRX,ban,Pearl
167361,7,,remains,Icebox
167362,1,TS,ban,Ascent
167362,2,TL,ban,Haven
167362,3,TS,pick,Icebox
167362,4,TL,pick,Fracture
167362,5,TS,ban,Pearl
167362,6,TL,ban,Split
167362,7,,remains,Lotus
167363,1,KRÜ,ban,Icebox
167363,2,NAVI,ban,Haven
167363,3,KRÜ,pick,Ascent
167363,4,NAVI,pick,Lotus
167363,5,KRÜ,ban,Fracture
167363,6,NAVI,ban,Split
167363,7,,remains,Pearl
167364,1,LEV,ban,Split
167364,2,ZETA,ban,Icebox
167364,3,LEV,pick,Ascent
167364,4,ZETA,pick,Pearl
167364,5,LEV,ban,Fracture
167364,6,ZETA,ban,Lotus
167364,7,,remains,Haven
167365,1,GE,ban,Ascent
167365,2,VIT,ban,Icebox
167365,3,GE,pick,Split
167365,4,VIT,pick,Pearl
167365,5,GE,ban,Haven
167365,6,VIT,ban,Fracture
167365,7,,remains,Lotus
167366,1,RRQ,ban,Fracture
167366,2,FUT,ban,Haven
167366,3,RRQ,pick,Lotus
167366,4,FUT,pick,Pearl
167366,5,RRQ,ban,Icebox
167366,6,FUT,ban,Ascent
167366,7,,remains,Split
167367,1,100T,ban,Ascent
167367,2,EDG,ban,Haven
167367,3,100T,pick,Icebox
167367,4,EDG,pick,Lotus
167367,5,100T,ban,Split
167367,6,EDG,ban,Fracture
167367,7,,remains,Pearl
167368,1,FNC,ban,Pearl
167368,2,SEN,ban,Icebox
167368,3,FNC,pick,Haven
167368,4,SEN,pick,Split
167368,5,FNC,ban,Ascent
167368,6,SEN,ban,Fracture
167368,7,,remains,Lotus
167369,1,,unknown,Stats unavailable for Map 2 due to lobby remake.
167370,1,TS,ban,Ascent
167370,2,NAVI,ban,Haven
167370,3,TS,pick,Icebox
167370,4,NAVI,pick,Pearl
167370,5,TS,ban,Lotus
167370,6,NAVI,ban,Split
167370,7,,remains,Fracture
167371,1,LEV,ban,Split
167371,2,VIT,ban,Icebox
167371,3,LEV,pick,Haven
167371,4,VIT,pick,Pearl
167371,5,LEV,ban,Fracture
167371,6,VIT,ban,Lotus
167371,7,,remains,Ascent
167372,1,FUT,ban,Fracture
167372,2,100T,ban,Ascent
167372,3,FUT,pick,Lotus
167372,4,100T,pick,Haven
167372,5,FUT,ban,Pearl
167372,6,100T,ban,Split
167372,7,,remains,Icebox
167373,1,FNC,ban,Pearl
167373,2,FUR,ban,Lotus
167373,3,FNC,pick,Haven
167373,4,FUR,pick,Ascent
167373,5,FNC,ban,Split
167373,6,FUR,ban,Fracture
167373,7,,remains,Icebox
167374,1,LEV,ban,Split
167374,2,NAVI,ban,Haven
167374,3,LEV,pick,Ascent
167374,4,NAVI,pick,Fracture
167374,5,LEV,ban,Lotus
167374,6,NAVI,ban,Icebox
167374,7,,remains,Pearl
167375,1,100T,ban,Ascent
167375,2,FNC,ban,Pearl
167375,3,100T,pick,Fracture
167375,4,FNC,pick,Icebox
167375,5,100T,ban,Split
167375,6,FNC,ban,Haven
167375,7,,remains,Lotus
167391,1,LOUD,ban,Haven
167391,2,KRX,ban,Lotus
167391,3,LOUD,pick,Pearl
167391,4,KRX,pick,Icebox
167391,5,LOUD,pick,Split
167391,6,KRX,pick,Fracture
167391,7,,remains,Ascent
167392,1,FNC,ban,Pearl
167392,2,NAVI,ban,Icebox
167392,3,FNC,pick,Haven
167392,4,NAVI,pick,Lotus
167392,5,FNC,pick,Fracture
167392,6,NAVI,pick,Split
167392,7,,remains,Ascent
167393,1,LOUD,ban,Haven
167393,2,FNC,ban,Pearl
167393,3,LOUD,pick,Ascent
167393,4,FNC,pick,Fracture
167393,5,LOUD,pick,Split
167393,6,FNC,pick,Lotus
167393,7,,remains,Icebox
173214,1,FNC,ban,Pearl
173214,2,GIA,ban,Fracture
173214,3,FNC,pick,Icebox
173214,4,GIA,pick,Split
173214,5,FNC,ban,Lotus
173214,6,GIA,ban,Haven
173214,7,,remains,Ascent
173215,1,NAVI,ban,Haven
173215,2,MKOI,ban,Pearl
173215,3,NAVI,pick,Ascent
173215,4,MKOI,pick,Lotus
173215,5,NAVI,ban,Icebox
173215,6,MKOI,ban,Fracture
173215,7,,remains,Split
173216,1,TH,ban,Fracture
173216,2,FUT,ban,Icebox
173216,3,TH,pick,Pearl
173216,4,FUT,pick,Lotus
173216,5,TH,ban,Haven
173216,6,FUT,ban,Split
173216,7,,remains,Ascent
173217,1,VIT,ban,Pearl
173217,2,TL,ban,Icebox
173217,3,VIT,pick,Haven
173217,4,TL,pick,Fracture
173217,5,VIT,ban,Ascent
173217,6,TL,ban,Split
173217,7,,remains,Lotus
173218,1,NAVI,ban,Haven
173218,2,GIA,ban,Fracture
173218,3,NAVI,pick,Icebox
173218,4,GIA,pick,Split
173218,5,NAVI,ban,Lotus
173218,6,GIA,ban,Ascent
173218,7,,remains,Pearl
173219,1,BBL,ban,Pearl
173219,2,KC,ban,Ascent
173219,3,BBL,pick,Icebox
173219,4,KC,pick,Split
173219,5,BBL,ban,Fracture
173219,6,KC,ban,Haven
173219,7,,remains,Lotus
173220,1,FUT,ban,Fracture
173220,2,TL,ban,Pearl
173220,3,FUT,pick,Lotus
173220,4,TL,pick,Split
173220,5,FUT,ban,Haven
173220,6,TL,ban,Icebox
173220,7,,remains,Ascent
173221,1,VIT,ban,Pearl
173221,2,MKOI,ban,Haven
173221,3,VIT,pick,Split
173221,4,MKOI,pick,Fracture
173221,5,VIT,ban,Icebox
173221,6,MKOI,ban,Ascent
173221,7,,remains,Lotus
173222,1,BBL,ban,Fracture
173222,2,FNC,ban,Pearl
173222,3,BBL,pick,Ascent
173222,4,FNC,pick,Haven
173222,5,BBL,ban,Icebox
173222,6,FNC,ban,Lotus
173222,7,,remains,Split
173223,1,TH,ban,Fracture
173223,2,KC,ban,Ascent
173223,3,TH,pick,Icebox
173223,4,KC,pick,Split
173223,5,TH,ban,Haven
173223,6,KC,ban,Pearl
173223,7,,remains,Lotus
183774,1,SEN,ban,Haven
183774,2,100T,ban,Pearl
183774,3,SEN,pick,Fracture
183774,4,100T,pick,Split
183774,5,SEN,ban,Icebox
183774,6,100T,ban,Lotus
183774,7,,remains,Ascent
183775,1,KRÜ,ban,Icebox
183775,2,FUR,ban,Lotus
183775,3,KRÜ,pick,Split
183775,4,FUR,pick,Ascent
183775,5,KRÜ,ban,Pearl
183775,6,FUR,ban,Fracture
183775,7,,remains,Haven
183776,1,LOUD,ban,Fracture
183776,2,MIBR,ban,Pearl
183776,3,LOUD,pick,Split
183776,4,MIBR,pick,Lotus
183776,5,LOUD,ban,Icebox
183776,6,MIBR,ban,Ascent
183776,7,,remains,Haven
183777,1,EG,ban,Lotus
183777,2,C9,ban,Icebox
183777,3,EG,pick,Pearl
183777,4,C9,pick,Fracture
183777,5,EG,ban,Ascent
183777,6,C9,ban,Haven
183777,7,,remains,Split
183778,1,LEV,ban,Fracture
183778,2,NRG,ban,Ascent
183778,3,LEV,pick,Pearl
183778,4,NRG,pick,Lotus
183778,5,LEV,ban,Icebox
183778,6,NRG,ban,Haven
183778,7,,remains,Split
183779,1,C9,ban,Icebox
183779,2,LOUD,ban,Fracture
183779,3,C9,pick,Split
183779,4,LOUD,pick,Ascent
183779,5,C9,ban,Lotus
183779,6,LOUD,ban,Haven
183779,7,,remains,Pearl
183780,1,LEV,ban,Fracture
183780,2,FUR,ban,Lotus
183780,3,LEV,pick,Pearl
183780,4,FUR,pick,Icebox
183780,5,LEV,ban,Haven
183780,6,FUR,ban,Split
183780,7,,remains,Ascent
183781,1,SEN,ban,Haven
183781,2,NRG,ban,Split
183781,3,SEN,pick,Lotus
183781,4,NRG,pick,Icebox
183781,5,SEN,ban,Ascent
183781,6,NRG,ban,Fracture
183781,7,,remains,Pearl
183782,1,KRÜ,ban,Icebox
183782,2,MIBR,ban,Split
183782,3,KRÜ,pick,Ascent
183782,4,MIBR,pick,Lotus
183782,5,KRÜ,ban,Haven
183782,6,MIBR,ban,Fracture
183782,7,,remains,Pearl
183783,1,EG,ban,Lotus
183783,2,100T,ban,Pearl
183783,3,EG,pick,Haven
183783,4,100T,pick,Icebox
183783,5,EG,ban,Ascent
183783,6,100T,ban,Split
183783,7,,remains,Fracture
183785,1,C9,ban,Icebox
183785,2,100T,ban,Pearl
183785,3,C9,pick,Lotus
183785,4,100T,pick,Ascent
183785,5,C9,ban,Fracture
183785,6,100T,ban,Split
183785,7,,remains,Haven
183786,1,NRG,ban,Lotus
183786,2,MIBR,ban,Ascent
183786,3,NRG,pick,Icebox
183786,4,MIBR,pick,Pearl
183786,5,NRG,ban,Fracture
183786,6,MIBR,ban,Haven
183786,7,,remains,Split
183787,1,SEN,ban,Haven
183787,2,LEV,ban,Fracture
183787,3,SEN,pick,Split
183787,4,LEV,pick,Ascent
183787,5,SEN,ban,Icebox
183787,6,LEV,ban,Lotus
183787,7,,remains,Pearl
183788,1,EG,ban,Icebox
183788,2,KRÜ,ban,Haven
183788,3,EG,pick,Pearl
183788,4,KRÜ,pick,Ascent
183788,5,EG,ban,Split
183788,6,KRÜ,ban,Lotus
183788,7,,remains,Fracture
183789,1,LOUD,ban,Fracture
183789,2,FUR,ban,Pearl
183789,3,LOUD,pick,Split
183789,4,FUR,pick,Icebox
183789,5,LOUD,ban,Haven
183789,6,FUR,ban,Lotus
183789,7,,remains,Ascent
183791,1,LOUD,ban,Fracture
183791,2,SEN,ban,Icebox
183791,3,LOUD,pick,Pearl
183791,4,SEN,pick,Haven
183791,5,LOUD,ban,Lotus
183791,6,SEN,ban,Split
183791,7,,remains,Ascent
183792,1,LEV,ban,Fracture
183792,2,MIBR,ban,Ascent
183792,3,LEV,pick,Pearl
183792,4,MIBR,pick,Icebox
183792,5,LEV,ban,Lotus
183792,6,MIBR,ban,Haven
183792,7,,remains,Split
183793,1,KRÜ,ban,Icebox
183793,2,100T,ban,Pearl
183793,3,KRÜ,pick,Ascent
183793,4,100T,pick,Split
183793,5,KRÜ,ban,Haven
183793,6,100T,ban,Lotus
183793,7,,remains,Fracture
183794,1,FUR,ban,Lotus
183794,2,EG,ban,Icebox
183794,3,FUR,pick,Ascent
183794,4,EG,pick,Fracture
183794,5,FUR,ban,Pearl
183794,6,EG,ban,Split
183794,7,,remains,Haven
183795,1,,unknown,Stats unavailable for Map 1 due to lobby remake.
183796,1,SEN,ban,Icebox
183796,2,MIBR,ban,Ascent
183796,3,SEN,pick,Pearl
183796,4,MIBR,pick,Fracture
183796,5,SEN,ban,Split
183796,6,MIBR,ban,Haven
