Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,CN,221178,133131,SplitPICK,bo3,1.07,234,16,16,2,65%,150,27%,1,2,1.0
OBONE,NOVA,https://www.vlr.gg/player/36670/obone,CN,221178,133131,SplitPICK,bo3,1.06,218,13,15,5,60%,130,20%,2,0,0.87
wqc,NOVA,https://www.vlr.gg/player/4403/wqc,CN,221178,133131,SplitPICK,bo3,0.78,230,16,18,2,55%,144,45%,5,6,0.89
PangH,NOVA,https://www.vlr.gg/player/4727/pangh,CN,221178,133131,SplitPICK,bo3,0.74,158,10,15,5,55%,101,19%,0,1,0.67
DanGe,NOVA,https://www.vlr.gg/player/39522/dange,CN,221178,133131,SplitPICK,bo3,0.12,44,3,17,3,35%,32,17%,0,3,0.18
Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,CN,221178,133131,SplitPICK,bo3,1.99,338,25,10,1,85%,227,28%,5,2,2.5
maizi,TYL,https://www.vlr.gg/player/3517/maizi,CN,221178,133131,SplitPICK,bo3,1.29,229,17,12,6,70%,160,25%,2,1,1.42
Abo,TYL,https://www.vlr.gg/player/5011/abo,CN,221178,133131,SplitPICK,bo3,1.05,244,16,13,6,65%,155,33%,3,1,1.23
Core,TYL,https://www.vlr.gg/player/3124/core,CN,221178,133131,SplitPICK,bo3,0.97,157,10,11,11,90%,111,24%,0,1,0.91
LuoK1ng,TYL,https://www.vlr.gg/player/3045/luok1ng,CN,221178,133131,SplitPICK,bo3,0.83,175,13,12,6,80%,103,21%,2,3,1.08
wqc,NOVA,https://www.vlr.gg/player/4403/wqc,CN,221178,133132,BindPICK,bo3,1.11,259,15,14,2,67%,159,47%,2,3,1.07
PangH,NOVA,https://www.vlr.gg/player/4727/pangh,CN,221178,133132,BindPICK,bo3,0.78,113,8,13,3,56%,81,60%,1,0,0.62
o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,CN,221178,133132,BindPICK,bo3,0.70,164,8,14,3,50%,123,35%,3,2,0.57
OBONE,NOVA,https://www.vlr.gg/player/36670/obone,CN,221178,133132,BindPICK,bo3,0.53,146,7,15,6,56%,96,21%,1,1,0.47
DanGe,NOVA,https://www.vlr.gg/player/39522/dange,CN,221178,133132,BindPICK,bo3,0.51,115,8,15,2,50%,76,39%,1,4,0.53
Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,CN,221178,133132,BindPICK,bo3,1.57,291,18,8,3,56%,186,37%,4,3,2.25
