Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Polvi,GE,https://www.vlr.gg/player/1839/polvi,Mixed,289448,151606,SunsetPICK,bo3,0.87,210,13,15,0,44%,120,26%,4,5,0.87
Lightningfast,GE,https://www.vlr.gg/player/3626/lightningfast,Mixed,289448,151606,SunsetPICK,bo3,0.83,138,9,14,6,56%,81,41%,1,1,0.64
Russ,GE,https://www.vlr.gg/player/1162/russ,Mixed,289448,151606,SunsetPICK,bo3,0.73,167,11,15,3,50%,104,50%,1,1,0.73
blaZek1ng,GE,https://www.vlr.gg/player/1743/blazek1ng,Mixed,289448,151606,SunsetPICK,bo3,0.65,147,8,14,6,61%,97,37%,0,1,0.57
skillZ,GE,https://www.vlr.gg/player/3630/skillz,Mixed,289448,151606,SunsetPICK,bo3,0.49,126,6,15,3,56%,105,28%,0,4,0.4
runneR,VIT,https://www.vlr.gg/player/21610/runner,Mixed,289448,151606,SunsetPICK,bo3,2.19,425,28,11,2,89%,293,34%,8,2,2.55
Kicks,VIT,https://www.vlr.gg/player/11134/kicks,Mixed,289448,151606,SunsetPICK,bo3,1.11,132,12,8,7,83%,70,26%,0,0,1.5
Destrian,VIT,https://www.vlr.gg/player/1615/destrian,Mixed,289448,151606,SunsetPICK,bo3,1.10,223,13,11,5,78%,152,26%,1,0,1.18
Sayf,VIT,https://www.vlr.gg/player/312/sayf,Mixed,289448,151606,SunsetPICK,bo3,0.99,198,13,10,7,83%,129,19%,2,3,1.3
ceNder,VIT,https://www.vlr.gg/player/4321/cender,Mixed,289448,151606,SunsetPICK,bo3,0.96,118,7,7,9,78%,72,14%,1,1,1.0
Polvi,GE,https://www.vlr.gg/player/1839/polvi,Mixed,289448,151607,BreezePICK,bo3,0.94,210,15,16,1,45%,138,27%,1,3,0.94
blaZek1ng,GE,https://www.vlr.gg/player/1743/blazek1ng,Mixed,289448,151607,BreezePICK,bo3,0.66,135,8,17,6,55%,93,40%,2,2,0.47
Lightningfast,GE,https://www.vlr.gg/player/3626/lightningfast,Mixed,289448,151607,BreezePICK,bo3,0.63,147,9,17,2,45%,107,27%,3,1,0.53
Russ,GE,https://www.vlr.gg/player/1162/russ,Mixed,289448,151607,BreezePICK,bo3,0.61,124,9,17,5,40%,86,42%,3,2,0.53
