Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
frz,MIBR,https://www.vlr.gg/player/651/frz,Americas,232729,134548,BindPICK,bo3,1.09,223,15,14,3,65%,142,27%,6,2,1.07
murizzz,MIBR,https://www.vlr.gg/player/783/murizzz,Americas,232729,134548,BindPICK,bo3,1.06,197,14,15,5,55%,142,38%,1,0,0.93
jzz,MIBR,https://www.vlr.gg/player/13093/jzz,Americas,232729,134548,BindPICK,bo3,0.99,200,15,15,2,65%,123,34%,2,3,1.0
RgLMeister,MIBR,https://www.vlr.gg/player/5351/rglmeister,Americas,232729,134548,BindPICK,bo3,0.58,143,9,16,7,60%,101,22%,1,1,0.56
TxoziN,MIBR,https://www.vlr.gg/player/941/txozin,Americas,232729,134548,BindPICK,bo3,0.19,79,3,18,5,35%,61,8%,0,4,0.17
Klaus,KRÜ,https://www.vlr.gg/player/2610/klaus,Americas,232729,134548,BindPICK,bo3,1.74,291,22,12,12,75%,169,40%,2,2,1.83
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,232729,134548,BindPICK,bo3,1.42,287,20,11,7,80%,179,17%,3,3,1.82
DaveeyS,KRÜ,https://www.vlr.gg/player/2764/daveeys,Americas,232729,134548,BindPICK,bo3,1.14,168,13,9,4,70%,95,23%,2,1,1.44
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,232729,134548,BindPICK,bo3,1.13,256,17,14,9,75%,169,32%,2,3,1.21
NagZ,KRÜ,https://www.vlr.gg/player/1294/nagz,Americas,232729,134548,BindPICK,bo3,0.82,100,6,10,11,75%,85,29%,1,1,0.6
jzz,MIBR,https://www.vlr.gg/player/13093/jzz,Americas,232729,134549,LotusPICK,bo3,1.12,250,16,15,2,71%,168,33%,5,4,1.07
frz,MIBR,https://www.vlr.gg/player/651/frz,Americas,232729,134549,LotusPICK,bo3,1.03,243,18,17,7,81%,164,31%,2,2,1.06
RgLMeister,MIBR,https://www.vlr.gg/player/5351/rglmeister,Americas,232729,134549,LotusPICK,bo3,1.01,161,13,12,7,86%,104,23%,1,1,1.08
murizzz,MIBR,https://www.vlr.gg/player/783/murizzz,Americas,232729,134549,LotusPICK,bo3,0.93,195,13,16,5,67%,144,23%,1,2,0.81
TxoziN,MIBR,https://www.vlr.gg/player/941/txozin,Americas,232729,134549,LotusPICK,bo3,0.88,139,9,12,6,81%,94,10%,1,2,0.75
DaveeyS,KRÜ,https://www.vlr.gg/player/2764/daveeys,Americas,232729,134549,LotusPICK,bo3,1.32,253,19,13,7,86%,170,27%,2,0,1.46
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,232729,134549,LotusPICK,bo3,1.17,216,18,13,1,81%,132,25%,4,1,1.38
