Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
trexx,MKOI,https://www.vlr.gg/player/2168/trexx,EMEA,167348,113040,IceboxPICK,bo1,1.44,304.0,27,16,6,1.69,79%,206.0,35%,2.0,1.0
sheydos,MKOI,https://www.vlr.gg/player/1428/sheydos,EMEA,167348,113040,IceboxPICK,bo1,1.16,193.0,17,12,4,1.42,71%,124.0,28%,1.0,2.0
Wolfen,MKOI,https://www.vlr.gg/player/9558/wolfen,EMEA,167348,113040,IceboxPICK,bo1,0.77,168.0,14,18,3,0.78,67%,113.0,28%,5.0,8.0
starxo,MKOI,https://www.vlr.gg/player/565/starxo,EMEA,167348,113040,IceboxPICK,bo1,0.68,134.0,10,18,11,0.56,50%,92.0,23%,0.0,4.0
koldamenta,MKOI,https://www.vlr.gg/player/339/koldamenta,EMEA,167348,113040,IceboxPICK,bo1,0.52,73.0,5,19,12,0.26,54%,55.0,16%,0.0,1.0
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,167348,113040,IceboxPICK,bo1,1.44,295.0,24,13,4,1.85,79%,184.0,29%,4.0,0.0
crashies,NRG,https://www.vlr.gg/player/4/crashies,Americas,167348,113040,IceboxPICK,bo1,1.23,244.0,22,15,6,1.47,71%,139.0,25%,3.0,2.0
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,167348,113040,IceboxPICK,bo1,0.96,165.0,12,14,3,0.86,79%,115.0,17%,4.0,0.0
Victor,NRG,https://www.vlr.gg/player/261/victor,Americas,167348,113040,IceboxPICK,bo1,0.92,161.0,14,15,9,0.93,71%,97.0,17%,2.0,3.0
ardiis,NRG,https://www.vlr.gg/player/98/ardiis,Americas,167348,113040,IceboxPICK,bo1,0.86,156.0,11,16,9,0.69,75%,122.0,21%,3.0,3.0
trexx,MKOI,https://www.vlr.gg/player/2168/trexx,EMEA,167348,113041,HavenPICK,bo1,1.33,246.0,19,11,3,1.73,73%,154.0,27%,1.0,3.0
koldamenta,MKOI,https://www.vlr.gg/player/339/koldamenta,EMEA,167348,113041,HavenPICK,bo1,0.78,147.0,12,15,7,0.8,73%,97.0,24%,1.0,2.0
sheydos,MKOI,https://www.vlr.gg/player/1428/sheydos,EMEA,167348,113041,HavenPICK,bo1,0.75,123.0,10,12,2,0.83,68%,88.0,20%,1.0,2.0
starxo,MKOI,https://www.vlr.gg/player/565/starxo,EMEA,167348,113041,HavenPICK,bo1,0.72,112.0,7,11,11,0.64,91%,64.0,10%,0.0,2.0
Wolfen,MKOI,https://www.vlr.gg/player/9558/wolfen,EMEA,167348,113041,HavenPICK,bo1,0.64,205.0,14,20,4,0.7,55%,133.0,38%,5.0,5.0
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,167348,113041,HavenPICK,bo1,1.25,180.0,12,10,15,1.2,86%,104.0,17%,1.0,0.0
ardiis,NRG,https://www.vlr.gg/player/98/ardiis,Americas,167348,113041,HavenPICK,bo1,1.21,224.0,16,12,3,1.33,77%,136.0,15%,7.0,1.0
crashies,NRG,https://www.vlr.gg/player/4/crashies,Americas,167348,113041,HavenPICK,bo1,1.2,196.0,14,12,11,1.17,77%,139.0,30%,2.0,2.0
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,167348,113041,HavenPICK,bo1,0.97,158.0,12,13,8,0.92,86%,106.0,45%,0.0,4.0
Victor,NRG,https://www.vlr.gg/player/261/victor,Americas,167348,113041,HavenPICK,bo1,0.91,183.0,15,15,1,1.0,68%,124.0,32%,4.0,1.0
Reita,DFM,https://www.vlr.gg/player/1003/reita,Pacific,167349,113043,HavenPICK,bo1,0.99,263.0,15,15,2,1.0,59%,175.0,44%,2.0,3.0
Suggest,DFM,https://www.vlr.gg/player/4559/suggest,Pacific,167349,113043,HavenPICK,bo1,0.83,150.0,10,13,6,0.77,76%,90.0,40%,3.0,1.0
xnfri,DFM,https://www.vlr.gg/player/7718/xnfri,Pacific,167349,113043,HavenPICK,bo1,0.62,102.0,7,13,3,0.54,47%,74.0,26%,0.0,1.0
Anthem,DFM,https://www.vlr.gg/player/6700/anthem,Pacific,167349,113043,HavenPICK,bo1,0.48,128.0,6,14,3,0.43,71%,95.0,30%,0.0,1.0
Seoldam,DFM,https://www.vlr.gg/player/10584/seoldam,Pacific,167349,113043,HavenPICK,bo1,0.22,129.0,7,16,2,0.44,53%,80.0,31%,2.0,4.0
Cloud,GIA,https://www.vlr.gg/player/4181/cloud,EMEA,167349,113043,HavenPICK,bo1,2.04,372.0,26,9,1,2.89,94%,244.0,38%,3.0,1.0
