Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
MOJJ,FUT,https://www.vlr.gg/player/3604/mojj,EMEA,220297,132557,SplitPICK,bo1,0.89,174,12,13,2,0.92,67%,104,19%,0,0
AtaKaptan,FUT,https://www.vlr.gg/player/6510/atakaptan,EMEA,220297,132557,SplitPICK,bo1,0.81,143,8,14,3,0.57,56%,99,41%,2,2
MrFaliN,FUT,https://www.vlr.gg/player/8044/mrfalin,EMEA,220297,132557,SplitPICK,bo1,0.77,171,11,14,3,0.79,50%,111,26%,4,2
qRaxs,FUT,https://www.vlr.gg/player/1139/qraxs,EMEA,220297,132557,SplitPICK,bo1,0.73,190,9,16,8,0.56,72%,135,27%,1,0
qw1,FUT,https://www.vlr.gg/player/10125/qw1,EMEA,220297,132557,SplitPICK,bo1,0.62,139,8,13,2,0.62,56%,86,16%,3,4
C0M,EG,https://www.vlr.gg/player/619/c0m,Americas,220297,132557,SplitPICK,bo1,1.56,244,17,7,4,2.43,83%,142,19%,2,1
Ethan,EG,https://www.vlr.gg/player/11225/ethan,Americas,220297,132557,SplitPICK,bo1,1.32,225,14,9,8,1.56,78%,133,18%,1,2
jawgemo,EG,https://www.vlr.gg/player/3993/jawgemo,Americas,220297,132557,SplitPICK,bo1,1.15,205,13,10,2,1.3,78%,129,12%,3,3
Demon1,EG,https://www.vlr.gg/player/26171/demon1,Americas,220297,132557,SplitPICK,bo1,1.06,217,15,11,1,1.36,61%,150,35%,2,3
Boostio,EG,https://www.vlr.gg/player/604/boostio,Americas,220297,132557,SplitPICK,bo1,0.82,160,11,11,3,1.0,72%,133,22%,0,1
AtaKaptan,FUT,https://www.vlr.gg/player/6510/atakaptan,EMEA,220297,132558,LotusPICK,bo1,1.37,260,22,17,14,1.29,77%,166,25%,2,1
MrFaliN,FUT,https://www.vlr.gg/player/8044/mrfalin,EMEA,220297,132558,LotusPICK,bo1,1.04,188,18,17,9,1.06,73%,125,31%,2,0
qRaxs,FUT,https://www.vlr.gg/player/1139/qraxs,EMEA,220297,132558,LotusPICK,bo1,0.96,234,19,23,13,0.83,62%,149,37%,4,0
MOJJ,FUT,https://www.vlr.gg/player/3604/mojj,EMEA,220297,132558,LotusPICK,bo1,0.86,144,13,18,5,0.72,69%,106,22%,1,3
qw1,FUT,https://www.vlr.gg/player/10125/qw1,EMEA,220297,132558,LotusPICK,bo1,0.66,188,18,22,2,0.82,54%,117,27%,5,8
Boostio,EG,https://www.vlr.gg/player/604/boostio,Americas,220297,132558,LotusPICK,bo1,1.67,382,35,19,5,1.84,81%,245,28%,5,3
Ethan,EG,https://www.vlr.gg/player/11225/ethan,Americas,220297,132558,LotusPICK,bo1,1.40,218,20,15,16,1.33,81%,140,19%,0,1
Demon1,EG,https://www.vlr.gg/player/26171/demon1,Americas,220297,132558,LotusPICK,bo1,0.85,168,15,18,5,0.83,69%,123,32%,5,6
jawgemo,EG,https://www.vlr.gg/player/3993/jawgemo,Americas,220297,132558,LotusPICK,bo1,0.83,186,15,19,6,0.79,65%,135,17%,1,2
C0M,EG,https://www.vlr.gg/player/619/c0m,Americas,220297,132558,LotusPICK,bo1,0.67,138,12,19,12,0.63,77%,88,12%,1,2
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,220296,132554,FracturePICK,bo1,1.61,272,24,14,18,1.71,87%,172,22%,0,2
Rb,KRX,https://www.vlr.gg/player/488/rb,CN,220296,132554,FracturePICK,bo1,1.18,212,18,14,10,1.29,83%,131,27%,0,1
BuZz,KRX,https://www.vlr.gg/player/804/buzz,Pacific,220296,132554,FracturePICK,bo1,1.13,219,17,15,7,1.13,74%,145,15%,4,3
stax,KRX,https://www.vlr.gg/player/485/stax,Pacific,220296,132554,FracturePICK,bo1,0.97,162,15,16,10,0.94,78%,105,24%,0,2
Foxy9,KRX,https://www.vlr.gg/player/11600/foxy9,Pacific,220296,132554,FracturePICK,bo1,0.76,207,14,20,6,0.7,78%,135,17%,5,6
Life,ASE,https://www.vlr.gg/player/3028/life,EMEA,220296,132554,FracturePICK,bo1,1.05,260,22,20,5,1.1,87%,159,16%,9,2
YHchen,ASE,https://www.vlr.gg/player/10486/yhchen,CN,220296,132554,FracturePICK,bo1,0.98,172,14,16,10,0.88,78%,115,19%,2,1
monk,ASE,https://www.vlr.gg/player/14431/monk,CN,220296,132554,FracturePICK,bo1,0.97,190,16,16,1,1.0,70%,131,25%,0,0
bunt,ASE,https://www.vlr.gg/player/25949/bunt,CN,220296,132554,FracturePICK,bo1,0.79,170,13,19,9,0.68,61%,100,23%,1,2
zjc,ASE,https://www.vlr.gg/player/7135/zjc,CN,220296,132554,FracturePICK,bo1,0.74,173,14,17,5,0.82,61%,122,19%,2,4
Rb,KRX,https://www.vlr.gg/player/488/rb,CN,220296,132555,PearlPICK,bo1,1.86,295,25,12,14,2.08,95%,169,19%,1,0
BuZz,KRX,https://www.vlr.gg/player/804/buzz,Pacific,220296,132555,PearlPICK,bo1,1.49,253,17,10,8,1.7,80%,181,21%,0,2
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,220296,132555,PearlPICK,bo1,1.08,203,12,13,14,0.92,70%,138,16%,2,3
stax,KRX,https://www.vlr.gg/player/485/stax,Pacific,220296,132555,PearlPICK,bo1,1.04,171,12,13,14,0.92,80%,118,44%,1,2
Foxy9,KRX,https://www.vlr.gg/player/11600/foxy9,Pacific,220296,132555,PearlPICK,bo1,0.93,241,16,17,4,0.94,70%,157,16%,3,6
YHchen,ASE,https://www.vlr.gg/player/10486/yhchen,CN,220296,132555,PearlPICK,bo1,1.10,242,16,16,13,1.0,65%,162,14%,2,1
Life,ASE,https://www.vlr.gg/player/3028/life,EMEA,220296,132555,PearlPICK,bo1,0.97,214,16,16,3,1.0,75%,145,25%,4,2
monk,ASE,https://www.vlr.gg/player/14431/monk,CN,220296,132555,PearlPICK,bo1,0.83,191,11,16,13,0.69,80%,128,14%,2,1
zjc,ASE,https://www.vlr.gg/player/7135/zjc,CN,220296,132555,PearlPICK,bo1,0.75,150,12,15,4,0.8,70%,95,35%,3,2
bunt,ASE,https://www.vlr.gg/player/25949/bunt,CN,220296,132555,PearlPICK,bo1,0.58,153,10,19,10,0.53,80%,90,12%,2,1
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,220292,132542,FracturePICK,bo1,1.18,271,23,17,2,1.35,74%,160,19%,4,4
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,220292,132542,FracturePICK,bo1,1.16,197,16,15,8,1.07,87%,135,41%,1,2
Haodong,EDG,https://www.vlr.gg/player/4720/haodong,CN,220292,132542,FracturePICK,bo1,1.10,226,18,16,6,1.12,91%,152,26%,2,1
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,220292,132542,FracturePICK,bo1,1.00,186,16,17,7,0.94,83%,127,26%,1,2
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,220292,132542,FracturePICK,bo1,0.55,167,11,20,9,0.55,70%,133,30%,4,2
Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,Pacific,220292,132542,FracturePICK,bo1,1.40,293,26,16,3,1.62,78%,178,17%,2,4
carpe,T1,https://www.vlr.gg/player/31207/carpe,Pacific,220292,132542,FracturePICK,bo1,1.20,200,18,14,8,1.29,70%,125,26%,3,0
ban,T1,https://www.vlr.gg/player/5129/ban,Pacific,220292,132542,FracturePICK,bo1,1.08,286,22,19,4,1.16,83%,181,16%,3,4
Munchkin,T1,https://www.vlr.gg/player/2489/munchkin,Pacific,220292,132542,FracturePICK,bo1,0.86,170,12,18,6,0.67,70%,121,24%,2,2
xeta,T1,https://www.vlr.gg/player/474/xeta,Pacific,220292,132542,FracturePICK,bo1,0.51,96,7,18,11,0.39,65%,66,15%,1,2
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,220292,132543,HavenPICK,bo1,1.49,299,22,12,7,1.83,100%,189,29%,1,0
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,220292,132543,HavenPICK,bo1,1.41,233,17,8,7,2.12,90%,164,22%,1,1
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,220292,132543,HavenPICK,bo1,1.29,301,22,13,1,1.69,80%,172,12%,4,2
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,220292,132543,HavenPICK,bo1,0.95,192,15,12,4,1.25,75%,136,23%,2,2
