Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Snail,TEC,https://www.vlr.gg/player/41053/snail,CN,414847,189006,AscentPICK,bo3,,221,15,17,5,,,,,,0.88
Abo,TEC,https://www.vlr.gg/player/5011/abo,CN,414847,189006,AscentPICK,bo3,,218,14,17,3,,,,,,0.82
AC,TEC,https://www.vlr.gg/player/14445/ac,CN,414847,189006,AscentPICK,bo3,,186,14,14,3,,,,,,1.0
Rb,TEC,https://www.vlr.gg/player/488/rb,CN,414847,189006,AscentPICK,bo3,,144,9,17,8,,,,,,0.53
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,414847,189006,AscentPICK,bo3,,109,6,17,5,,,,,,0.35
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,414847,189006,AscentPICK,bo3,,316,23,11,8,,,,,,2.09
Yuicaw,WOL,https://www.vlr.gg/player/11218/yuicaw,CN,414847,189006,AscentPICK,bo3,,243,18,14,13,,,,,,1.29
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,414847,189006,AscentPICK,bo3,,203,17,9,4,,,,,,1.89
Lysoar,WOL,https://www.vlr.gg/player/37489/lysoar,CN,414847,189006,AscentPICK,bo3,,193,14,12,1,,,,,,1.17
V1yA,WOL,https://www.vlr.gg/player/45104/v1ya,CN,414847,189006,AscentPICK,bo3,,162,10,12,17,,,,,,0.83
Rb,TEC,https://www.vlr.gg/player/488/rb,CN,414847,189007,AbyssPICK,bo3,,264,17,16,6,,,,,,1.06
AC,TEC,https://www.vlr.gg/player/14445/ac,CN,414847,189007,AbyssPICK,bo3,,218,13,15,5,,,,,,0.87
Abo,TEC,https://www.vlr.gg/player/5011/abo,CN,414847,189007,AbyssPICK,bo3,,188,11,16,3,,,,,,0.69
Snail,TEC,https://www.vlr.gg/player/41053/snail,CN,414847,189007,AbyssPICK,bo3,,117,7,16,2,,,,,,0.44
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,414847,189007,AbyssPICK,bo3,,105,8,13,1,,,,,,0.62
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,414847,189007,AbyssPICK,bo3,,302,21,12,1,,,,,,1.75
Lysoar,WOL,https://www.vlr.gg/player/37489/lysoar,CN,414847,189007,AbyssPICK,bo3,,293,18,12,4,,,,,,1.5
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,414847,189007,AbyssPICK,bo3,,255,17,7,7,,,,,,2.43
V1yA,WOL,https://www.vlr.gg/player/45104/v1ya,CN,414847,189007,AbyssPICK,bo3,,217,15,11,7,,,,,,1.36
Yuicaw,WOL,https://www.vlr.gg/player/11218/yuicaw,CN,414847,189007,AbyssPICK,bo3,,77,5,14,6,,,,,,0.36
vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,CN,414848,189009,HavenPICK,bo3,,322,26,10,5,,,,,,2.6
SpiritZ1,DRG,https://www.vlr.gg/player/31753/spiritz1,CN,414848,189009,HavenPICK,bo3,,231,16,15,14,,,,,,1.07
TvirusLuke,DRG,https://www.vlr.gg/player/7841/tvirusluke,CN,414848,189009,HavenPICK,bo3,,217,17,18,4,,,,,,0.94
Cangshu,DRG,https://www.vlr.gg/player/46527/cangshu,CN,414848,189009,HavenPICK,bo3,,127,10,15,17,,,,,,0.67
Nicc,DRG,https://www.vlr.gg/player/11524/nicc,CN,414848,189009,HavenPICK,bo3,,96,6,14,18,,,,,,0.43
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,414848,189009,HavenPICK,bo3,,329,27,14,3,,,,,,1.93
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,414848,189009,HavenPICK,bo3,,257,20,17,3,,,,,,1.18
YOU,XLG,https://www.vlr.gg/player/4710/you,CN,414848,189009,HavenPICK,bo3,,122,7,14,8,,,,,,0.5
MrCANI,XLG,https://www.vlr.gg/player/37674/mrcani,CN,414848,189009,HavenPICK,bo3,,114,10,14,14,,,,,,0.71
MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,CN,414848,189009,HavenPICK,bo3,,107,8,16,6,,,,,,0.5
TvirusLuke,DRG,https://www.vlr.gg/player/7841/tvirusluke,CN,414848,189010,BindPICK,bo3,,194,9,13,1,,,,,,0.69
vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,CN,414848,189010,BindPICK,bo3,,180,7,14,2,,,,,,0.5
SpiritZ1,DRG,https://www.vlr.gg/player/31753/spiritz1,CN,414848,189010,BindPICK,bo3,,139,7,14,1,,,,,,0.5
Nicc,DRG,https://www.vlr.gg/player/11524/nicc,CN,414848,189010,BindPICK,bo3,,129,5,14,4,,,,,,0.36
Cangshu,DRG,https://www.vlr.gg/player/46527/cangshu,CN,414848,189010,BindPICK,bo3,,98,4,14,3,,,,,,0.29
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,414848,189010,BindPICK,bo3,,426,23,8,3,,,,,,2.88
YOU,XLG,https://www.vlr.gg/player/4710/you,CN,414848,189010,BindPICK,bo3,,304,15,5,6,,,,,,3.0
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,414848,189010,BindPICK,bo3,,202,11,9,2,,,,,,1.22
MrCANI,XLG,https://www.vlr.gg/player/37674/mrcani,CN,414848,189010,BindPICK,bo3,,172,11,4,6,,,,,,2.75
MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,CN,414848,189010,BindPICK,bo3,,168,9,6,10,,,,,,1.5
vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,CN,414848,189011,Sunset,bo3,,216,14,16,2,,,,,,0.88
TvirusLuke,DRG,https://www.vlr.gg/player/7841/tvirusluke,CN,414848,189011,Sunset,bo3,,206,13,15,3,,,,,,0.87
SpiritZ1,DRG,https://www.vlr.gg/player/31753/spiritz1,CN,414848,189011,Sunset,bo3,,200,12,16,5,,,,,,0.75
Nicc,DRG,https://www.vlr.gg/player/11524/nicc,CN,414848,189011,Sunset,bo3,,140,7,15,8,,,,,,0.47
Cangshu,DRG,https://www.vlr.gg/player/46527/cangshu,CN,414848,189011,Sunset,bo3,,106,4,16,12,,,,,,0.25
YOU,XLG,https://www.vlr.gg/player/4710/you,CN,414848,189011,Sunset,bo3,,326,21,9,6,,,,,,2.33
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,414848,189011,Sunset,bo3,,257,18,11,5,,,,,,1.64
MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,CN,414848,189011,Sunset,bo3,,249,16,11,11,,,,,,1.45
MrCANI,XLG,https://www.vlr.gg/player/37674/mrcani,CN,414848,189011,Sunset,bo3,,181,10,8,15,,,,,,1.25
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,414848,189011,Sunset,bo3,,176,12,11,4,,,,,,1.09
Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,CN,414850,189015,AscentPICK,bo3,,273,24,15,1,,,,,,1.6
5CM,TYL,https://www.vlr.gg/player/47101/5cm,CN,414850,189015,AscentPICK,bo3,,204,16,18,7,,,,,,0.89
Core,TYL,https://www.vlr.gg/player/3124/core,CN,414850,189015,AscentPICK,bo3,,190,15,14,5,,,,,,1.07
Sunshine,TYL,https://www.vlr.gg/player/14453/sunshine,CN,414850,189015,AscentPICK,bo3,,140,10,17,9,,,,,,0.59
slowly,TYL,https://www.vlr.gg/player/41739/slowly,CN,414850,189015,AscentPICK,bo3,,112,8,17,7,,,,,,0.47
stew,JDG,https://www.vlr.gg/player/16924/stew,CN,414850,189015,AscentPICK,bo3,,307,24,15,5,,,,,,1.6
Viva,JDG,https://www.vlr.gg/player/36415/viva,CN,414850,189015,AscentPICK,bo3,,235,20,13,7,,,,,,1.54
Z1yan,JDG,https://www.vlr.gg/player/41029/z1yan,CN,414850,189015,AscentPICK,bo3,,223,17,15,5,,,,,,1.13
sword9,JDG,https://www.vlr.gg/player/3049/sword9,CN,414850,189015,AscentPICK,bo3,,163,12,16,12,,,,,,0.75
jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,CN,414850,189015,AscentPICK,bo3,,102,8,14,17,,,,,,0.57
5CM,TYL,https://www.vlr.gg/player/47101/5cm,CN,414850,189016,BindPICK,bo3,,217,19,16,2,,,,,,1.19
Core,TYL,https://www.vlr.gg/player/3124/core,CN,414850,189016,BindPICK,bo3,,209,15,21,7,,,,,,0.71
slowly,TYL,https://www.vlr.gg/player/41739/slowly,CN,414850,189016,BindPICK,bo3,,176,14,19,3,,,,,,0.74
Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,CN,414850,189016,BindPICK,bo3,,167,11,18,6,,,,,,0.61
Sunshine,TYL,https://www.vlr.gg/player/14453/sunshine,CN,414850,189016,BindPICK,bo3,,86,5,15,10,,,,,,0.33
stew,JDG,https://www.vlr.gg/player/16924/stew,CN,414850,189016,BindPICK,bo3,,266,19,15,6,,,,,,1.27
Viva,JDG,https://www.vlr.gg/player/36415/viva,CN,414850,189016,BindPICK,bo3,,242,22,12,5,,,,,,1.83
Z1yan,JDG,https://www.vlr.gg/player/41029/z1yan,CN,414850,189016,BindPICK,bo3,,237,19,15,3,,,,,,1.27
sword9,JDG,https://www.vlr.gg/player/3049/sword9,CN,414850,189016,BindPICK,bo3,,195,15,11,6,,,,,,1.36
jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,CN,414850,189016,BindPICK,bo3,,170,14,11,8,,,,,,1.27
K1ra,AG,https://www.vlr.gg/player/46748/k1ra,CN,414852,189021,SunsetPICK,bo3,,208,11,15,4,,,,,,0.73
player,AG,https://www.vlr.gg/player/46749/player,CN,414852,189021,SunsetPICK,bo3,,154,7,15,2,,,,,,0.47
X3B,AG,https://www.vlr.gg/player/37019/x3b,CN,414852,189021,SunsetPICK,bo3,,124,6,12,5,,,,,,0.5
deLb,AG,https://www.vlr.gg/player/10821/delb,CN,414852,189021,SunsetPICK,bo3,,122,5,15,3,,,,,,0.33
Spitfires,AG,https://www.vlr.gg/player/4881/spitfires,CN,414852,189021,SunsetPICK,bo3,,95,4,13,3,,,,,,0.31
o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,CN,414852,189021,SunsetPICK,bo3,,272,17,6,12,,,,,,2.83
cb,NOVA,https://www.vlr.gg/player/39697/cb,CN,414852,189021,SunsetPICK,bo3,,254,13,5,13,,,,,,2.6
SWERL,NOVA,https://www.vlr.gg/player/1209/swerl,CN,414852,189021,SunsetPICK,bo3,,248,14,7,3,,,,,,2.0
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,414852,189021,SunsetPICK,bo3,,229,13,8,10,,,,,,1.62
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,414852,189021,SunsetPICK,bo3,,228,13,7,1,,,,,,1.86
K1ra,AG,https://www.vlr.gg/player/46748/k1ra,CN,414852,189022,AbyssPICK,bo3,,262,18,16,7,,,,,,1.12
deLb,AG,https://www.vlr.gg/player/10821/delb,CN,414852,189022,AbyssPICK,bo3,,224,16,14,2,,,,,,1.14
Spitfires,AG,https://www.vlr.gg/player/4881/spitfires,CN,414852,189022,AbyssPICK,bo3,,174,12,17,6,,,,,,0.71
player,AG,https://www.vlr.gg/player/46749/player,CN,414852,189022,AbyssPICK,bo3,,168,12,16,2,,,,,,0.75
