Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,Americas,312765,162326,IceboxPICK,bo1,1.47,281,20,14,9,1.43,67%,212,32%,1,5
marteen,KC,https://www.vlr.gg/player/10307/marteen,EMEA,312765,162326,IceboxPICK,bo1,1.34,266,20,14,4,1.43,86%,160,29%,3,3
MAGNUM,KC,https://www.vlr.gg/player/2173/magnum,EMEA,312765,162326,IceboxPICK,bo1,1.17,231,18,14,2,1.29,71%,165,29%,0,2
sh1n,KC,https://www.vlr.gg/player/2625/sh1n,EMEA,312765,162326,IceboxPICK,bo1,0.98,182,15,15,7,1.0,86%,116,38%,2,1
tomaszy,KC,https://www.vlr.gg/player/19691/tomaszy,EMEA,312765,162326,IceboxPICK,bo1,0.64,117,8,15,3,0.53,57%,94,44%,1,3
Life,FPX,https://www.vlr.gg/player/3028/life,EMEA,312765,162326,IceboxPICK,bo1,1.55,318,25,15,3,1.67,86%,217,48%,5,3
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,EMEA,312765,162326,IceboxPICK,bo1,0.97,196,15,16,9,0.94,81%,132,42%,0,0
Autumn,FPX,https://www.vlr.gg/player/872/autumn,Pacific,312765,162326,IceboxPICK,bo1,0.72,186,12,18,2,0.67,71%,120,24%,4,1
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,EMEA,312765,162326,IceboxPICK,bo1,0.69,165,11,17,8,0.65,52%,111,27%,3,3
Lysoar,FPX,https://www.vlr.gg/player/37489/lysoar,CN,312765,162326,IceboxPICK,bo1,0.56,138,9,15,2,0.6,57%,100,24%,2,0
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,Americas,312765,162327,LotusPICK,bo1,1.75,319,27,14,11,1.93,78%,201,35%,5,0
MAGNUM,KC,https://www.vlr.gg/player/2173/magnum,EMEA,312765,162327,LotusPICK,bo1,1.20,219,17,14,6,1.21,74%,155,19%,1,3
sh1n,KC,https://www.vlr.gg/player/2625/sh1n,EMEA,312765,162327,LotusPICK,bo1,1.15,234,21,16,5,1.31,74%,149,43%,1,2
tomaszy,KC,https://www.vlr.gg/player/19691/tomaszy,EMEA,312765,162327,LotusPICK,bo1,1.04,176,15,15,9,1.0,70%,122,40%,2,2
marteen,KC,https://www.vlr.gg/player/10307/marteen,EMEA,312765,162327,LotusPICK,bo1,0.59,140,9,18,5,0.5,70%,106,10%,1,6
