Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,348063,170636,BreezePICK,bo1,,342.0,28.0,11.0,3.0,2.55,,197.0,30%,6.0,2.0
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,348063,170636,BreezePICK,bo1,,234.0,14.0,15.0,12.0,0.93,,162.0,28%,5.0,0.0
JonahP,G2,https://www.vlr.gg/player/4581/jonahp,Americas,348063,170636,BreezePICK,bo1,,173.0,14.0,14.0,4.0,1.0,,122.0,34%,0.0,2.0
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,348063,170636,BreezePICK,bo1,,167.0,13.0,12.0,7.0,1.08,,115.0,47%,1.0,0.0
icy,G2,https://www.vlr.gg/player/8402/icy,Americas,348063,170636,BreezePICK,bo1,,166.0,13.0,13.0,6.0,1.0,,103.0,44%,3.0,2.0
xccurate,T1,https://www.vlr.gg/player/10816/xccurate,Pacific,348063,170636,BreezePICK,bo1,,232.0,18.0,18.0,6.0,1.0,,138.0,47%,1.0,3.0
carpe,T1,https://www.vlr.gg/player/31207/carpe,Pacific,348063,170636,BreezePICK,bo1,,193.0,15.0,15.0,3.0,1.0,,129.0,34%,1.0,3.0
iZu,T1,https://www.vlr.gg/player/29833/izu,Pacific,348063,170636,BreezePICK,bo1,,177.0,12.0,18.0,2.0,0.67,,112.0,43%,2.0,5.0
Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,Pacific,348063,170636,BreezePICK,bo1,,149.0,12.0,17.0,1.0,0.71,,106.0,54%,1.0,4.0
Rossy,T1,https://www.vlr.gg/player/1129/rossy,Pacific,348063,170636,BreezePICK,bo1,,121.0,8.0,14.0,3.0,0.57,,94.0,33%,1.0,0.0
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,348063,170637,IceboxPICK,bo1,,184.0,8.0,14.0,1.0,0.57,,134.0,19%,1.0,2.0
JonahP,G2,https://www.vlr.gg/player/4581/jonahp,Americas,348063,170637,IceboxPICK,bo1,,184.0,9.0,12.0,3.0,0.75,,107.0,26%,1.0,1.0
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,348063,170637,IceboxPICK,bo1,,150.0,6.0,13.0,2.0,0.46,,106.0,29%,1.0,0.0
icy,G2,https://www.vlr.gg/player/8402/icy,Americas,348063,170637,IceboxPICK,bo1,,126.0,6.0,13.0,1.0,0.46,,87.0,24%,4.0,3.0
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,348063,170637,IceboxPICK,bo1,,77.0,3.0,14.0,3.0,0.21,,53.0,18%,0.0,1.0
Rossy,T1,https://www.vlr.gg/player/1129/rossy,Pacific,348063,170637,IceboxPICK,bo1,,364.0,20.0,5.0,6.0,4.0,,232.0,30%,0.0,1.0
carpe,T1,https://www.vlr.gg/player/31207/carpe,Pacific,348063,170637,IceboxPICK,bo1,,244.0,12.0,5.0,6.0,2.4,,174.0,18%,3.0,1.0
Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,Pacific,348063,170637,IceboxPICK,bo1,,241.0,13.0,5.0,4.0,2.6,,165.0,26%,0.0,0.0
xccurate,T1,https://www.vlr.gg/player/10816/xccurate,Pacific,348063,170637,IceboxPICK,bo1,,207.0,12.0,7.0,2.0,1.71,,150.0,43%,1.0,2.0
iZu,T1,https://www.vlr.gg/player/29833/izu,Pacific,348063,170637,IceboxPICK,bo1,,193.0,9.0,10.0,5.0,0.9,,120.0,23%,3.0,3.0
