Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Kai,TE,https://www.vlr.gg/player/37494/kai,Mixed,418804,191192,AscentPICK,bo3,,274,19,16,2,,,,,,1.19
heybay,TE,https://www.vlr.gg/player/4712/heybay,Mixed,418804,191192,AscentPICK,bo3,,191,12,17,9,,,,,,0.71
FengF,TE,https://www.vlr.gg/player/4770/fengf,Mixed,418804,191192,AscentPICK,bo3,,169,11,15,3,,,,,,0.73
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,Mixed,418804,191192,AscentPICK,bo3,,129,10,16,7,,,,,,0.62
Biank,TE,https://www.vlr.gg/player/3021/biank,Mixed,418804,191192,AscentPICK,bo3,,105,6,16,4,,,,,,0.38
Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,Mixed,418804,191192,AscentPICK,bo3,,320,23,11,10,,,,,,2.09
Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,Mixed,418804,191192,AscentPICK,bo3,,288,21,11,1,,,,,,1.91
Estrella,RRQ,https://www.vlr.gg/player/25025/estrella,Mixed,418804,191192,AscentPICK,bo3,,223,14,12,15,,,,,,1.17
xffero,RRQ,https://www.vlr.gg/player/4871/xffero,Mixed,418804,191192,AscentPICK,bo3,,204,14,11,2,,,,,,1.27
Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,Mixed,418804,191192,AscentPICK,bo3,,125,8,13,4,,,,,,0.62
FengF,TE,https://www.vlr.gg/player/4770/fengf,Mixed,418804,191193,PearlPICK,bo3,,188,13,13,3,,,,,,1.0
heybay,TE,https://www.vlr.gg/player/4712/heybay,Mixed,418804,191193,PearlPICK,bo3,,167,10,13,3,,,,,,0.77
Kai,TE,https://www.vlr.gg/player/37494/kai,Mixed,418804,191193,PearlPICK,bo3,,158,9,16,4,,,,,,0.56
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,Mixed,418804,191193,PearlPICK,bo3,,152,9,13,7,,,,,,0.69
Biank,TE,https://www.vlr.gg/player/3021/biank,Mixed,418804,191193,PearlPICK,bo3,,150,11,13,2,,,,,,0.85
xffero,RRQ,https://www.vlr.gg/player/4871/xffero,Mixed,418804,191193,PearlPICK,bo3,,320,22,7,2,,,,,,3.14
Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,Mixed,418804,191193,PearlPICK,bo3,,250,14,15,6,,,,,,0.93
Estrella,RRQ,https://www.vlr.gg/player/25025/estrella,Mixed,418804,191193,PearlPICK,bo3,,203,13,8,14,,,,,,1.62
Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,Mixed,418804,191193,PearlPICK,bo3,,188,12,11,4,,,,,,1.09
Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,Mixed,418804,191193,PearlPICK,bo3,,98,7,11,3,,,,,,0.64
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Mixed,418805,191195,HavenPICK,bo3,,321,30,18,8,,,,,,1.67
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Mixed,418805,191195,HavenPICK,bo3,,236,21,19,12,,,,,,1.11
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Mixed,418805,191195,HavenPICK,bo3,,232,25,16,3,,,,,,1.56
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Mixed,418805,191195,HavenPICK,bo3,,156,11,22,9,,,,,,0.5
something,PRX,https://www.vlr.gg/player/17086/something,Mixed,418805,191195,HavenPICK,bo3,,123,12,17,8,,,,,,0.71
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Mixed,418805,191195,HavenPICK,bo3,,252,24,21,3,,,,,,1.14
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Mixed,418805,191195,HavenPICK,bo3,,234,20,21,14,,,,,,0.95
Karon,GEN,https://www.vlr.gg/player/34974/karon,Mixed,418805,191195,HavenPICK,bo3,,217,21,20,11,,,,,,1.05
Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,Mixed,418805,191195,HavenPICK,bo3,,171,14,19,6,,,,,,0.74
yoman,GEN,https://www.vlr.gg/player/25081/yoman,Mixed,418805,191195,HavenPICK,bo3,,150,13,18,8,,,,,,0.72
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Mixed,418805,191196,AbyssPICK,bo3,,243,22,20,16,,,,,,1.1
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Mixed,418805,191196,AbyssPICK,bo3,,216,22,21,7,,,,,,1.05
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Mixed,418805,191196,AbyssPICK,bo3,,207,22,17,4,,,,,,1.29
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Mixed,418805,191196,AbyssPICK,bo3,,192,20,16,19,,,,,,1.25
something,PRX,https://www.vlr.gg/player/17086/something,Mixed,418805,191196,AbyssPICK,bo3,,158,16,18,3,,,,,,0.89
Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,Mixed,418805,191196,AbyssPICK,bo3,,241,22,23,9,,,,,,0.96
Karon,GEN,https://www.vlr.gg/player/34974/karon,Mixed,418805,191196,AbyssPICK,bo3,,231,24,16,13,,,,,,1.5
yoman,GEN,https://www.vlr.gg/player/25081/yoman,Mixed,418805,191196,AbyssPICK,bo3,,208,22,19,3,,,,,,1.16
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Mixed,418805,191196,AbyssPICK,bo3,,191,16,25,8,,,,,,0.64
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Mixed,418805,191196,AbyssPICK,bo3,,81,9,19,8,,,,,,0.47
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Mixed,418805,191197,Split,bo3,,253,33,22,15,,,,,,1.5
something,PRX,https://www.vlr.gg/player/17086/something,Mixed,418805,191197,Split,bo3,,221,25,25,5,,,,,,1.0
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Mixed,418805,191197,Split,bo3,,194,21,29,8,,,,,,0.72
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Mixed,418805,191197,Split,bo3,,179,22,24,13,,,,,,0.92
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Mixed,418805,191197,Split,bo3,,144,16,21,10,,,,,,0.76
Karon,GEN,https://www.vlr.gg/player/34974/karon,Mixed,418805,191197,Split,bo3,,245,30,21,7,,,,,,1.43
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Mixed,418805,191197,Split,bo3,,218,25,25,6,,,,,,1.0
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Mixed,418805,191197,Split,bo3,,208,23,25,7,,,,,,0.92
yoman,GEN,https://www.vlr.gg/player/25081/yoman,Mixed,418805,191197,Split,bo3,,208,23,24,11,,,,,,0.96
Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,Mixed,418805,191197,Split,bo3,,164,20,22,5,,,,,,0.91
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,418806,191198,SunsetPICK,bo3,,246,21,17,5,,,,,,1.24
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,Mixed,418806,191198,SunsetPICK,bo3,,234,19,15,9,,,,,,1.27
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,418806,191198,SunsetPICK,bo3,,204,17,17,6,,,,,,1.0
Athan,KRX,https://www.vlr.gg/player/34982/athan,Mixed,418806,191198,SunsetPICK,bo3,,194,16,17,12,,,,,,0.94
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,418806,191198,SunsetPICK,bo3,,171,16,14,7,,,,,,1.14
Levius,BLG,https://www.vlr.gg/player/40845/levius,Mixed,418806,191198,SunsetPICK,bo3,,250,20,15,7,,,,,,1.33
whzy,BLG,https://www.vlr.gg/player/4885/whzy,Mixed,418806,191198,SunsetPICK,bo3,,225,18,23,6,,,,,,0.78
rushia,BLG,https://www.vlr.gg/player/48878/rushia,Mixed,418806,191198,SunsetPICK,bo3,,216,19,17,8,,,,,,1.12
nephh,BLG,https://www.vlr.gg/player/10698/nephh,Mixed,418806,191198,SunsetPICK,bo3,,197,14,19,15,,,,,,0.74
Knight,BLG,https://www.vlr.gg/player/4774/knight,Mixed,418806,191198,SunsetPICK,bo3,,96,9,15,1,,,,,,0.6
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,418806,191199,HavenPICK,bo3,,288,17,7,1,,,,,,2.43
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,418806,191199,HavenPICK,bo3,,268,14,8,5,,,,,,1.75
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,418806,191199,HavenPICK,bo3,,229,13,7,8,,,,,,1.86
Athan,KRX,https://www.vlr.gg/player/34982/athan,Mixed,418806,191199,HavenPICK,bo3,,203,11,6,8,,,,,,1.83
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,Mixed,418806,191199,HavenPICK,bo3,,182,11,3,2,,,,,,3.67
nephh,BLG,https://www.vlr.gg/player/10698/nephh,Mixed,418806,191199,HavenPICK,bo3,,211,10,14,3,,,,,,0.71
Knight,BLG,https://www.vlr.gg/player/4774/knight,Mixed,418806,191199,HavenPICK,bo3,,124,5,13,5,,,,,,0.38
whzy,BLG,https://www.vlr.gg/player/4885/whzy,Mixed,418806,191199,HavenPICK,bo3,,107,5,14,2,,,,,,0.36
rushia,BLG,https://www.vlr.gg/player/48878/rushia,Mixed,418806,191199,HavenPICK,bo3,,107,6,13,4,,,,,,0.46
Levius,BLG,https://www.vlr.gg/player/40845/levius,Mixed,418806,191199,HavenPICK,bo3,,98,5,12,1,,,,,,0.42
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,Mixed,418807,191201,AscentPICK,bo3,,301,24,11,3,,,,,,2.18
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,Mixed,418807,191201,AscentPICK,bo3,,255,18,14,14,,,,,,1.29
nobody,EDG,https://www.vlr.gg/player/3017/nobody,Mixed,418807,191201,AscentPICK,bo3,,227,17,13,5,,,,,,1.31
S1Mon,EDG,https://www.vlr.gg/player/13768/s1mon,Mixed,418807,191201,AscentPICK,bo3,,148,12,10,9,,,,,,1.2
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,Mixed,418807,191201,AscentPICK,bo3,,128,9,14,5,,,,,,0.64
Akame,DFM,https://www.vlr.gg/player/13002/akame,Mixed,418807,191201,AscentPICK,bo3,,212,14,17,5,,,,,,0.82
Meiy,DFM,https://www.vlr.gg/player/6672/meiy,Mixed,418807,191201,AscentPICK,bo3,,206,16,13,0,,,,,,1.23
SSeeS,DFM,https://www.vlr.gg/player/21438/ssees,Mixed,418807,191201,AscentPICK,bo3,,174,13,16,4,,,,,,0.81
Jinboong,DFM,https://www.vlr.gg/player/4052/jinboong,Mixed,418807,191201,AscentPICK,bo3,,170,10,16,3,,,,,,0.62
Art,DFM,https://www.vlr.gg/player/10627/art,Mixed,418807,191201,AscentPICK,bo3,,159,9,18,7,,,,,,0.5
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,Mixed,418807,191202,SunsetPICK,bo3,,311,28,15,5,,,,,,1.87
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,Mixed,418807,191202,SunsetPICK,bo3,,210,16,20,3,,,,,,0.8
S1Mon,EDG,https://www.vlr.gg/player/13768/s1mon,Mixed,418807,191202,SunsetPICK,bo3,,186,15,16,5,,,,,,0.94
nobody,EDG,https://www.vlr.gg/player/3017/nobody,Mixed,418807,191202,SunsetPICK,bo3,,148,12,16,5,,,,,,0.75
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,Mixed,418807,191202,SunsetPICK,bo3,,120,7,18,7,,,,,,0.39
Akame,DFM,https://www.vlr.gg/player/13002/akame,Mixed,418807,191202,SunsetPICK,bo3,,296,25,14,8,,,,,,1.79
Meiy,DFM,https://www.vlr.gg/player/6672/meiy,Mixed,418807,191202,SunsetPICK,bo3,,255,21,15,5,,,,,,1.4
Jinboong,DFM,https://www.vlr.gg/player/4052/jinboong,Mixed,418807,191202,SunsetPICK,bo3,,226,17,16,7,,,,,,1.06
SSeeS,DFM,https://www.vlr.gg/player/21438/ssees,Mixed,418807,191202,SunsetPICK,bo3,,152,10,16,11,,,,,,0.62
Art,DFM,https://www.vlr.gg/player/10627/art,Mixed,418807,191202,SunsetPICK,bo3,,149,12,17,8,,,,,,0.71
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,Mixed,418807,191203,Abyss,bo3,,360,23,16,6,,,,,,1.44
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,Mixed,418807,191203,Abyss,bo3,,228,15,17,1,,,,,,0.88
S1Mon,EDG,https://www.vlr.gg/player/13768/s1mon,Mixed,418807,191203,Abyss,bo3,,151,8,17,9,,,,,,0.47
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,Mixed,418807,191203,Abyss,bo3,,126,9,15,3,,,,,,0.6
nobody,EDG,https://www.vlr.gg/player/3017/nobody,Mixed,418807,191203,Abyss,bo3,,117,7,15,3,,,,,,0.47
Meiy,DFM,https://www.vlr.gg/player/6672/meiy,Mixed,418807,191203,Abyss,bo3,,269,17,15,1,,,,,,1.13
Akame,DFM,https://www.vlr.gg/player/13002/akame,Mixed,418807,191203,Abyss,bo3,,259,17,13,9,,,,,,1.31
SSeeS,DFM,https://www.vlr.gg/player/21438/ssees,Mixed,418807,191203,Abyss,bo3,,235,18,10,7,,,,,,1.8
Art,DFM,https://www.vlr.gg/player/10627/art,Mixed,418807,191203,Abyss,bo3,,209,14,11,7,,,,,,1.27
Jinboong,DFM,https://www.vlr.gg/player/4052/jinboong,Mixed,418807,191203,Abyss,bo3,,207,14,13,4,,,,,,1.08
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Mixed,418808,191204,SunsetPICK,bo3,,195,14,14,6,,,,,,1.0
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Mixed,418808,191204,SunsetPICK,bo3,,187,13,19,2,,,,,,0.68
Karon,GEN,https://www.vlr.gg/player/34974/karon,Mixed,418808,191204,SunsetPICK,bo3,,158,12,16,6,,,,,,0.75
yoman,GEN,https://www.vlr.gg/player/25081/yoman,Mixed,418808,191204,SunsetPICK,bo3,,111,8,15,5,,,,,,0.53
Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,Mixed,418808,191204,SunsetPICK,bo3,,58,2,18,9,,,,,,0.11
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,418808,191204,SunsetPICK,bo3,,300,23,10,5,,,,,,2.3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,418808,191204,SunsetPICK,bo3,,216,16,7,12,,,,,,2.29
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,418808,191204,SunsetPICK,bo3,,198,15,11,5,,,,,,1.36
Athan,KRX,https://www.vlr.gg/player/34982/athan,Mixed,418808,191204,SunsetPICK,bo3,,186,14,12,16,,,,,,1.17
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,Mixed,418808,191204,SunsetPICK,bo3,,172,14,9,5,,,,,,1.56
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Mixed,418808,191205,AscentPICK,bo3,,264,24,12,3,,,,,,2.0
Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,Mixed,418808,191205,AscentPICK,bo3,,258,20,12,6,,,,,,1.67
Karon,GEN,https://www.vlr.gg/player/34974/karon,Mixed,418808,191205,AscentPICK,bo3,,256,20,12,9,,,,,,1.67
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Mixed,418808,191205,AscentPICK,bo3,,153,10,11,24,,,,,,0.91
yoman,GEN,https://www.vlr.gg/player/25081/yoman,Mixed,418808,191205,AscentPICK,bo3,,124,8,12,7,,,,,,0.67
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,418808,191205,AscentPICK,bo3,,229,17,15,7,,,,,,1.13
Athan,KRX,https://www.vlr.gg/player/34982/athan,Mixed,418808,191205,AscentPICK,bo3,,205,14,14,13,,,,,,1.0
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,418808,191205,AscentPICK,bo3,,188,13,19,3,,,,,,0.68
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,418808,191205,AscentPICK,bo3,,108,8,17,4,,,,,,0.47
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,Mixed,418808,191205,AscentPICK,bo3,,108,7,17,4,,,,,,0.41
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Mixed,418808,191206,Haven,bo3,,272,23,19,5,,,,,,1.21
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Mixed,418808,191206,Haven,bo3,,235,17,14,14,,,,,,1.21
Karon,GEN,https://www.vlr.gg/player/34974/karon,Mixed,418808,191206,Haven,bo3,,182,16,14,7,,,,,,1.14
Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,Mixed,418808,191206,Haven,bo3,,163,14,18,1,,,,,,0.78
yoman,GEN,https://www.vlr.gg/player/25081/yoman,Mixed,418808,191206,Haven,bo3,,121,9,18,9,,,,,,0.5
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,Mixed,418808,191206,Haven,bo3,,262,24,14,6,,,,,,1.71
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,418808,191206,Haven,bo3,,252,22,14,10,,,,,,1.57
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,418808,191206,Haven,bo3,,235,20,17,2,,,,,,1.18
Athan,KRX,https://www.vlr.gg/player/34982/athan,Mixed,418808,191206,Haven,bo3,,119,8,16,10,,,,,,0.5
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,418808,191206,Haven,bo3,,108,9,18,3,,,,,,0.5
Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,Mixed,418809,191207,HavenPICK,bo3,,315,27,13,3,,,,,,2.08
Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,Mixed,418809,191207,HavenPICK,bo3,,274,20,17,8,,,,,,1.18
Estrella,RRQ,https://www.vlr.gg/player/25025/estrella,Mixed,418809,191207,HavenPICK,bo3,,159,13,11,9,,,,,,1.18
Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,Mixed,418809,191207,HavenPICK,bo3,,141,12,12,3,,,,,,1.0
xffero,RRQ,https://www.vlr.gg/player/4871/xffero,Mixed,418809,191207,HavenPICK,bo3,,124,10,9,10,,,,,,1.11
Jinboong,DFM,https://www.vlr.gg/player/4052/jinboong,Mixed,418809,191207,HavenPICK,bo3,,209,18,15,2,,,,,,1.2
Meiy,DFM,https://www.vlr.gg/player/6672/meiy,Mixed,418809,191207,HavenPICK,bo3,,196,14,17,7,,,,,,0.82
Art,DFM,https://www.vlr.gg/player/10627/art,Mixed,418809,191207,HavenPICK,bo3,,147,9,19,4,,,,,,0.47
Akame,DFM,https://www.vlr.gg/player/13002/akame,Mixed,418809,191207,HavenPICK,bo3,,145,12,16,2,,,,,,0.75
SSeeS,DFM,https://www.vlr.gg/player/21438/ssees,Mixed,418809,191207,HavenPICK,bo3,,109,9,15,0,,,,,,0.6
Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,Mixed,418809,191208,PearlPICK,bo3,,224,14,15,4,,,,,,0.93
