Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,Mixed,425163,194105,PearlPICK,bo3,,261,20,19,5,,,,,,1.05
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,Mixed,425163,194105,PearlPICK,bo3,,243,17,17,7,,,,,,1.0
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,Mixed,425163,194105,PearlPICK,bo3,,168,12,17,5,,,,,,0.71
S1Mon,EDG,https://www.vlr.gg/player/13768/s1mon,Mixed,425163,194105,PearlPICK,bo3,,142,9,20,5,,,,,,0.45
nobody,EDG,https://www.vlr.gg/player/3017/nobody,Mixed,425163,194105,PearlPICK,bo3,,110,7,19,3,,,,,,0.37
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,Mixed,425163,194105,PearlPICK,bo3,,375,30,15,4,,,,,,2.0
YOU,XLG,https://www.vlr.gg/player/4710/you,Mixed,425163,194105,PearlPICK,bo3,,311,23,13,11,,,,,,1.77
happywei,XLG,https://www.vlr.gg/player/37927/happywei,Mixed,425163,194105,PearlPICK,bo3,,210,14,12,7,,,,,,1.17
ZiXuan,XLG,https://www.vlr.gg/player/4763/zixuan,Mixed,425163,194105,PearlPICK,bo3,,173,13,12,14,,,,,,1.08
MrCANI,XLG,https://www.vlr.gg/player/37674/mrcani,Mixed,425163,194105,PearlPICK,bo3,,147,12,13,17,,,,,,0.92
nobody,EDG,https://www.vlr.gg/player/3017/nobody,Mixed,425163,194106,AscentPICK,bo3,,214,21,23,4,,,,,,0.91
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,Mixed,425163,194106,AscentPICK,bo3,,207,19,19,3,,,,,,1.0
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,Mixed,425163,194106,AscentPICK,bo3,,202,20,23,5,,,,,,0.87
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,Mixed,425163,194106,AscentPICK,bo3,,191,20,20,5,,,,,,1.0
S1Mon,EDG,https://www.vlr.gg/player/13768/s1mon,Mixed,425163,194106,AscentPICK,bo3,,150,14,20,10,,,,,,0.7
happywei,XLG,https://www.vlr.gg/player/37927/happywei,Mixed,425163,194106,AscentPICK,bo3,,335,29,20,8,,,,,,1.45
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,Mixed,425163,194106,AscentPICK,bo3,,254,25,23,5,,,,,,1.09
YOU,XLG,https://www.vlr.gg/player/4710/you,Mixed,425163,194106,AscentPICK,bo3,,191,19,15,6,,,,,,1.27
MrCANI,XLG,https://www.vlr.gg/player/37674/mrcani,Mixed,425163,194106,AscentPICK,bo3,,187,20,18,9,,,,,,1.11
ZiXuan,XLG,https://www.vlr.gg/player/4763/zixuan,Mixed,425163,194106,AscentPICK,bo3,,142,12,18,19,,,,,,0.67
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Mixed,425164,194108,SplitPICK,bo3,,244,21,19,2,,,,,,1.11
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Mixed,425164,194108,SplitPICK,bo3,,216,19,20,8,,,,,,0.95
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Mixed,425164,194108,SplitPICK,bo3,,196,15,17,9,,,,,,0.88
something,PRX,https://www.vlr.gg/player/17086/something,Mixed,425164,194108,SplitPICK,bo3,,166,14,15,3,,,,,,0.93
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Mixed,425164,194108,SplitPICK,bo3,,127,10,17,8,,,,,,0.59
Spring,WOL,https://www.vlr.gg/player/14125/spring,Mixed,425164,194108,SplitPICK,bo3,,313,24,15,6,,,,,,1.6
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,Mixed,425164,194108,SplitPICK,bo3,,231,20,12,10,,,,,,1.67
Lysoar,WOL,https://www.vlr.gg/player/37489/lysoar,Mixed,425164,194108,SplitPICK,bo3,,216,16,19,10,,,,,,0.84
Yuicaw,WOL,https://www.vlr.gg/player/11218/yuicaw,Mixed,425164,194108,SplitPICK,bo3,,163,15,17,2,,,,,,0.88
Juicy,WOL,https://www.vlr.gg/player/7426/juicy,Mixed,425164,194108,SplitPICK,bo3,,148,13,16,11,,,,,,0.81
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Mixed,425164,194109,BindPICK,bo3,,271,22,11,8,,,,,,2.0
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Mixed,425164,194109,BindPICK,bo3,,267,20,11,17,,,,,,1.82
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Mixed,425164,194109,BindPICK,bo3,,209,16,13,6,,,,,,1.23
