Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Mixed,415852,189737,Ascent,bo1,1.52,316,23,15,16,85%,179,22%,1,1,1.53
yoman,GEN,https://www.vlr.gg/player/25081/yoman,Mixed,415852,189737,Ascent,bo1,1.19,173,14,10,6,85%,113,24%,1,0,1.4
Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,Mixed,415852,189737,Ascent,bo1,1.01,242,19,17,4,75%,156,39%,2,2,1.12
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Mixed,415852,189737,Ascent,bo1,0.96,243,18,16,3,65%,153,20%,5,2,1.12
Karon,GEN,https://www.vlr.gg/player/34974/karon,Mixed,415852,189737,Ascent,bo1,0.78,166,10,13,11,85%,102,22%,3,3,0.77
Life,FPX,https://www.vlr.gg/player/3028/life,Mixed,415852,189737,Ascent,bo1,1.54,334,23,18,6,90%,226,44%,3,2,1.28
Autumn,FPX,https://www.vlr.gg/player/872/autumn,Mixed,415852,189737,Ascent,bo1,1.20,202,15,14,3,65%,160,28%,0,2,1.07
ZiXuan,FPX,https://www.vlr.gg/player/4763/zixuan,Mixed,415852,189737,Ascent,bo1,0.71,158,10,17,12,60%,98,21%,1,2,0.59
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,Mixed,415852,189737,Ascent,bo1,0.68,192,13,18,9,70%,117,24%,2,3,0.72
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,Mixed,415852,189737,Ascent,bo1,0.62,156,10,17,7,75%,109,11%,2,3,0.59
Athan,KRX,https://www.vlr.gg/player/34982/athan,Mixed,415853,189738,Ascent,bo1,1.24,227,21,16,17,77%,154,29%,0,0,1.31
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,415853,189738,Ascent,bo1,1.22,197,18,14,2,77%,140,30%,3,3,1.29
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,415853,189738,Ascent,bo1,1.14,227,19,17,14,69%,140,28%,3,6,1.12
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,415853,189738,Ascent,bo1,0.79,185,18,21,1,58%,116,56%,4,3,0.86
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,Mixed,415853,189738,Ascent,bo1,0.68,133,12,20,5,62%,90,40%,0,4,0.6
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,Mixed,415853,189738,Ascent,bo1,1.24,211,19,16,16,85%,134,54%,3,0,1.19
Life,FPX,https://www.vlr.gg/player/3028/life,Mixed,415853,189738,Ascent,bo1,1.21,289,27,20,3,73%,172,34%,7,4,1.35
ZiXuan,FPX,https://www.vlr.gg/player/4763/zixuan,Mixed,415853,189738,Ascent,bo1,1.12,207,18,17,14,88%,147,34%,4,2,1.06
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,Mixed,415853,189738,Ascent,bo1,0.72,139,12,18,7,58%,98,14%,2,1,0.67
Autumn,FPX,https://www.vlr.gg/player/872/autumn,Mixed,415853,189738,Ascent,bo1,0.71,128,12,17,5,69%,93,25%,0,3,0.71
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,415854,189739,Haven,bo1,1.32,286,21,17,4,81%,173,31%,6,4,1.24
Athan,KRX,https://www.vlr.gg/player/34982/athan,Mixed,415854,189739,Haven,bo1,1.12,187,15,14,10,76%,122,27%,0,1,1.07
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,415854,189739,Haven,bo1,0.78,180,12,17,10,76%,115,33%,2,2,0.71
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,Mixed,415854,189739,Haven,bo1,0.72,172,11,17,7,71%,140,23%,0,0,0.65
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,415854,189739,Haven,bo1,0.68,144,12,16,6,67%,93,33%,1,5,0.75
JitBoyS,TLN,https://www.vlr.gg/player/13788/jitboys,Mixed,415854,189739,Haven,bo1,1.48,214,18,11,7,86%,135,42%,1,1,1.64
Governor,TLN,https://www.vlr.gg/player/3980/governor,Mixed,415854,189739,Haven,bo1,1.19,221,15,14,7,76%,147,38%,4,0,1.07
Crws,TLN,https://www.vlr.gg/player/3977/crws,Mixed,415854,189739,Haven,bo1,1.15,258,19,15,6,76%,177,40%,1,4,1.27
ban,TLN,https://www.vlr.gg/player/5129/ban,Mixed,415854,189739,Haven,bo1,0.95,211,16,15,5,71%,134,27%,3,1,1.07
primmie,TLN,https://www.vlr.gg/player/25255/primmie,Mixed,415854,189739,Haven,bo1,0.73,167,13,16,1,67%,107,34%,3,3,0.81
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Mixed,415855,189740,Bind,bo1,1.46,277,22,12,4,81%,175,25%,4,2,1.83
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Mixed,415855,189740,Bind,bo1,1.25,219,19,13,0,81%,151,25%,2,2,1.46
Karon,GEN,https://www.vlr.gg/player/34974/karon,Mixed,415855,189740,Bind,bo1,1.10,170,12,12,9,81%,130,29%,1,0,1.0
