Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Xlele,TE,https://www.vlr.gg/player/54487/xlele,Mixed,481653,215076,HavenPICK,bo3,,289,19,16,13,,,,,,1.19
Kai,TE,https://www.vlr.gg/player/37494/kai,Mixed,481653,215076,HavenPICK,bo3,,203,12,17,3,,,,,,0.71
FengF,TE,https://www.vlr.gg/player/4770/fengf,Mixed,481653,215076,HavenPICK,bo3,,201,15,17,4,,,,,,0.88
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,Mixed,481653,215076,HavenPICK,bo3,,193,14,16,6,,,,,,0.88
Midi,TE,https://www.vlr.gg/player/37017/midi,Mixed,481653,215076,HavenPICK,bo3,,128,8,17,6,,,,,,0.47
TenTen,ZETA,https://www.vlr.gg/player/29839/tenten,Mixed,481653,215076,HavenPICK,bo3,,253,19,15,5,,,,,,1.27
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Mixed,481653,215076,HavenPICK,bo3,,249,18,16,13,,,,,,1.12
CLZ,ZETA,https://www.vlr.gg/player/2615/clz,Mixed,481653,215076,HavenPICK,bo3,,242,19,9,8,,,,,,2.11
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Mixed,481653,215076,HavenPICK,bo3,,226,16,12,7,,,,,,1.33
Dep,ZETA,https://www.vlr.gg/player/424/dep,Mixed,481653,215076,HavenPICK,bo3,,162,11,16,8,,,,,,0.69
Midi,TE,https://www.vlr.gg/player/37017/midi,Mixed,481653,215077,LotusPICK,bo3,,247,21,17,4,,,,,,1.24
FengF,TE,https://www.vlr.gg/player/4770/fengf,Mixed,481653,215077,LotusPICK,bo3,,219,18,14,6,,,,,,1.29
Xlele,TE,https://www.vlr.gg/player/54487/xlele,Mixed,481653,215077,LotusPICK,bo3,,193,16,13,6,,,,,,1.23
Kai,TE,https://www.vlr.gg/player/37494/kai,Mixed,481653,215077,LotusPICK,bo3,,189,12,18,5,,,,,,0.67
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,Mixed,481653,215077,LotusPICK,bo3,,172,14,15,4,,,,,,0.93
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Mixed,481653,215077,LotusPICK,bo3,,227,17,16,7,,,,,,1.06
TenTen,ZETA,https://www.vlr.gg/player/29839/tenten,Mixed,481653,215077,LotusPICK,bo3,,222,17,16,4,,,,,,1.06
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Mixed,481653,215077,LotusPICK,bo3,,210,18,17,7,,,,,,1.06
Dep,ZETA,https://www.vlr.gg/player/424/dep,Mixed,481653,215077,LotusPICK,bo3,,197,15,16,5,,,,,,0.94
CLZ,ZETA,https://www.vlr.gg/player/2615/clz,Mixed,481653,215077,LotusPICK,bo3,,158,10,16,9,,,,,,0.62
Kai,TE,https://www.vlr.gg/player/37494/kai,Mixed,481653,215078,Ascent,bo3,,273,18,11,6,,,,,,1.64
FengF,TE,https://www.vlr.gg/player/4770/fengf,Mixed,481653,215078,Ascent,bo3,,268,19,10,1,,,,,,1.9
Midi,TE,https://www.vlr.gg/player/37017/midi,Mixed,481653,215078,Ascent,bo3,,243,18,9,5,,,,,,2.0
Xlele,TE,https://www.vlr.gg/player/54487/xlele,Mixed,481653,215078,Ascent,bo3,,202,13,10,5,,,,,,1.3
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,Mixed,481653,215078,Ascent,bo3,,179,12,10,8,,,,,,1.2
TenTen,ZETA,https://www.vlr.gg/player/29839/tenten,Mixed,481653,215078,Ascent,bo3,,316,20,15,2,,,,,,1.33
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Mixed,481653,215078,Ascent,bo3,,173,11,16,9,,,,,,0.69
CLZ,ZETA,https://www.vlr.gg/player/2615/clz,Mixed,481653,215078,Ascent,bo3,,141,6,16,4,,,,,,0.38
Dep,ZETA,https://www.vlr.gg/player/424/dep,Mixed,481653,215078,Ascent,bo3,,132,8,16,3,,,,,,0.5
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Mixed,481653,215078,Ascent,bo3,,97,5,17,5,,,,,,0.29
Knight,BLG,https://www.vlr.gg/player/4774/knight,Mixed,481654,215079,HavenPICK,bo3,,237,10,14,5,,,,,,0.71
rushia,BLG,https://www.vlr.gg/player/48878/rushia,Mixed,481654,215079,HavenPICK,bo3,,174,7,13,3,,,,,,0.54
whzy,BLG,https://www.vlr.gg/player/4885/whzy,Mixed,481654,215079,HavenPICK,bo3,,160,8,14,2,,,,,,0.57
nephh,BLG,https://www.vlr.gg/player/10698/nephh,Mixed,481654,215079,HavenPICK,bo3,,144,7,14,6,,,,,,0.5
Levius,BLG,https://www.vlr.gg/player/40845/levius,Mixed,481654,215079,HavenPICK,bo3,,82,3,13,4,,,,,,0.23
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,481654,215079,HavenPICK,bo3,,345,16,10,11,,,,,,1.6
Estrella,KRX,https://www.vlr.gg/player/25025/estrella,Mixed,481654,215079,HavenPICK,bo3,,261,16,7,9,,,,,,2.29
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,481654,215079,HavenPICK,bo3,,233,12,7,1,,,,,,1.71
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Mixed,481654,215079,HavenPICK,bo3,,215,12,6,3,,,,,,2.0
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,481654,215079,HavenPICK,bo3,,214,12,5,8,,,,,,2.4
whzy,BLG,https://www.vlr.gg/player/4885/whzy,Mixed,481654,215080,IceboxPICK,bo3,,256,22,20,5,,,,,,1.1
nephh,BLG,https://www.vlr.gg/player/10698/nephh,Mixed,481654,215080,IceboxPICK,bo3,,226,23,15,7,,,,,,1.53
Knight,BLG,https://www.vlr.gg/player/4774/knight,Mixed,481654,215080,IceboxPICK,bo3,,184,15,21,10,,,,,,0.71
Levius,BLG,https://www.vlr.gg/player/40845/levius,Mixed,481654,215080,IceboxPICK,bo3,,176,15,19,9,,,,,,0.79
rushia,BLG,https://www.vlr.gg/player/48878/rushia,Mixed,481654,215080,IceboxPICK,bo3,,141,14,17,10,,,,,,0.82
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Mixed,481654,215080,IceboxPICK,bo3,,231,23,15,3,,,,,,1.53
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,481654,215080,IceboxPICK,bo3,,220,19,17,13,,,,,,1.12
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,481654,215080,IceboxPICK,bo3,,215,19,20,10,,,,,,0.95
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,481654,215080,IceboxPICK,bo3,,207,20,19,2,,,,,,1.05
Estrella,KRX,https://www.vlr.gg/player/25025/estrella,Mixed,481654,215080,IceboxPICK,bo3,,139,11,18,15,,,,,,0.61
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,Mixed,481651,215068,IceboxPICK,bo3,,240,23,19,5,,,,,,1.21
MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,Mixed,481651,215068,IceboxPICK,bo3,,231,24,20,6,,,,,,1.2
YOU,XLG,https://www.vlr.gg/player/4710/you,Mixed,481651,215068,IceboxPICK,bo3,,194,18,20,5,,,,,,0.9
coconut,XLG,https://www.vlr.gg/player/12365/coconut,Mixed,481651,215068,IceboxPICK,bo3,,147,16,17,6,,,,,,0.94
Viva,XLG,https://www.vlr.gg/player/36415/viva,Mixed,481651,215068,IceboxPICK,bo3,,139,13,20,16,,,,,,0.65
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Mixed,481651,215068,IceboxPICK,bo3,,287,27,19,10,,,,,,1.42
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Mixed,481651,215068,IceboxPICK,bo3,,257,27,17,7,,,,,,1.59
something,PRX,https://www.vlr.gg/player/17086/something,Mixed,481651,215068,IceboxPICK,bo3,,220,22,21,2,,,,,,1.05
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Mixed,481651,215068,IceboxPICK,bo3,,161,15,19,10,,,,,,0.79
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Mixed,481651,215068,IceboxPICK,bo3,,70,5,18,6,,,,,,0.28
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,Mixed,481651,215069,LotusPICK,bo3,,,,,,,,,,,
MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,Mixed,481651,215069,LotusPICK,bo3,,,,,,,,,,,
YOU,XLG,https://www.vlr.gg/player/4710/you,Mixed,481651,215069,LotusPICK,bo3,,,,,,,,,,,
coconut,XLG,https://www.vlr.gg/player/12365/coconut,Mixed,481651,215069,LotusPICK,bo3,,,,,,,,,,,
Viva,XLG,https://www.vlr.gg/player/36415/viva,Mixed,481651,215069,LotusPICK,bo3,,,,,,,,,,,
