Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,542195,233397,BindPICK,bo1,1.63,258,21,12,12,1.75,91%,167,15%,4,0
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,542195,233397,BindPICK,bo1,1.52,315,24,14,7,1.71,82%,207,18%,5,2
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,542195,233397,BindPICK,bo1,1.17,217,18,13,13,1.38,77%,150,36%,2,5
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,542195,233397,BindPICK,bo1,0.94,176,14,14,5,1.0,82%,129,21%,1,1
PatMen,PRX,https://www.vlr.gg/player/13744/patmen,Pacific,542195,233397,BindPICK,bo1,0.88,161,12,13,5,0.92,68%,110,34%,0,2
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,542195,233397,BindPICK,bo1,0.98,183,14,16,3,0.88,64%,130,24%,3,1
Viva,XLG,https://www.vlr.gg/player/36415/viva,CN,542195,233397,BindPICK,bo1,0.92,178,14,16,5,0.88,55%,112,41%,0,3
NoMan,XLG,https://www.vlr.gg/player/11527/noman,CN,542195,233397,BindPICK,bo1,0.84,221,17,20,1,0.85,64%,139,35%,3,1
coconut,XLG,https://www.vlr.gg/player/12365/coconut,CN,542195,233397,BindPICK,bo1,0.57,169,13,19,3,0.68,59%,100,38%,3,3
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,542195,233397,BindPICK,bo1,0.49,118,8,18,7,0.44,50%,85,25%,1,4
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,542195,233398,SunsetPICK,bo1,1.59,319,23,12,4,1.92,78%,183,39%,4,2
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,542195,233398,SunsetPICK,bo1,1.57,308,19,11,9,1.73,83%,212,26%,2,1
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,542195,233398,SunsetPICK,bo1,1.08,257,15,13,5,1.15,72%,153,14%,1,3
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,542195,233398,SunsetPICK,bo1,0.87,139,11,11,7,1.0,61%,81,22%,1,2
PatMen,PRX,https://www.vlr.gg/player/13744/patmen,Pacific,542195,233398,SunsetPICK,bo1,0.39,95,6,13,2,0.46,61%,64,38%,2,0
NoMan,XLG,https://www.vlr.gg/player/11527/noman,CN,542195,233398,SunsetPICK,bo1,1.31,285,18,14,4,1.29,78%,184,33%,3,3
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,542195,233398,SunsetPICK,bo1,0.97,212,13,14,6,0.93,61%,168,45%,2,4
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,542195,233398,SunsetPICK,bo1,0.94,202,13,16,6,0.81,72%,118,31%,2,2
coconut,XLG,https://www.vlr.gg/player/12365/coconut,CN,542195,233398,SunsetPICK,bo1,0.70,161,10,16,9,0.62,72%,103,35%,1,1
Viva,XLG,https://www.vlr.gg/player/36415/viva,CN,542195,233398,SunsetPICK,bo1,0.50,106,6,14,6,0.43,61%,77,28%,0,0
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,542196,233400,CorrodePICK,bo1,0.85,166,10,12,1,0.83,58%,100,36%,1,3
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,542196,233400,CorrodePICK,bo1,0.78,149,9,14,4,0.64,58%,99,19%,2,3
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,542196,233400,CorrodePICK,bo1,0.74,162,10,16,0,0.62,37%,99,50%,2,0
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,542196,233400,CorrodePICK,bo1,0.61,106,7,13,4,0.54,63%,67,24%,1,3
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,542196,233400,CorrodePICK,bo1,0.55,126,8,16,2,0.5,47%,91,30%,2,2
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Americas,542196,233400,CorrodePICK,bo1,1.58,238,15,8,15,1.88,79%,143,32%,1,1
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Americas,542196,233400,CorrodePICK,bo1,1.32,188,13,7,6,1.86,84%,106,33%,2,1
bang,SEN,https://www.vlr.gg/player/3880/bang,Americas,542196,233400,CorrodePICK,bo1,1.27,177,14,8,8,1.75,84%,97,30%,3,2
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,542196,233400,CorrodePICK,bo1,1.18,305,20,13,9,1.54,74%,186,32%,4,4
Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,Americas,542196,233400,CorrodePICK,bo1,0.96,125,9,8,5,1.12,84%,76,16%,1,0
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,542196,233401,SunsetPICK,bo1,2.05,362,23,9,5,2.56,94%,224,33%,4,0
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,542196,233401,SunsetPICK,bo1,1.42,235,15,8,4,1.88,76%,163,53%,1,1
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,542196,233401,SunsetPICK,bo1,1.31,207,13,8,11,1.62,94%,137,31%,0,1
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,542196,233401,SunsetPICK,bo1,0.85,161,11,11,3,1.0,71%,101,30%,2,4
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,542196,233401,SunsetPICK,bo1,0.84,198,11,12,11,0.92,88%,124,19%,4,0
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Americas,542196,233401,SunsetPICK,bo1,1.37,245,16,14,6,1.14,76%,139,30%,1,0
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Americas,542196,233401,SunsetPICK,bo1,1.08,212,12,13,7,0.92,82%,131,21%,2,2
Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,Americas,542196,233401,SunsetPICK,bo1,0.53,125,7,15,6,0.47,59%,88,17%,1,2
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,542196,233401,SunsetPICK,bo1,0.42,146,8,16,2,0.5,53%,112,18%,1,5
bang,SEN,https://www.vlr.gg/player/3880/bang,Americas,542196,233401,SunsetPICK,bo1,0.26,82,5,15,4,0.33,41%,54,31%,1,2
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,542196,233402,Haven,bo1,1.28,250,19,13,6,1.46,64%,158,23%,0,2
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,542196,233402,Haven,bo1,1.13,286,22,17,4,1.29,91%,184,32%,10,2
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,542196,233402,Haven,bo1,1.04,164,12,11,12,1.09,95%,115,24%,0,1
