Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,CN,485370,216244,Sunset,bo3,,210,14,16,11,,,,,,0.88
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,485370,216244,Sunset,bo3,,189,13,16,7,,,,,,0.81
Autumn,FPX,https://www.vlr.gg/player/872/autumn,CN,485370,216244,Sunset,bo3,,184,14,17,7,,,,,,0.82
yosemite,FPX,https://www.vlr.gg/player/6022/yosemite,CN,485370,216244,Sunset,bo3,,166,14,17,7,,,,,,0.82
Life,FPX,https://www.vlr.gg/player/3028/life,CN,485370,216244,Sunset,bo3,,165,13,15,5,,,,,,0.87
Spitfires,AG,https://www.vlr.gg/player/4881/spitfires,CN,485370,216244,Sunset,bo3,,372,30,14,3,,,,,,2.14
deLb,AG,https://www.vlr.gg/player/10821/delb,CN,485370,216244,Sunset,bo3,,203,17,12,4,,,,,,1.42
XiYiJi,AG,https://www.vlr.gg/player/37020/xiyiji,CN,485370,216244,Sunset,bo3,,154,12,14,8,,,,,,0.86
K1ra,AG,https://www.vlr.gg/player/46748/k1ra,CN,485370,216244,Sunset,bo3,,144,11,14,6,,,,,,0.79
player,AG,https://www.vlr.gg/player/46749/player,CN,485370,216244,Sunset,bo3,,128,11,14,3,,,,,,0.79
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,485370,216245,Haven,bo3,,278,18,10,5,,,,,,1.8
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,CN,485370,216245,Haven,bo3,,252,17,11,7,,,,,,1.55
Life,FPX,https://www.vlr.gg/player/3028/life,CN,485370,216245,Haven,bo3,,246,16,10,2,,,,,,1.6
yosemite,FPX,https://www.vlr.gg/player/6022/yosemite,CN,485370,216245,Haven,bo3,,184,12,8,7,,,,,,1.5
Autumn,FPX,https://www.vlr.gg/player/872/autumn,CN,485370,216245,Haven,bo3,,174,11,9,3,,,,,,1.22
Spitfires,AG,https://www.vlr.gg/player/4881/spitfires,CN,485370,216245,Haven,bo3,,230,14,16,3,,,,,,0.88
deLb,AG,https://www.vlr.gg/player/10821/delb,CN,485370,216245,Haven,bo3,,212,13,14,5,,,,,,0.93
K1ra,AG,https://www.vlr.gg/player/46748/k1ra,CN,485370,216245,Haven,bo3,,147,9,15,4,,,,,,0.6
XiYiJi,AG,https://www.vlr.gg/player/37020/xiyiji,CN,485370,216245,Haven,bo3,,144,8,14,0,,,,,,0.57
player,AG,https://www.vlr.gg/player/46749/player,CN,485370,216245,Haven,bo3,,64,4,15,3,,,,,,0.27
yosemite,FPX,https://www.vlr.gg/player/6022/yosemite,CN,485370,216246,Split,bo3,,402,22,5,2,,,,,,4.4
Autumn,FPX,https://www.vlr.gg/player/872/autumn,CN,485370,216246,Split,bo3,,257,14,7,3,,,,,,2.0
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,CN,485370,216246,Split,bo3,,191,9,6,6,,,,,,1.5
Life,FPX,https://www.vlr.gg/player/3028/life,CN,485370,216246,Split,bo3,,186,9,7,2,,,,,,1.29
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,485370,216246,Split,bo3,,137,8,4,0,,,,,,2.0
Spitfires,AG,https://www.vlr.gg/player/4881/spitfires,CN,485370,216246,Split,bo3,,222,10,14,1,,,,,,0.71
K1ra,AG,https://www.vlr.gg/player/46748/k1ra,CN,485370,216246,Split,bo3,,183,8,11,2,,,,,,0.73
player,AG,https://www.vlr.gg/player/46749/player,CN,485370,216246,Split,bo3,,130,6,13,1,,,,,,0.46
deLb,AG,https://www.vlr.gg/player/10821/delb,CN,485370,216246,Split,bo3,,77,4,12,1,,,,,,0.33
XiYiJi,AG,https://www.vlr.gg/player/37020/xiyiji,CN,485370,216246,Split,bo3,,39,1,12,1,,,,,,0.08
o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,CN,485371,216247,Sunset,bo3,,269,16,8,9,,,,,,2.0
SWERL,NOVA,https://www.vlr.gg/player/1209/swerl,CN,485371,216247,Sunset,bo3,,269,15,9,2,,,,,,1.67
cb,NOVA,https://www.vlr.gg/player/39697/cb,CN,485371,216247,Sunset,bo3,,259,14,8,4,,,,,,1.75
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,485371,216247,Sunset,bo3,,249,13,8,9,,,,,,1.62
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,485371,216247,Sunset,bo3,,162,9,8,1,,,,,,1.12
MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,CN,485371,216247,Sunset,bo3,,311,16,13,2,,,,,,1.23
xRAN,XLG,https://www.vlr.gg/player/54492/xran,CN,485371,216247,Sunset,bo3,,229,9,12,4,,,,,,0.75
Arty,XLG,https://www.vlr.gg/player/4343/arty,CN,485371,216247,Sunset,bo3,,166,8,14,5,,,,,,0.57
hvoya,XLG,https://www.vlr.gg/player/1348/hvoya,CN,485371,216247,Sunset,bo3,,112,5,14,2,,,,,,0.36
Mentality,XLG,https://www.vlr.gg/player/54491/mentality,CN,485371,216247,Sunset,bo3,,58,3,14,1,,,,,,0.21
cb,NOVA,https://www.vlr.gg/player/39697/cb,CN,485371,216248,Lotus,bo3,,219,18,18,7,,,,,,1.0
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,485371,216248,Lotus,bo3,,209,16,18,7,,,,,,0.89
SWERL,NOVA,https://www.vlr.gg/player/1209/swerl,CN,485371,216248,Lotus,bo3,,186,13,20,6,,,,,,0.65
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,485371,216248,Lotus,bo3,,169,14,17,5,,,,,,0.82
o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,CN,485371,216248,Lotus,bo3,,140,12,19,8,,,,,,0.63
MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,CN,485371,216248,Lotus,bo3,,373,30,14,7,,,,,,2.14
Mentality,XLG,https://www.vlr.gg/player/54491/mentality,CN,485371,216248,Lotus,bo3,,237,22,13,3,,,,,,1.69
hvoya,XLG,https://www.vlr.gg/player/1348/hvoya,CN,485371,216248,Lotus,bo3,,219,17,14,8,,,,,,1.21
xRAN,XLG,https://www.vlr.gg/player/54492/xran,CN,485371,216248,Lotus,bo3,,171,13,16,5,,,,,,0.81
Arty,XLG,https://www.vlr.gg/player/4343/arty,CN,485371,216248,Lotus,bo3,,111,10,16,12,,,,,,0.62
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,485371,216249,Haven,bo3,,305,22,10,1,,,,,,2.2
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,485371,216249,Haven,bo3,,298,17,11,9,,,,,,1.55
SWERL,NOVA,https://www.vlr.gg/player/1209/swerl,CN,485371,216249,Haven,bo3,,267,16,12,9,,,,,,1.33
cb,NOVA,https://www.vlr.gg/player/39697/cb,CN,485371,216249,Haven,bo3,,116,6,11,8,,,,,,0.55
o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,CN,485371,216249,Haven,bo3,,87,6,9,3,,,,,,0.67
MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,CN,485371,216249,Haven,bo3,,241,15,12,5,,,,,,1.25
Mentality,XLG,https://www.vlr.gg/player/54491/mentality,CN,485371,216249,Haven,bo3,,184,11,11,6,,,,,,1.0
xRAN,XLG,https://www.vlr.gg/player/54492/xran,CN,485371,216249,Haven,bo3,,167,11,15,4,,,,,,0.73
hvoya,XLG,https://www.vlr.gg/player/1348/hvoya,CN,485371,216249,Haven,bo3,,147,10,14,3,,,,,,0.71
Arty,XLG,https://www.vlr.gg/player/4343/arty,CN,485371,216249,Haven,bo3,,97,6,15,3,,,,,,0.4
Abo,TEC,https://www.vlr.gg/player/5011/abo,CN,485372,216250,Haven,bo3,,386,22,9,2,,,,,,2.44
Coco,TEC,https://www.vlr.gg/player/47629/coco,CN,485372,216250,Haven,bo3,,317,18,6,8,,,,,,3.0
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,485372,216250,Haven,bo3,,215,12,7,12,,,,,,1.71
lucas,TEC,https://www.vlr.gg/player/19677/lucas,CN,485372,216250,Haven,bo3,,177,9,8,5,,,,,,1.12
TvirusLuke,TEC,https://www.vlr.gg/player/7841/tvirusluke,CN,485372,216250,Haven,bo3,,102,7,11,2,,,,,,0.64
YuChEn,BLG,https://www.vlr.gg/player/4723/yuchen,CN,485372,216250,Haven,bo3,,327,16,12,2,,,,,,1.33
Rain,BLG,https://www.vlr.gg/player/53129/rain,CN,485372,216250,Haven,bo3,,175,8,14,0,,,,,,0.57
XiaoJue,BLG,https://www.vlr.gg/player/54488/xiaojue,CN,485372,216250,Haven,bo3,,135,8,14,1,,,,,,0.57
DC,BLG,https://www.vlr.gg/player/34158/dc,CN,485372,216250,Haven,bo3,,123,5,15,7,,,,,,0.33
akite,BLG,https://www.vlr.gg/player/54489/akite,CN,485372,216250,Haven,bo3,,81,4,13,1,,,,,,0.31
TvirusLuke,TEC,https://www.vlr.gg/player/7841/tvirusluke,CN,485372,216251,IceboxPICK,bo3,,405,26,9,6,,,,,,2.89
lucas,TEC,https://www.vlr.gg/player/19677/lucas,CN,485372,216251,IceboxPICK,bo3,,378,27,6,6,,,,,,4.5
Abo,TEC,https://www.vlr.gg/player/5011/abo,CN,485372,216251,IceboxPICK,bo3,,159,10,9,10,,,,,,1.11
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,485372,216251,IceboxPICK,bo3,,155,8,10,7,,,,,,0.8
Coco,TEC,https://www.vlr.gg/player/47629/coco,CN,485372,216251,IceboxPICK,bo3,,145,7,10,18,,,,,,0.7
akite,BLG,https://www.vlr.gg/player/54489/akite,CN,485372,216251,IceboxPICK,bo3,,234,15,15,3,,,,,,1.0
Rain,BLG,https://www.vlr.gg/player/53129/rain,CN,485372,216251,IceboxPICK,bo3,,157,9,15,4,,,,,,0.6
XiaoJue,BLG,https://www.vlr.gg/player/54488/xiaojue,CN,485372,216251,IceboxPICK,bo3,,143,8,16,2,,,,,,0.5
DC,BLG,https://www.vlr.gg/player/34158/dc,CN,485372,216251,IceboxPICK,bo3,,137,8,16,0,,,,,,0.5
YuChEn,BLG,https://www.vlr.gg/player/4723/yuchen,CN,485372,216251,IceboxPICK,bo3,,103,4,16,3,,,,,,0.25
jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,CN,485373,216253,SunsetPICK,bo3,,218,15,16,11,,,,,,0.94
Babyblue,JDG,https://www.vlr.gg/player/15302/babyblue,CN,485373,216253,SunsetPICK,bo3,,187,13,17,5,,,,,,0.76
riya,JDG,https://www.vlr.gg/player/37421/riya,CN,485373,216253,SunsetPICK,bo3,,164,12,17,1,,,,,,0.71
