Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
heybay,NOVA,https://www.vlr.gg/player/4712/heybay,CN,582531,240467,SplitPICK,bo3,,290,17,9,11,,,,,,1.89
GREEN,NOVA,https://www.vlr.gg/player/34181/green,CN,582531,240467,SplitPICK,bo3,,263,16,11,6,,,,,,1.45
OBONE,NOVA,https://www.vlr.gg/player/36670/obone,CN,582531,240467,SplitPICK,bo3,,244,16,6,9,,,,,,2.67
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,582531,240467,SplitPICK,bo3,,226,13,10,5,,,,,,1.3
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,582531,240467,SplitPICK,bo3,,205,11,10,6,,,,,,1.1
ggd,EDG,https://www.vlr.gg/player/59798/ggd,CN,582531,240467,SplitPICK,bo3,,225,12,15,2,,,,,,0.8
Moonlight,EDG,https://www.vlr.gg/player/59797/moonlight,CN,582531,240467,SplitPICK,bo3,,201,11,14,6,,,,,,0.79
YoungX,EDG,https://www.vlr.gg/player/59796/youngx,CN,582531,240467,SplitPICK,bo3,,186,11,14,1,,,,,,0.79
P1n,EDG,https://www.vlr.gg/player/34180/p1n,CN,582531,240467,SplitPICK,bo3,,152,7,15,2,,,,,,0.47
AnJing,EDG,https://www.vlr.gg/player/56277/anjing,CN,582531,240467,SplitPICK,bo3,,92,5,15,2,,,,,,0.33
GREEN,NOVA,https://www.vlr.gg/player/34181/green,CN,582531,240468,SunsetPICK,bo3,,320,27,14,4,,,,,,1.93
OBONE,NOVA,https://www.vlr.gg/player/36670/obone,CN,582531,240468,SunsetPICK,bo3,,246,18,15,12,,,,,,1.2
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,582531,240468,SunsetPICK,bo3,,197,15,17,9,,,,,,0.88
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,582531,240468,SunsetPICK,bo3,,174,12,19,5,,,,,,0.63
heybay,NOVA,https://www.vlr.gg/player/4712/heybay,CN,582531,240468,SunsetPICK,bo3,,103,8,15,3,,,,,,0.53
P1n,EDG,https://www.vlr.gg/player/34180/p1n,CN,582531,240468,SunsetPICK,bo3,,241,17,17,8,,,,,,1.0
ggd,EDG,https://www.vlr.gg/player/59798/ggd,CN,582531,240468,SunsetPICK,bo3,,241,18,15,4,,,,,,1.2
YoungX,EDG,https://www.vlr.gg/player/59796/youngx,CN,582531,240468,SunsetPICK,bo3,,230,19,15,6,,,,,,1.27
Moonlight,EDG,https://www.vlr.gg/player/59797/moonlight,CN,582531,240468,SunsetPICK,bo3,,185,15,17,11,,,,,,0.88
AnJing,EDG,https://www.vlr.gg/player/56277/anjing,CN,582531,240468,SunsetPICK,bo3,,146,11,16,8,,,,,,0.69
OBONE,NOVA,https://www.vlr.gg/player/36670/obone,CN,582531,240469,Haven,bo3,,269,17,8,8,,,,,,2.12
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,582531,240469,Haven,bo3,,245,19,8,3,,,,,,2.38
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,582531,240469,Haven,bo3,,231,13,15,6,,,,,,0.87
GREEN,NOVA,https://www.vlr.gg/player/34181/green,CN,582531,240469,Haven,bo3,,203,13,9,5,,,,,,1.44
heybay,NOVA,https://www.vlr.gg/player/4712/heybay,CN,582531,240469,Haven,bo3,,165,9,8,7,,,,,,1.12
Moonlight,EDG,https://www.vlr.gg/player/59797/moonlight,CN,582531,240469,Haven,bo3,,254,16,15,2,,,,,,1.07
YoungX,EDG,https://www.vlr.gg/player/59796/youngx,CN,582531,240469,Haven,bo3,,214,11,14,7,,,,,,0.79
