Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Mixed,510127,224966,Lotus,bo1,1.23,271,29,22,9,73%,180,19%,6,0,1.32
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Mixed,510127,224966,Lotus,bo1,1.14,202,22,20,13,83%,144,24%,2,5,1.1
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Mixed,510127,224966,Lotus,bo1,1.08,225,23,22,8,83%,148,17%,2,3,1.05
something,PRX,https://www.vlr.gg/player/17086/something,Mixed,510127,224966,Lotus,bo1,1.07,215,23,21,10,83%,143,29%,7,2,1.1
PatMen,PRX,https://www.vlr.gg/player/13744/patmen,Mixed,510127,224966,Lotus,bo1,0.63,120,13,22,9,67%,74,28%,1,2,0.59
whzy,BLG,https://www.vlr.gg/player/4885/whzy,Mixed,510127,224966,Lotus,bo1,1.25,290,31,21,3,73%,185,26%,2,5,1.48
rushia,BLG,https://www.vlr.gg/player/48878/rushia,Mixed,510127,224966,Lotus,bo1,1.04,234,23,23,10,70%,145,20%,6,2,1.0
Knight,BLG,https://www.vlr.gg/player/4774/knight,Mixed,510127,224966,Lotus,bo1,0.91,186,19,22,10,83%,119,23%,3,3,0.86
nephh,BLG,https://www.vlr.gg/player/10698/nephh,Mixed,510127,224966,Lotus,bo1,0.90,143,17,20,9,73%,82,18%,1,7,0.85
Levius,BLG,https://www.vlr.gg/player/40845/levius,Mixed,510127,224966,Lotus,bo1,0.72,158,17,24,10,83%,104,21%,0,1,0.71
JonahP,G2,https://www.vlr.gg/player/4581/jonahp,Mixed,510128,224969,Sunset,bo1,0.92,231,15,16,2,58%,163,26%,4,6,0.94
jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,Mixed,510128,224969,Sunset,bo1,0.80,219,13,17,4,63%,157,21%,1,2,0.76
shhhack,G2,https://www.vlr.gg/player/6899/shhhack,Mixed,510128,224969,Sunset,bo1,0.68,159,11,16,4,58%,100,26%,0,2,0.69
valyn,G2,https://www.vlr.gg/player/3885/valyn,Mixed,510128,224969,Sunset,bo1,0.67,142,8,15,4,58%,97,13%,2,1,0.53
trent,G2,https://www.vlr.gg/player/15500/trent,Mixed,510128,224969,Sunset,bo1,0.61,107,5,15,10,53%,81,36%,0,1,0.33
saadhak,KC,https://www.vlr.gg/player/727/saadhak,Mixed,510128,224969,Sunset,bo1,1.89,333,22,9,8,84%,233,33%,1,1,2.44
Elite,KC,https://www.vlr.gg/player/16459/elite,Mixed,510128,224969,Sunset,bo1,1.50,254,19,10,5,84%,162,41%,1,0,1.9
marteen,KC,https://www.vlr.gg/player/10307/marteen,Mixed,510128,224969,Sunset,bo1,1.25,219,15,10,4,74%,142,39%,5,3,1.5
SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,Mixed,510128,224969,Sunset,bo1,1.03,173,12,11,6,79%,123,33%,2,2,1.09
Avez,KC,https://www.vlr.gg/player/5654/avez,Mixed,510128,224969,Sunset,bo1,0.85,159,11,12,6,79%,113,48%,3,1,0.92
Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,Mixed,510133,224981,Icebox,bo1,1.36,241,24,17,1,69%,156,21%,1,1,1.41
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Mixed,510133,224981,Icebox,bo1,1.07,267,22,22,6,73%,166,45%,5,4,1.0
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Mixed,510133,224981,Icebox,bo1,0.80,183,16,22,4,65%,128,26%,2,0,0.73
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Mixed,510133,224981,Icebox,bo1,0.64,142,12,21,10,62%,91,25%,0,7,0.57
