Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
yay,EG,https://www.vlr.gg/player/881/yay,Americas,427991,195761,SplitPICK,bo1,1.06,180,18,15,1,1.2,54%,112,22%,5,3
icy,EG,https://www.vlr.gg/player/8402/icy,Americas,427991,195761,SplitPICK,bo1,0.99,204,18,18,6,1.0,69%,146,19%,1,3
NaturE,EG,https://www.vlr.gg/player/4927/nature,Americas,427991,195761,SplitPICK,bo1,0.89,197,17,17,4,1.0,69%,127,22%,4,1
supamen,EG,https://www.vlr.gg/player/826/supamen,Americas,427991,195761,SplitPICK,bo1,0.86,154,15,17,8,0.88,73%,94,13%,2,1
Derrek,EG,https://www.vlr.gg/player/1533/derrek,Americas,427991,195761,SplitPICK,bo1,0.63,140,12,19,13,0.63,69%,89,32%,1,5
dgzin,LOUD,https://www.vlr.gg/player/8873/dgzin,Americas,427991,195761,SplitPICK,bo1,1.63,299,28,14,2,2.0,69%,185,21%,7,3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,427991,195761,SplitPICK,bo1,1.15,239,19,18,9,1.06,62%,161,30%,1,6
pANcada,LOUD,https://www.vlr.gg/player/683/pancada,Americas,427991,195761,SplitPICK,bo1,1.00,129,10,13,12,0.77,77%,93,29%,1,1
v1nny,LOUD,https://www.vlr.gg/player/1586/v1nny,Americas,427991,195761,SplitPICK,bo1,0.94,131,13,16,12,0.81,69%,93,33%,1,2
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,427991,195761,SplitPICK,bo1,0.82,164,16,19,8,0.84,73%,104,33%,3,1
NaturE,EG,https://www.vlr.gg/player/4927/nature,Americas,427991,195762,PearlPICK,bo1,1.06,198,16,17,5,0.94,74%,138,26%,1,1
supamen,EG,https://www.vlr.gg/player/826/supamen,Americas,427991,195762,PearlPICK,bo1,1.01,169,15,14,6,1.07,65%,97,48%,1,3
Derrek,EG,https://www.vlr.gg/player/1533/derrek,Americas,427991,195762,PearlPICK,bo1,1.00,182,13,15,10,0.87,78%,131,30%,2,1
yay,EG,https://www.vlr.gg/player/881/yay,Americas,427991,195762,PearlPICK,bo1,0.92,237,17,18,8,0.94,61%,175,35%,3,3
icy,EG,https://www.vlr.gg/player/8402/icy,Americas,427991,195762,PearlPICK,bo1,0.89,182,16,17,1,0.94,61%,122,22%,3,5
v1nny,LOUD,https://www.vlr.gg/player/1586/v1nny,Americas,427991,195762,PearlPICK,bo1,1.46,251,20,13,15,1.54,83%,180,29%,1,1
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,427991,195762,PearlPICK,bo1,1.31,281,22,17,2,1.29,70%,184,36%,4,2
pANcada,LOUD,https://www.vlr.gg/player/683/pancada,Americas,427991,195762,PearlPICK,bo1,0.95,189,18,16,7,1.12,87%,123,44%,1,1
dgzin,LOUD,https://www.vlr.gg/player/8873/dgzin,Americas,427991,195762,PearlPICK,bo1,0.84,190,13,16,6,0.81,70%,141,32%,6,3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,427991,195762,PearlPICK,bo1,0.58,94,8,15,7,0.53,57%,63,23%,1,3
nzr,MIBR,https://www.vlr.gg/player/725/nzr,Americas,427992,195764,LotusPICK,bo1,1.20,214,13,13,5,1.0,59%,130,46%,0,0
aspas,MIBR,https://www.vlr.gg/player/8480/aspas,Americas,427992,195764,LotusPICK,bo1,0.77,156,7,13,3,0.54,59%,116,24%,1,3
xenom,MIBR,https://www.vlr.gg/player/20240/xenom,Americas,427992,195764,LotusPICK,bo1,0.71,225,13,16,6,0.81,59%,139,22%,1,3
artzin,MIBR,https://www.vlr.gg/player/5957/artzin,Americas,427992,195764,LotusPICK,bo1,0.34,94,4,15,2,0.27,41%,80,18%,0,4
cortezia,MIBR,https://www.vlr.gg/player/5395/cortezia,Americas,427992,195764,LotusPICK,bo1,0.33,56,3,13,1,0.23,35%,45,25%,0,5
Asuna,100T,https://www.vlr.gg/player/601/asuna,Americas,427992,195764,LotusPICK,bo1,1.70,367,23,10,6,2.3,88%,220,28%,6,0
eeiu,100T,https://www.vlr.gg/player/796/eeiu,Americas,427992,195764,LotusPICK,bo1,1.36,187,11,6,8,1.83,82%,135,36%,3,0
Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,Americas,427992,195764,LotusPICK,bo1,1.25,262,16,10,3,1.6,82%,181,18%,4,2
Boostio,100T,https://www.vlr.gg/player/604/boostio,Americas,427992,195764,LotusPICK,bo1,1.22,145,10,6,12,1.67,94%,92,45%,0,0
zander,100T,https://www.vlr.gg/player/8082/zander,Americas,427992,195764,LotusPICK,bo1,1.10,157,10,8,8,1.25,82%,83,25%,2,0
aspas,MIBR,https://www.vlr.gg/player/8480/aspas,Americas,427992,195765,BindPICK,bo1,1.46,307,23,16,3,1.44,82%,206,24%,3,2
xenom,MIBR,https://www.vlr.gg/player/20240/xenom,Americas,427992,195765,BindPICK,bo1,0.75,169,12,18,10,0.67,73%,106,36%,2,1
artzin,MIBR,https://www.vlr.gg/player/5957/artzin,Americas,427992,195765,BindPICK,bo1,0.75,175,13,18,6,0.72,68%,115,42%,1,4
cortezia,MIBR,https://www.vlr.gg/player/5395/cortezia,Americas,427992,195765,BindPICK,bo1,0.72,169,14,17,2,0.82,55%,105,44%,1,2
nzr,MIBR,https://www.vlr.gg/player/725/nzr,Americas,427992,195765,BindPICK,bo1,0.62,119,8,15,3,0.53,50%,97,19%,2,4
Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,Americas,427992,195765,BindPICK,bo1,1.63,287,22,12,6,1.83,91%,202,25%,2,0
eeiu,100T,https://www.vlr.gg/player/796/eeiu,Americas,427992,195765,BindPICK,bo1,1.24,199,19,13,6,1.46,73%,129,49%,0,0
Asuna,100T,https://www.vlr.gg/player/601/asuna,Americas,427992,195765,BindPICK,bo1,1.19,243,18,14,5,1.29,77%,161,21%,8,4
Boostio,100T,https://www.vlr.gg/player/604/boostio,Americas,427992,195765,BindPICK,bo1,0.87,170,14,14,6,1.0,77%,107,27%,0,2
zander,100T,https://www.vlr.gg/player/8082/zander,Americas,427992,195765,BindPICK,bo1,0.68,161,11,17,5,0.65,77%,114,22%,3,3
gobera,2G,https://www.vlr.gg/player/14950/gobera,Americas,427994,195770,HavenPICK,bo1,1.62,338,23,14,6,1.64,85%,222,29%,4,0
silentzz,2G,https://www.vlr.gg/player/11921/silentzz,Americas,427994,195770,HavenPICK,bo1,0.93,213,16,16,3,1.0,75%,130,48%,5,3
lz,2G,https://www.vlr.gg/player/6195/lz,Americas,427994,195770,HavenPICK,bo1,0.88,181,12,14,9,0.86,65%,127,42%,2,2
pryze,2G,https://www.vlr.gg/player/662/pryze,Americas,427994,195770,HavenPICK,bo1,0.72,122,8,14,9,0.57,85%,78,19%,0,0
Zap,2G,https://www.vlr.gg/player/3169/zap,Americas,427994,195770,HavenPICK,bo1,0.55,133,9,15,4,0.6,65%,88,15%,0,4
bdog,FUR,https://www.vlr.gg/player/844/bdog,Americas,427994,195770,HavenPICK,bo1,1.33,244,16,13,9,1.23,75%,153,34%,2,0
Add3r,FUR,https://www.vlr.gg/player/4931/add3r,Americas,427994,195770,HavenPICK,bo1,1.18,235,18,14,0,1.29,75%,148,34%,1,2
stellar,FUR,https://www.vlr.gg/player/733/stellar,Americas,427994,195770,HavenPICK,bo1,1.13,193,14,12,5,1.17,70%,143,16%,3,4
penny,FUR,https://www.vlr.gg/player/7716/penny,Americas,427994,195770,HavenPICK,bo1,0.85,192,15,14,1,1.07,75%,110,24%,3,2
jakee,FUR,https://www.vlr.gg/player/8742/jakee,Americas,427994,195770,HavenPICK,bo1,0.77,162,10,16,10,0.62,75%,111,26%,0,3
lz,2G,https://www.vlr.gg/player/6195/lz,Americas,427994,195771,LotusPICK,bo1,1.08,219,14,16,4,0.88,67%,141,56%,3,3
silentzz,2G,https://www.vlr.gg/player/11921/silentzz,Americas,427994,195771,LotusPICK,bo1,0.79,204,11,18,3,0.61,67%,151,32%,6,3
gobera,2G,https://www.vlr.gg/player/14950/gobera,Americas,427994,195771,LotusPICK,bo1,0.76,189,12,16,4,0.75,61%,132,39%,0,3
Zap,2G,https://www.vlr.gg/player/3169/zap,Americas,427994,195771,LotusPICK,bo1,0.55,156,9,15,2,0.6,78%,118,24%,0,0
pryze,2G,https://www.vlr.gg/player/662/pryze,Americas,427994,195771,LotusPICK,bo1,0.43,87,5,14,4,0.36,44%,52,22%,0,0
penny,FUR,https://www.vlr.gg/player/7716/penny,Americas,427994,195771,LotusPICK,bo1,1.95,340,22,8,7,2.75,89%,228,25%,4,2
jakee,FUR,https://www.vlr.gg/player/8742/jakee,Americas,427994,195771,LotusPICK,bo1,1.59,280,19,9,8,2.11,89%,176,24%,1,1
bdog,FUR,https://www.vlr.gg/player/844/bdog,Americas,427994,195771,LotusPICK,bo1,1.22,181,12,8,12,1.5,83%,95,37%,0,0
stellar,FUR,https://www.vlr.gg/player/733/stellar,Americas,427994,195771,LotusPICK,bo1,1.02,216,15,12,6,1.25,83%,144,22%,1,2
Add3r,FUR,https://www.vlr.gg/player/4931/add3r,Americas,427994,195771,LotusPICK,bo1,0.56,154,10,14,3,0.71,56%,102,31%,3,4
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,427993,195767,FracturePICK,bo1,1.72,324,30,15,14,2.0,81%,195,39%,6,2
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,427993,195767,FracturePICK,bo1,1.24,274,26,19,2,1.37,77%,173,30%,6,6
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,427993,195767,FracturePICK,bo1,0.91,133,10,13,14,0.77,77%,84,20%,0,0
Verno,NRG,https://www.vlr.gg/player/21668/verno,Americas,427993,195767,FracturePICK,bo1,0.83,156,14,16,3,0.88,81%,102,25%,1,1
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,427993,195767,FracturePICK,bo1,0.51,129,11,20,2,0.55,62%,106,25%,0,3
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,427993,195767,FracturePICK,bo1,1.13,305,28,25,6,1.12,73%,185,18%,4,4
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,427993,195767,FracturePICK,bo1,0.98,200,17,20,11,0.85,77%,136,14%,2,4
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,427993,195767,FracturePICK,bo1,0.91,141,13,15,8,0.87,81%,94,31%,2,1
neT,C9,https://www.vlr.gg/player/6582/net,Americas,427993,195767,FracturePICK,bo1,0.80,120,12,15,4,0.8,81%,94,28%,0,1
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,427993,195767,FracturePICK,bo1,0.75,150,13,17,4,0.76,58%,103,15%,5,4
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,427993,195768,LotusPICK,bo1,1.21,233,20,15,9,1.33,70%,156,37%,1,2
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,427993,195768,LotusPICK,bo1,1.05,195,16,17,10,0.94,83%,124,28%,0,0
Verno,NRG,https://www.vlr.gg/player/21668/verno,Americas,427993,195768,LotusPICK,bo1,1.02,191,17,15,5,1.13,78%,125,47%,4,1
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,427993,195768,LotusPICK,bo1,0.94,229,19,20,8,0.95,83%,134,11%,3,2
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,427993,195768,LotusPICK,bo1,0.86,195,15,20,7,0.75,57%,131,17%,4,6
