Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,448598,202495,SplitPICK,bo1,1.41,287,36,25,8,1.44,71%,181,38%,2,3
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,448598,202495,SplitPICK,bo1,1.18,277,33,27,3,1.22,74%,166,23%,8,4
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,448598,202495,SplitPICK,bo1,0.94,219,25,27,6,0.93,76%,162,35%,4,7
S1Mon,EDG,https://www.vlr.gg/player/13768/s1mon,CN,448598,202495,SplitPICK,bo1,0.75,140,16,23,12,0.7,62%,102,29%,0,2
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,448598,202495,SplitPICK,bo1,0.65,132,15,27,17,0.56,68%,77,29%,3,1
kamo,TL,https://www.vlr.gg/player/14681/kamo,EMEA,448598,202495,SplitPICK,bo1,1.39,284,34,25,5,1.36,68%,181,26%,7,2
keiko,TL,https://www.vlr.gg/player/11494/keiko,Americas,448598,202495,SplitPICK,bo1,1.19,266,31,26,6,1.19,76%,185,29%,3,4
kamyk,TL,https://www.vlr.gg/player/1475/kamyk,EMEA,448598,202495,SplitPICK,bo1,1.00,184,23,23,13,1.0,76%,126,33%,3,2
nAts,TL,https://www.vlr.gg/player/457/nats,EMEA,448598,202495,SplitPICK,bo1,0.97,205,25,26,11,0.96,71%,136,16%,2,5
paTiTek,TL,https://www.vlr.gg/player/309/patitek,EMEA,448598,202495,SplitPICK,bo1,0.63,136,16,25,13,0.64,59%,91,25%,2,4
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,448598,202496,PearlPICK,bo1,1.46,244,18,10,7,1.8,79%,157,31%,1,1
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,448598,202496,PearlPICK,bo1,1.26,199,14,10,4,1.4,74%,134,37%,3,1
S1Mon,EDG,https://www.vlr.gg/player/13768/s1mon,CN,448598,202496,PearlPICK,bo1,1.10,181,14,11,6,1.27,68%,118,37%,2,0
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,448598,202496,PearlPICK,bo1,0.96,170,11,12,5,0.92,68%,123,37%,1,1
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,448598,202496,PearlPICK,bo1,0.91,253,15,16,8,0.94,68%,170,30%,6,3
kamo,TL,https://www.vlr.gg/player/14681/kamo,EMEA,448598,202496,PearlPICK,bo1,1.06,222,14,14,2,1.0,63%,152,28%,2,4
nAts,TL,https://www.vlr.gg/player/457/nats,EMEA,448598,202496,PearlPICK,bo1,1.00,175,13,12,0,1.08,63%,123,24%,2,5
keiko,TL,https://www.vlr.gg/player/11494/keiko,Americas,448598,202496,PearlPICK,bo1,0.88,146,10,14,6,0.71,68%,89,26%,0,0
paTiTek,TL,https://www.vlr.gg/player/309/patitek,EMEA,448598,202496,PearlPICK,bo1,0.73,215,14,17,3,0.82,58%,133,25%,1,2
kamyk,TL,https://www.vlr.gg/player/1475/kamyk,EMEA,448598,202496,PearlPICK,bo1,0.67,161,8,15,8,0.53,68%,114,32%,1,2
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Pacific,448600,202501,LotusPICK,bo1,1.90,310,18,5,7,3.6,88%,204,38%,3,1
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Pacific,448600,202501,LotusPICK,bo1,1.57,214,12,5,9,2.4,94%,131,19%,1,0
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,448600,202501,LotusPICK,bo1,1.25,210,12,7,10,1.71,94%,137,26%,2,3
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,CN,448600,202501,LotusPICK,bo1,1.13,125,8,5,4,1.6,88%,102,33%,0,1
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Pacific,448600,202501,LotusPICK,bo1,1.11,199,13,10,2,1.3,75%,129,57%,3,2
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,448600,202501,LotusPICK,bo1,0.71,180,9,13,2,0.69,63%,121,18%,2,3
Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,Americas,448600,202501,LotusPICK,bo1,0.58,103,5,11,4,0.45,56%,70,13%,1,1
bang,SEN,https://www.vlr.gg/player/3880/bang,Americas,448600,202501,LotusPICK,bo1,0.51,119,7,12,4,0.58,44%,84,38%,1,2
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Americas,448600,202501,LotusPICK,bo1,0.46,116,5,13,3,0.38,50%,81,27%,2,0
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Americas,448600,202501,LotusPICK,bo1,0.40,105,6,14,1,0.43,63%,67,11%,1,3
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,CN,448600,202502,HavenPICK,bo1,1.55,281,26,14,3,1.86,83%,178,26%,2,1
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Pacific,448600,202502,HavenPICK,bo1,1.13,189,15,14,11,1.07,83%,133,20%,0,2
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Pacific,448600,202502,HavenPICK,bo1,0.88,201,17,18,5,0.94,83%,130,39%,3,1
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Pacific,448600,202502,HavenPICK,bo1,0.80,216,18,20,2,0.9,65%,137,43%,6,4
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,448600,202502,HavenPICK,bo1,0.75,118,8,15,11,0.53,65%,85,21%,2,2
bang,SEN,https://www.vlr.gg/player/3880/bang,Americas,448600,202502,HavenPICK,bo1,1.28,252,22,17,9,1.29,78%,161,32%,3,3
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Americas,448600,202502,HavenPICK,bo1,1.13,206,15,15,16,1.0,87%,150,25%,2,1
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Americas,448600,202502,HavenPICK,bo1,1.05,214,18,18,7,1.0,91%,134,17%,2,2
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,448600,202502,HavenPICK,bo1,0.81,172,14,16,1,0.88,74%,123,34%,3,4
Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,Americas,448600,202502,HavenPICK,bo1,0.73,172,12,18,7,0.67,65%,113,15%,0,3
Less,VIT,https://www.vlr.gg/player/8447/less,EMEA,448599,202498,FracturePICK,bo1,1.46,273,23,14,11,1.64,78%,177,30%,1,3
Derke,VIT,https://www.vlr.gg/player/5022/derke,EMEA,448599,202498,FracturePICK,bo1,1.27,269,22,14,4,1.57,70%,162,24%,5,6
Sayf,VIT,https://www.vlr.gg/player/312/sayf,EMEA,448599,202498,FracturePICK,bo1,0.98,166,15,13,1,1.15,78%,109,39%,2,0
trexx,VIT,https://www.vlr.gg/player/2168/trexx,EMEA,448599,202498,FracturePICK,bo1,0.93,162,12,13,9,0.92,78%,107,14%,2,2
Kicks,VIT,https://www.vlr.gg/player/11134/kicks,EMEA,448599,202498,FracturePICK,bo1,0.92,152,13,14,9,0.93,83%,100,35%,0,2
BuZz,T1,https://www.vlr.gg/player/804/buzz,Pacific,448599,202498,FracturePICK,bo1,1.00,224,16,18,8,0.89,65%,146,9%,5,2
carpe,T1,https://www.vlr.gg/player/31207/carpe,Pacific,448599,202498,FracturePICK,bo1,0.97,193,14,16,11,0.88,74%,126,22%,4,4
Meteor,T1,https://www.vlr.gg/player/13039/meteor,Pacific,448599,202498,FracturePICK,bo1,0.89,201,17,21,2,0.81,70%,142,32%,3,2
iZu,T1,https://www.vlr.gg/player/29833/izu,Pacific,448599,202498,FracturePICK,bo1,0.84,161,12,16,3,0.75,70%,109,18%,1,2
stax,T1,https://www.vlr.gg/player/485/stax,Pacific,448599,202498,FracturePICK,bo1,0.75,102,9,14,4,0.64,57%,71,30%,0,0
trexx,VIT,https://www.vlr.gg/player/2168/trexx,EMEA,448599,202499,BindPICK,bo1,1.75,350,28,13,11,2.15,91%,208,21%,1,1
Kicks,VIT,https://www.vlr.gg/player/11134/kicks,EMEA,448599,202499,BindPICK,bo1,1.38,238,19,12,10,1.58,77%,146,32%,1,2
Derke,VIT,https://www.vlr.gg/player/5022/derke,EMEA,448599,202499,BindPICK,bo1,1.26,248,20,16,5,1.25,77%,152,16%,5,3
Less,VIT,https://www.vlr.gg/player/8447/less,EMEA,448599,202499,BindPICK,bo1,1.15,219,19,14,4,1.36,68%,129,48%,3,3
Sayf,VIT,https://www.vlr.gg/player/312/sayf,EMEA,448599,202499,BindPICK,bo1,0.37,67,4,14,6,0.29,64%,61,12%,0,3
stax,T1,https://www.vlr.gg/player/485/stax,Pacific,448599,202499,BindPICK,bo1,1.02,203,17,18,7,0.94,73%,128,41%,4,0
Meteor,T1,https://www.vlr.gg/player/13039/meteor,Pacific,448599,202499,BindPICK,bo1,1.00,211,15,17,8,0.88,64%,155,33%,3,5
