Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
RieNs,TH,https://www.vlr.gg/player/10971/riens,EMEA,490309,217256,PearlPICK,bo1,0.54,177.0,8,12,1,0.67,50%,105.0,41%,1.0,2.0
benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,EMEA,490309,217256,PearlPICK,bo1,0.53,141.0,6,13,2,0.46,64%,100.0,28%,2.0,1.0
Boo,TH,https://www.vlr.gg/player/1144/boo,EMEA,490309,217256,PearlPICK,bo1,0.45,105.0,5,12,7,0.42,50%,60.0,46%,0.0,3.0
Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,EMEA,490309,217256,PearlPICK,bo1,0.41,135.0,6,12,6,0.5,57%,76.0,46%,1.0,2.0
MiniBoo,TH,https://www.vlr.gg/player/18350/miniboo,EMEA,490309,217256,PearlPICK,bo1,0.2,85.0,4,13,1,0.31,36%,57.0,71%,1.0,1.0
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,490309,217256,PearlPICK,bo1,2.27,324.0,18,3,8,6.0,93%,187.0,47%,2.0,0.0
PatMen,PRX,https://www.vlr.gg/player/13744/patmen,Pacific,490309,217256,PearlPICK,bo1,1.43,187.0,10,4,6,2.5,93%,125.0,43%,0.0,1.0
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,490309,217256,PearlPICK,bo1,1.4,239.0,12,6,4,2.0,86%,154.0,19%,5.0,1.0
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,490309,217256,PearlPICK,bo1,1.36,246.0,13,7,3,1.86,100%,182.0,29%,2.0,2.0
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,490309,217256,PearlPICK,bo1,1.02,172.0,9,9,3,1.0,86%,131.0,27%,0.0,1.0
Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,EMEA,490309,217257,IceboxPICK,bo1,1.27,222.0,17,15,7,1.13,68%,136.0,52%,1.0,2.0
benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,EMEA,490309,217257,IceboxPICK,bo1,1.2,233.0,18,16,1,1.12,59%,150.0,39%,5.0,2.0
RieNs,TH,https://www.vlr.gg/player/10971/riens,EMEA,490309,217257,IceboxPICK,bo1,0.76,174.0,12,18,5,0.67,59%,114.0,29%,1.0,3.0
MiniBoo,TH,https://www.vlr.gg/player/18350/miniboo,EMEA,490309,217257,IceboxPICK,bo1,0.57,152.0,12,18,3,0.67,55%,98.0,38%,1.0,5.0
Boo,TH,https://www.vlr.gg/player/1144/boo,EMEA,490309,217257,IceboxPICK,bo1,0.49,106.0,7,17,7,0.41,59%,73.0,26%,0.0,2.0
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,490309,217257,IceboxPICK,bo1,1.48,262.0,20,13,16,1.54,95%,152.0,27%,5.0,0.0
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,490309,217257,IceboxPICK,bo1,1.26,202.0,18,12,1,1.5,77%,159.0,30%,0.0,0.0
PatMen,PRX,https://www.vlr.gg/player/13744/patmen,Pacific,490309,217257,IceboxPICK,bo1,1.08,239.0,20,14,3,1.43,73%,150.0,27%,2.0,4.0
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,490309,217257,IceboxPICK,bo1,0.94,164.0,14,13,5,1.08,64%,112.0,14%,4.0,2.0
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,490309,217257,IceboxPICK,bo1,0.87,161.0,12,14,7,0.86,77%,112.0,25%,3.0,2.0
rushia,BLG,https://www.vlr.gg/player/48878/rushia,CN,490307,217250,IceboxPICK,bo1,1.49,263.0,22,15,10,1.47,83%,173.0,38%,3.0,1.0
whzy,BLG,https://www.vlr.gg/player/4885/whzy,CN,490307,217250,IceboxPICK,bo1,1.25,252.0,22,15,1,1.47,57%,151.0,38%,5.0,5.0
