Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
iZu,T1,https://www.vlr.gg/player/29833/izu,Mixed,585447,241503,Sunset,bo1,1.16,200,19,17,11,88%,129,56%,3,0,1.12
Meteor,T1,https://www.vlr.gg/player/13039/meteor,Mixed,585447,241503,Sunset,bo1,1.04,246,24,20,4,50%,153,38%,2,4,1.2
stax,T1,https://www.vlr.gg/player/485/stax,Mixed,585447,241503,Sunset,bo1,0.87,164,15,18,9,73%,120,27%,2,3,0.83
DH,T1,https://www.vlr.gg/player/43057/dh,Mixed,585447,241503,Sunset,bo1,0.70,164,13,20,4,58%,115,34%,3,4,0.65
BuZz,T1,https://www.vlr.gg/player/804/buzz,Mixed,585447,241503,Sunset,bo1,0.61,172,14,22,6,54%,117,23%,0,5,0.64
Reduxx,SEN,https://www.vlr.gg/player/8419/reduxx,Mixed,585447,241503,Sunset,bo1,1.58,320,31,17,1,73%,191,28%,9,3,1.82
Kyu,SEN,https://www.vlr.gg/player/30470/kyu,Mixed,585447,241503,Sunset,bo1,1.31,246,21,16,7,62%,159,27%,3,1,1.31
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Mixed,585447,241503,Sunset,bo1,1.20,248,23,19,7,69%,167,24%,1,3,1.21
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Mixed,585447,241503,Sunset,bo1,0.82,132,11,17,6,69%,98,24%,1,0,0.65
cortezia,SEN,https://www.vlr.gg/player/5395/cortezia,Mixed,585447,241503,Sunset,bo1,0.70,119,11,16,7,65%,82,38%,2,3,0.69
Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,Mixed,585448,241504,Split,bo1,1.46,268,20,11,4,80%,167,24%,4,1,1.82
kaajak,FNC,https://www.vlr.gg/player/9554/kaajak,Mixed,585448,241504,Split,bo1,1.29,235,16,12,4,80%,165,39%,6,4,1.33
Boaster,FNC,https://www.vlr.gg/player/438/boaster,Mixed,585448,241504,Split,bo1,1.25,229,18,12,9,85%,140,28%,1,0,1.5
Veqaj,FNC,https://www.vlr.gg/player/12928/veqaj,Mixed,585448,241504,Split,bo1,1.06,225,15,12,6,75%,147,10%,1,2,1.25
crashies,FNC,https://www.vlr.gg/player/4/crashies,Mixed,585448,241504,Split,bo1,0.87,118,8,10,7,85%,83,30%,1,0,0.8
Zellsis,C9,https://www.vlr.gg/player/729/zellsis,Mixed,585448,241504,Split,bo1,0.99,173,12,14,4,60%,107,33%,2,2,0.86
OXY,C9,https://www.vlr.gg/player/18796/oxy,Mixed,585448,241504,Split,bo1,0.92,216,14,16,6,60%,141,15%,2,5,0.88
penny,C9,https://www.vlr.gg/player/7716/penny,Mixed,585448,241504,Split,bo1,0.76,206,13,17,5,60%,133,22%,1,3,0.76
v1c,C9,https://www.vlr.gg/player/17433/v1c,Mixed,585448,241504,Split,bo1,0.72,130,8,15,9,55%,73,25%,0,3,0.53
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Mixed,585448,241504,Split,bo1,0.60,127,10,15,3,65%,74,12%,2,0,0.67
BABYBAY,G2,https://www.vlr.gg/player/2170/babybay,Mixed,585449,241505,Haven,bo1,1.07,248,17,15,3,70%,166,23%,2,0,1.13
valyn,G2,https://www.vlr.gg/player/3885/valyn,Mixed,585449,241505,Haven,bo1,0.96,238,17,17,4,70%,133,32%,4,3,1.0
jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,Mixed,585449,241505,Haven,bo1,0.86,172,11,17,8,55%,117,19%,2,3,0.65
leaf,G2,https://www.vlr.gg/player/7873/leaf,Mixed,585449,241505,Haven,bo1,0.71,149,9,16,9,75%,106,19%,2,1,0.56
trent,G2,https://www.vlr.gg/player/15500/trent,Mixed,585449,241505,Haven,bo1,0.50,92,7,17,4,70%,56,13%,1,2,0.41
Absol,ZETA,https://www.vlr.gg/player/34776/absol,Mixed,585449,241505,Haven,bo1,1.81,326,25,10,4,85%,202,25%,4,1,2.5
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Mixed,585449,241505,Haven,bo1,1.23,259,19,14,15,80%,151,25%,2,2,1.36
HoneyBunny,ZETA,https://www.vlr.gg/player/49906/honeybunny,Mixed,585449,241505,Haven,bo1,1.08,212,16,13,4,75%,143,24%,0,0,1.23
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Mixed,585449,241505,Haven,bo1,1.00,145,9,10,9,75%,102,24%,2,2,0.9
eKo,ZETA,https://www.vlr.gg/player/1960/eko,Mixed,585449,241505,Haven,bo1,0.89,195,13,14,7,80%,118,16%,1,6,0.93
mada,NRG,https://www.vlr.gg/player/5132/mada,Mixed,585450,241506,Pearl,bo1,1.19,248,22,15,3,75%,167,32%,8,4,1.47
brawk,NRG,https://www.vlr.gg/player/2172/brawk,Mixed,585450,241506,Pearl,bo1,1.14,174,14,14,10,75%,128,12%,1,1,1.0
keiko,NRG,https://www.vlr.gg/player/11494/keiko,Mixed,585450,241506,Pearl,bo1,1.14,198,18,15,1,67%,130,31%,3,2,1.2
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Mixed,585450,241506,Pearl,bo1,0.95,199,17,17,4,71%,138,23%,0,2,1.0
skuba,NRG,https://www.vlr.gg/player/11118/skuba,Mixed,585450,241506,Pearl,bo1,0.83,136,10,16,11,79%,92,15%,2,1,0.62
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Mixed,585450,241506,Pearl,bo1,1.13,235,22,17,2,67%,151,22%,4,6,1.29
cortezia,SEN,https://www.vlr.gg/player/5395/cortezia,Mixed,585450,241506,Pearl,bo1,1.05,165,15,15,1,71%,116,29%,3,2,1.0
Kyu,SEN,https://www.vlr.gg/player/30470/kyu,Mixed,585450,241506,Pearl,bo1,0.84,184,13,16,8,75%,126,13%,0,3,0.81
Reduxx,SEN,https://www.vlr.gg/player/8419/reduxx,Mixed,585450,241506,Pearl,bo1,0.82,193,17,18,2,54%,124,37%,3,2,0.94
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Mixed,585450,241506,Pearl,bo1,0.75,125,10,15,8,71%,91,22%,0,1,0.67
crashies,FNC,https://www.vlr.gg/player/4/crashies,Mixed,585451,241507,Bind,bo1,1.01,227,11,11,1,57%,149,48%,0,0,1.0
Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,Mixed,585451,241507,Bind,bo1,0.71,214,8,13,6,57%,146,12%,4,4,0.62
kaajak,FNC,https://www.vlr.gg/player/9554/kaajak,Mixed,585451,241507,Bind,bo1,0.59,144,7,13,2,57%,91,31%,0,4,0.54
Veqaj,FNC,https://www.vlr.gg/player/12928/veqaj,Mixed,585451,241507,Bind,bo1,0.56,157,7,13,4,57%,122,40%,0,1,0.54
Boaster,FNC,https://www.vlr.gg/player/438/boaster,Mixed,585451,241507,Bind,bo1,0.17,96,3,14,1,21%,74,26%,0,1,0.21
eKo,ZETA,https://www.vlr.gg/player/1960/eko,Mixed,585451,241507,Bind,bo1,1.72,299,18,7,2,79%,199,25%,3,0,2.57
HoneyBunny,ZETA,https://www.vlr.gg/player/49906/honeybunny,Mixed,585451,241507,Bind,bo1,1.45,277,13,8,3,93%,181,36%,5,3,1.62
Absol,ZETA,https://www.vlr.gg/player/34776/absol,Mixed,585451,241507,Bind,bo1,1.40,250,14,6,2,79%,166,19%,1,1,2.33
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Mixed,585451,241507,Bind,bo1,1.25,213,11,8,9,93%,122,18%,1,0,1.38
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Mixed,585451,241507,Bind,bo1,1.12,152,8,7,5,64%,106,39%,0,0,1.14
penny,C9,https://www.vlr.gg/player/7716/penny,Mixed,585455,241517,Haven,bo1,1.19,215,18,14,4,83%,139,22%,1,2,1.29
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Mixed,585455,241517,Haven,bo1,1.14,233,20,15,6,67%,144,24%,4,0,1.33
OXY,C9,https://www.vlr.gg/player/18796/oxy,Mixed,585455,241517,Haven,bo1,1.02,208,19,17,2,71%,139,28%,6,4,1.12
Zellsis,C9,https://www.vlr.gg/player/729/zellsis,Mixed,585455,241517,Haven,bo1,0.79,149,11,16,3,71%,106,22%,1,3,0.69
v1c,C9,https://www.vlr.gg/player/17433/v1c,Mixed,585455,241517,Haven,bo1,0.73,129,10,16,7,63%,87,11%,2,1,0.62
jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,Mixed,585455,241517,Haven,bo1,1.43,303,27,17,1,71%,201,29%,5,3,1.59
valyn,G2,https://www.vlr.gg/player/3885/valyn,Mixed,585455,241517,Haven,bo1,1.09,199,17,16,6,67%,136,46%,2,3,1.06
trent,G2,https://www.vlr.gg/player/15500/trent,Mixed,585455,241517,Haven,bo1,0.93,153,13,15,9,63%,99,24%,2,2,0.87
BABYBAY,G2,https://www.vlr.gg/player/2170/babybay,Mixed,585455,241517,Haven,bo1,0.90,164,13,15,8,67%,110,20%,1,2,0.87
leaf,G2,https://www.vlr.gg/player/7873/leaf,Mixed,585455,241517,Haven,bo1,0.64,112,8,15,7,71%,80,32%,0,4,0.53
Veqaj,FNC,https://www.vlr.gg/player/12928/veqaj,Mixed,585456,241518,Haven,bo1,1.28,193,15,9,1,78%,144,54%,2,0,1.67
crashies,FNC,https://www.vlr.gg/player/4/crashies,Mixed,585456,241518,Haven,bo1,1.27,247,17,10,4,83%,178,50%,0,0,1.7
kaajak,FNC,https://www.vlr.gg/player/9554/kaajak,Mixed,585456,241518,Haven,bo1,1.25,225,15,10,1,83%,152,52%,1,1,1.5
Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,Mixed,585456,241518,Haven,bo1,1.08,286,19,14,6,89%,159,16%,7,2,1.36
Boaster,FNC,https://www.vlr.gg/player/438/boaster,Mixed,585456,241518,Haven,bo1,1.01,187,12,12,8,83%,127,22%,3,2,1.0
BuZz,T1,https://www.vlr.gg/player/804/buzz,Mixed,585456,241518,Haven,bo1,1.20,259,16,13,2,61%,166,37%,1,4,1.23
Meteor,T1,https://www.vlr.gg/player/13039/meteor,Mixed,585456,241518,Haven,bo1,0.89,216,13,17,2,56%,149,36%,1,3,0.76
stax,T1,https://www.vlr.gg/player/485/stax,Mixed,585456,241518,Haven,bo1,0.84,195,12,16,4,67%,140,41%,1,1,0.75
iZu,T1,https://www.vlr.gg/player/29833/izu,Mixed,585456,241518,Haven,bo1,0.70,168,9,15,2,61%,110,28%,1,2,0.6
DH,T1,https://www.vlr.gg/player/43057/dh,Mixed,585456,241518,Haven,bo1,0.17,56,5,17,1,50%,45,44%,1,3,0.29
cortezia,SEN,https://www.vlr.gg/player/5395/cortezia,Mixed,585457,241519,Split,bo1,1.39,269,21,13,5,71%,173,39%,2,1,1.62
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Mixed,585457,241519,Split,bo1,0.93,203,14,17,3,62%,138,24%,2,4,0.82
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Mixed,585457,241519,Split,bo1,0.86,98,7,13,6,67%,62,26%,2,0,0.54
Reduxx,SEN,https://www.vlr.gg/player/8419/reduxx,Mixed,585457,241519,Split,bo1,0.60,147,11,18,2,57%,88,35%,1,3,0.61
