Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
Kai,TE,https://www.vlr.gg/player/37494/kai,CN,598923,245204,AbyssPICK,bo1,,283,21,13,0,1.62,,,,,
deLb,TE,https://www.vlr.gg/player/10821/delb,CN,598923,245204,AbyssPICK,bo1,,190,14,13,6,1.08,,,,,
FengF,TE,https://www.vlr.gg/player/4770/fengf,CN,598923,245204,AbyssPICK,bo1,,188,16,11,4,1.45,,,,,
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,CN,598923,245204,AbyssPICK,bo1,,175,13,11,4,1.18,,,,,
Viva,TE,https://www.vlr.gg/player/36415/viva,CN,598923,245204,AbyssPICK,bo1,,170,10,11,10,0.91,,,,,
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,598923,245204,AbyssPICK,bo1,,247,17,16,3,1.06,,,,,
jowa,WOL,https://www.vlr.gg/player/19292/jowa,CN,598923,245204,AbyssPICK,bo1,,167,11,15,2,0.73,,,,,
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,598923,245204,AbyssPICK,bo1,,166,12,14,3,0.86,,,,,
qiutiaN,WOL,https://www.vlr.gg/player/43007/qiutian,CN,598923,245204,AbyssPICK,bo1,,133,8,16,5,0.5,,,,,
yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,CN,598923,245204,AbyssPICK,bo1,,109,6,18,11,0.33,,,,,
FengF,TE,https://www.vlr.gg/player/4770/fengf,CN,598923,245205,HavenPICK,bo1,,239,20,13,4,1.54,,,,,
deLb,TE,https://www.vlr.gg/player/10821/delb,CN,598923,245205,HavenPICK,bo1,,191,16,16,4,1.0,,,,,
Kai,TE,https://www.vlr.gg/player/37494/kai,CN,598923,245205,HavenPICK,bo1,,188,15,18,4,0.83,,,,,
Viva,TE,https://www.vlr.gg/player/36415/viva,CN,598923,245205,HavenPICK,bo1,,187,15,15,9,1.0,,,,,
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,CN,598923,245205,HavenPICK,bo1,,141,11,18,12,0.61,,,,,
jowa,WOL,https://www.vlr.gg/player/19292/jowa,CN,598923,245205,HavenPICK,bo1,,274,22,15,14,1.47,,,,,
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,598923,245205,HavenPICK,bo1,,192,16,21,10,0.76,,,,,
yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,CN,598923,245205,HavenPICK,bo1,,168,15,15,6,1.0,,,,,
qiutiaN,WOL,https://www.vlr.gg/player/43007/qiutian,CN,598923,245205,HavenPICK,bo1,,151,15,15,1,1.0,,,,,
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,598923,245205,HavenPICK,bo1,,150,12,11,8,1.09,,,,,
FengF,TE,https://www.vlr.gg/player/4770/fengf,CN,598923,245206,Bind,bo1,,205,12,13,4,0.92,,,,,
Viva,TE,https://www.vlr.gg/player/36415/viva,CN,598923,245206,Bind,bo1,,186,12,14,6,0.86,,,,,
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,CN,598923,245206,Bind,bo1,,122,6,14,5,0.43,,,,,
deLb,TE,https://www.vlr.gg/player/10821/delb,CN,598923,245206,Bind,bo1,,115,8,14,1,0.57,,,,,
Kai,TE,https://www.vlr.gg/player/37494/kai,CN,598923,245206,Bind,bo1,,89,4,14,3,0.29,,,,,
yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,CN,598923,245206,Bind,bo1,,287,20,9,3,2.22,,,,,
jowa,WOL,https://www.vlr.gg/player/19292/jowa,CN,598923,245206,Bind,bo1,,275,16,8,13,2.0,,,,,
qiutiaN,WOL,https://www.vlr.gg/player/43007/qiutian,CN,598923,245206,Bind,bo1,,215,15,8,2,1.88,,,,,
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,598923,245206,Bind,bo1,,177,12,9,3,1.33,,,,,
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,598923,245206,Bind,bo1,,106,6,8,5,0.75,,,,,
