Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
Coco,TEC,https://www.vlr.gg/player/47629/coco,CN,642914,257925,LotusPICK,bo1,1.17,207,16,13,6,1.23,75%,132,41%,1,3
Spitfires,TEC,https://www.vlr.gg/player/4881/spitfires,CN,642914,257925,LotusPICK,bo1,1.04,228,16,15,3,1.07,70%,167,29%,1,2
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,642914,257925,LotusPICK,bo1,0.83,139,8,13,9,0.62,80%,100,23%,0,1
lucas,TEC,https://www.vlr.gg/player/19677/lucas,CN,642914,257925,LotusPICK,bo1,0.83,162,10,16,6,0.62,60%,113,27%,2,4
Dynamite,TEC,https://www.vlr.gg/player/42235/dynamite,CN,642914,257925,LotusPICK,bo1,0.59,125,9,17,6,0.53,55%,74,13%,1,5
f4ngeer,AG,https://www.vlr.gg/player/21216/f4ngeer,CN,642914,257925,LotusPICK,bo1,1.52,322,23,14,3,1.64,85%,207,39%,5,0
Shr1mp,AG,https://www.vlr.gg/player/25494/shr1mp,CN,642914,257925,LotusPICK,bo1,1.27,199,15,8,4,1.88,85%,111,28%,2,1
iamgrq,AG,https://www.vlr.gg/player/58959/iamgrq,CN,642914,257925,LotusPICK,bo1,1.09,259,17,16,6,1.06,65%,159,10%,4,2
K1ra,AG,https://www.vlr.gg/player/46748/k1ra,CN,642914,257925,LotusPICK,bo1,0.84,153,12,11,2,1.09,75%,102,22%,3,2
Septem7,AG,https://www.vlr.gg/player/3031/septem7,CN,642914,257925,LotusPICK,bo1,0.78,103,7,10,8,0.7,85%,68,15%,1,0
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,642914,257926,BindPICK,bo1,1.47,228,19,11,8,1.73,86%,160,39%,2,1
Coco,TEC,https://www.vlr.gg/player/47629/coco,CN,642914,257926,BindPICK,bo1,1.23,309,22,16,6,1.38,86%,197,42%,4,1
Dynamite,TEC,https://www.vlr.gg/player/42235/dynamite,CN,642914,257926,BindPICK,bo1,1.22,260,21,14,1,1.5,81%,166,22%,3,2
lucas,TEC,https://www.vlr.gg/player/19677/lucas,CN,642914,257926,BindPICK,bo1,1.00,190,15,14,8,1.07,76%,117,25%,2,0
Spitfires,TEC,https://www.vlr.gg/player/4881/spitfires,CN,642914,257926,BindPICK,bo1,0.60,161,12,16,9,0.75,81%,100,23%,2,4
f4ngeer,AG,https://www.vlr.gg/player/21216/f4ngeer,CN,642914,257926,BindPICK,bo1,1.25,220,17,16,6,1.06,76%,159,40%,3,3
iamgrq,AG,https://www.vlr.gg/player/58959/iamgrq,CN,642914,257926,BindPICK,bo1,0.94,223,13,19,14,0.68,76%,144,18%,1,1
Septem7,AG,https://www.vlr.gg/player/3031/septem7,CN,642914,257926,BindPICK,bo1,0.88,213,16,19,4,0.84,90%,145,40%,1,1
K1ra,AG,https://www.vlr.gg/player/46748/k1ra,CN,642914,257926,BindPICK,bo1,0.86,203,14,18,3,0.78,67%,134,23%,3,2
Shr1mp,AG,https://www.vlr.gg/player/25494/shr1mp,CN,642914,257926,BindPICK,bo1,0.76,145,11,17,9,0.65,57%,88,24%,0,6
Coco,TEC,https://www.vlr.gg/player/47629/coco,CN,642914,257927,Breeze,bo1,1.31,256,26,20,12,1.3,89%,166,31%,3,3
lucas,TEC,https://www.vlr.gg/player/19677/lucas,CN,642914,257927,Breeze,bo1,1.29,221,22,16,9,1.38,82%,158,40%,1,1
Dynamite,TEC,https://www.vlr.gg/player/42235/dynamite,CN,642914,257927,Breeze,bo1,0.86,218,19,23,10,0.83,75%,141,20%,5,7
