Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
whzy,BLG,https://www.vlr.gg/player/4885/whzy,CN,675340,268345,Lotus,bo3,,305,22,13,7,,,,,,1.69
rushia,BLG,https://www.vlr.gg/player/48878/rushia,CN,675340,268345,Lotus,bo3,,277,19,13,3,,,,,,1.46
yilai,BLG,https://www.vlr.gg/player/62947/yilai,CN,675340,268345,Lotus,bo3,,176,14,10,1,,,,,,1.4
nephh,BLG,https://www.vlr.gg/player/10698/nephh,CN,675340,268345,Lotus,bo3,,166,11,12,9,,,,,,0.92
Knight,BLG,https://www.vlr.gg/player/4774/knight,CN,675340,268345,Lotus,bo3,,129,9,13,2,,,,,,0.69
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,675340,268345,Lotus,bo3,,337,23,13,3,,,,,,1.77
glacier,WOL,https://www.vlr.gg/player/49973/glacier,CN,675340,268345,Lotus,bo3,,217,15,15,1,,,,,,1.0
yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,CN,675340,268345,Lotus,bo3,,178,12,15,3,,,,,,0.8
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,675340,268345,Lotus,bo3,,161,10,16,6,,,,,,0.62
LuXlis,WOL,https://www.vlr.gg/player/40610/luxlis,CN,675340,268345,Lotus,bo3,,30,1,16,5,,,,,,0.06
whzy,BLG,https://www.vlr.gg/player/4885/whzy,CN,675340,268346,Pearl,bo3,,326,25,15,5,,,,,,1.67
yilai,BLG,https://www.vlr.gg/player/62947/yilai,CN,675340,268346,Pearl,bo3,,248,19,13,4,,,,,,1.46
rushia,BLG,https://www.vlr.gg/player/48878/rushia,CN,675340,268346,Pearl,bo3,,200,16,14,2,,,,,,1.14
Knight,BLG,https://www.vlr.gg/player/4774/knight,CN,675340,268346,Pearl,bo3,,135,10,13,4,,,,,,0.77
nephh,BLG,https://www.vlr.gg/player/10698/nephh,CN,675340,268346,Pearl,bo3,,128,8,11,14,,,,,,0.73
yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,CN,675340,268346,Pearl,bo3,,323,20,17,8,,,,,,1.18
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,675340,268346,Pearl,bo3,,270,21,14,4,,,,,,1.5
glacier,WOL,https://www.vlr.gg/player/49973/glacier,CN,675340,268346,Pearl,bo3,,169,11,16,3,,,,,,0.69
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,675340,268346,Pearl,bo3,,131,9,14,4,,,,,,0.64
LuXlis,WOL,https://www.vlr.gg/player/40610/luxlis,CN,675340,268346,Pearl,bo3,,70,5,17,5,,,,,,0.29
Setrod,FPX,https://www.vlr.gg/player/50025/setrod,CN,675341,268348,Ascent,bo3,,296,23,12,6,,,,,,1.92
KovaQ,FPX,https://www.vlr.gg/player/7987/kovaq,CN,675341,268348,Ascent,bo3,,227,18,13,5,,,,,,1.38
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,675341,268348,Ascent,bo3,,165,14,14,3,,,,,,1.0
Zhubibi,FPX,https://www.vlr.gg/player/58013/zhubibi,CN,675341,268348,Ascent,bo3,,140,11,17,5,,,,,,0.65
Ben1Ley,FPX,https://www.vlr.gg/player/55823/ben1ley,CN,675341,268348,Ascent,bo3,,117,11,13,8,,,,,,0.85
