Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
eKo,ZETA,https://www.vlr.gg/player/1960/eko,Pacific,673529,268050,Split,bo3,1.11,216.0,26.0,24.0,10.0,74%,148.0,26%,3.0,2.0,1.08
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Pacific,673529,268050,Split,bo3,0.99,253.0,29.0,27.0,13.0,82%,174.0,18%,3.0,5.0,1.07
Absol,ZETA,https://www.vlr.gg/player/34776/absol,Pacific,673529,268050,Split,bo3,0.96,211.0,24.0,27.0,11.0,62%,134.0,15%,4.0,6.0,0.89
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Pacific,673529,268050,Split,bo3,0.89,197.0,25.0,27.0,7.0,71%,124.0,23%,4.0,0.0,0.93
SyouTa,ZETA,https://www.vlr.gg/player/12990/syouta,Pacific,673529,268050,Split,bo3,0.82,179.0,20.0,25.0,8.0,76%,132.0,19%,4.0,3.0,0.8
Zexy,VL,https://www.vlr.gg/player/37532/zexy,Pacific,673529,268050,Split,bo3,1.38,264.0,32.0,21.0,4.0,79%,171.0,25%,5.0,2.0,1.52
oonzmlp,VL,https://www.vlr.gg/player/34926/oonzmlp,Pacific,673529,268050,Split,bo3,1.33,258.0,32.0,24.0,9.0,85%,168.0,33%,2.0,2.0,1.33
XuNa,VL,https://www.vlr.gg/player/42733/xuna,Pacific,673529,268050,Split,bo3,1.05,198.0,23.0,24.0,11.0,68%,131.0,33%,1.0,3.0,0.96
Foxy9,VL,https://www.vlr.gg/player/11600/foxy9,Pacific,673529,268050,Split,bo3,0.96,209.0,24.0,25.0,6.0,65%,150.0,30%,3.0,6.0,0.96
Klaus,VL,https://www.vlr.gg/player/4426/klaus,Pacific,673529,268050,Split,bo3,0.64,172.0,19.0,30.0,7.0,71%,109.0,19%,5.0,5.0,0.63
eKo,ZETA,https://www.vlr.gg/player/1960/eko,Pacific,673529,268051,Lotus,bo3,1.26,233.0,23.0,16.0,4.0,77%,137.0,21%,4.0,1.0,1.44
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Pacific,673529,268051,Lotus,bo3,0.9,193.0,17.0,19.0,9.0,69%,123.0,38%,1.0,2.0,0.89
Absol,ZETA,https://www.vlr.gg/player/34776/absol,Pacific,673529,268051,Lotus,bo3,0.87,226.0,20.0,20.0,6.0,69%,141.0,24%,4.0,3.0,1.0
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Pacific,673529,268051,Lotus,bo3,0.81,182.0,14.0,20.0,11.0,77%,133.0,19%,3.0,3.0,0.7
SyouTa,ZETA,https://www.vlr.gg/player/12990/syouta,Pacific,673529,268051,Lotus,bo3,0.77,185.0,18.0,19.0,4.0,58%,114.0,23%,2.0,3.0,0.95
Klaus,VL,https://www.vlr.gg/player/4426/klaus,Pacific,673529,268051,Lotus,bo3,1.33,286.0,27.0,16.0,2.0,77%,174.0,18%,5.0,7.0,1.69
Zexy,VL,https://www.vlr.gg/player/37532/zexy,Pacific,673529,268051,Lotus,bo3,1.0,215.0,21.0,22.0,2.0,62%,138.0,32%,2.0,3.0,0.95
Foxy9,VL,https://www.vlr.gg/player/11600/foxy9,Pacific,673529,268051,Lotus,bo3,0.97,203.0,16.0,18.0,5.0,73%,133.0,30%,3.0,0.0,0.89
oonzmlp,VL,https://www.vlr.gg/player/34926/oonzmlp,Pacific,673529,268051,Lotus,bo3,0.96,209.0,17.0,19.0,9.0,77%,142.0,36%,1.0,2.0,0.89
XuNa,VL,https://www.vlr.gg/player/42733/xuna,Pacific,673529,268051,Lotus,bo3,0.85,153.0,13.0,17.0,4.0,54%,103.0,32%,1.0,2.0,0.76
Karon,GEN,https://www.vlr.gg/player/34974/karon,Pacific,673530,268053,Haven,bo3,1.94,283.0,17.0,5.0,11.0,88%,175.0,23%,0.0,0.0,3.4
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Pacific,673530,268053,Haven,bo3,1.62,273.0,17.0,7.0,2.0,94%,167.0,27%,6.0,1.0,2.43
Ash,GEN,https://www.vlr.gg/player/25017/ash,Pacific,673530,268053,Haven,bo3,1.3,260.0,17.0,9.0,4.0,88%,152.0,29%,2.0,4.0,1.89
ZynX,GEN,https://www.vlr.gg/player/51099/zynx,Pacific,673530,268053,Haven,bo3,1.16,206.0,11.0,8.0,5.0,81%,143.0,27%,2.0,0.0,1.38
Lakia,GEN,https://www.vlr.gg/player/773/lakia,Pacific,673530,268053,Haven,bo3,0.98,162.0,7.0,10.0,14.0,88%,121.0,11%,0.0,1.0,0.7
kellyS,TS,https://www.vlr.gg/player/7437/kellys,Pacific,673530,268053,Haven,bo3,0.76,167.0,8.0,14.0,6.0,69%,114.0,16%,1.0,2.0,0.57
Zeus,TS,https://www.vlr.gg/player/46135/zeus,Pacific,673530,268053,Haven,bo3,0.75,200.0,11.0,14.0,1.0,81%,115.0,17%,2.0,4.0,0.79
BerserX,TS,https://www.vlr.gg/player/4874/berserx,Pacific,673530,268053,Haven,bo3,0.72,171.0,10.0,13.0,2.0,56%,113.0,32%,3.0,2.0,0.77
Sylvan,TS,https://www.vlr.gg/player/4056/sylvan,Pacific,673530,268053,Haven,bo3,0.51,103.0,5.0,13.0,5.0,50%,57.0,17%,0.0,1.0,0.38
JessieVash,TS,https://www.vlr.gg/player/2334/jessievash,Pacific,673530,268053,Haven,bo3,0.43,116.0,5.0,15.0,4.0,50%,94.0,22%,0.0,1.0,0.33
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Pacific,673530,268054,Breeze,bo3,1.24,267.0,18.0,14.0,3.0,65%,173.0,24%,6.0,5.0,1.29
Karon,GEN,https://www.vlr.gg/player/34974/karon,Pacific,673530,268054,Breeze,bo3,1.24,249.0,18.0,15.0,4.0,70%,169.0,44%,1.0,2.0,1.2
ZynX,GEN,https://www.vlr.gg/player/51099/zynx,Pacific,673530,268054,Breeze,bo3,0.55,143.0,9.0,17.0,4.0,45%,103.0,13%,1.0,0.0,0.53
Lakia,GEN,https://www.vlr.gg/player/773/lakia,Pacific,673530,268054,Breeze,bo3,0.52,107.0,6.0,15.0,4.0,50%,79.0,27%,0.0,0.0,0.4
Ash,GEN,https://www.vlr.gg/player/25017/ash,Pacific,673530,268054,Breeze,bo3,0.27,104.0,7.0,17.0,2.0,45%,61.0,27%,2.0,3.0,0.41
kellyS,TS,https://www.vlr.gg/player/7437/kellys,Pacific,673530,268054,Breeze,bo3,1.9,341.0,27.0,10.0,7.0,75%,198.0,25%,2.0,0.0,2.7
Sylvan,TS,https://www.vlr.gg/player/4056/sylvan,Pacific,673530,268054,Breeze,bo3,1.38,210.0,17.0,8.0,1.0,85%,141.0,50%,1.0,1.0,2.12
Zeus,TS,https://www.vlr.gg/player/46135/zeus,Pacific,673530,268054,Breeze,bo3,1.21,248.0,17.0,15.0,7.0,85%,164.0,33%,4.0,4.0,1.13
BerserX,TS,https://www.vlr.gg/player/4874/berserx,Pacific,673530,268054,Breeze,bo3,1.01,161.0,10.0,11.0,5.0,85%,113.0,23%,1.0,1.0,0.91
JessieVash,TS,https://www.vlr.gg/player/2334/jessievash,Pacific,673530,268054,Breeze,bo3,0.53,111.0,7.0,14.0,4.0,60%,73.0,31%,2.0,4.0,0.5
Ash,GEN,https://www.vlr.gg/player/25017/ash,Pacific,673530,268055,Lotus,bo3,1.35,264.0,20.0,14.0,0.0,57%,147.0,28%,2.0,3.0,1.43
ZynX,GEN,https://www.vlr.gg/player/51099/zynx,Pacific,673530,268055,Lotus,bo3,0.86,175.0,13.0,17.0,4.0,52%,120.0,48%,0.0,5.0,0.76
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Pacific,673530,268055,Lotus,bo3,0.7,152.0,10.0,17.0,6.0,67%,96.0,15%,2.0,3.0,0.59
Lakia,GEN,https://www.vlr.gg/player/773/lakia,Pacific,673530,268055,Lotus,bo3,0.64,133.0,11.0,18.0,3.0,62%,88.0,23%,0.0,1.0,0.61
Karon,GEN,https://www.vlr.gg/player/34974/karon,Pacific,673530,268055,Lotus,bo3,0.53,92.0,4.0,17.0,11.0,67%,67.0,31%,2.0,3.0,0.24
BerserX,TS,https://www.vlr.gg/player/4874/berserx,Pacific,673530,268055,Lotus,bo3,1.51,264.0,20.0,9.0,7.0,81%,170.0,57%,4.0,2.0,2.22
Zeus,TS,https://www.vlr.gg/player/46135/zeus,Pacific,673530,268055,Lotus,bo3,1.28,282.0,22.0,12.0,2.0,86%,185.0,29%,5.0,2.0,1.83
Sylvan,TS,https://www.vlr.gg/player/4056/sylvan,Pacific,673530,268055,Lotus,bo3,1.23,189.0,14.0,11.0,15.0,95%,135.0,26%,2.0,0.0,1.27
kellyS,TS,https://www.vlr.gg/player/7437/kellys,Pacific,673530,268055,Lotus,bo3,1.19,228.0,16.0,12.0,7.0,90%,163.0,29%,2.0,0.0,1.33
JessieVash,TS,https://www.vlr.gg/player/2334/jessievash,Pacific,673530,268055,Lotus,bo3,0.69,132.0,11.0,14.0,2.0,76%,72.0,25%,2.0,2.0,0.79
XuNa,VL,https://www.vlr.gg/player/42733/xuna,Pacific,673531,268056,Split,bo3,1.23,263.0,23.0,16.0,3.0,67%,182.0,35%,2.0,2.0,1.44
oonzmlp,VL,https://www.vlr.gg/player/34926/oonzmlp,Pacific,673531,268056,Split,bo3,1.16,186.0,16.0,14.0,9.0,79%,140.0,35%,1.0,3.0,1.14
Foxy9,VL,https://www.vlr.gg/player/11600/foxy9,Pacific,673531,268056,Split,bo3,0.81,186.0,16.0,19.0,5.0,63%,117.0,47%,1.0,4.0,0.84
Zexy,VL,https://www.vlr.gg/player/37532/zexy,Pacific,673531,268056,Split,bo3,0.77,185.0,14.0,19.0,2.0,67%,132.0,27%,2.0,2.0,0.74
Klaus,VL,https://www.vlr.gg/player/4426/klaus,Pacific,673531,268056,Split,bo3,0.31,114.0,8.0,20.0,4.0,71%,70.0,12%,1.0,6.0,0.4
Zeus,TS,https://www.vlr.gg/player/46135/zeus,Pacific,673531,268056,Split,bo3,1.66,335.0,28.0,16.0,3.0,88%,199.0,35%,6.0,1.0,1.75
Sylvan,TS,https://www.vlr.gg/player/4056/sylvan,Pacific,673531,268056,Split,bo3,1.1,198.0,18.0,15.0,7.0,79%,118.0,35%,1.0,2.0,1.2
BerserX,TS,https://www.vlr.gg/player/4874/berserx,Pacific,673531,268056,Split,bo3,1.02,167.0,14.0,13.0,6.0,79%,102.0,17%,3.0,1.0,1.08
kellyS,TS,https://www.vlr.gg/player/7437/kellys,Pacific,673531,268056,Split,bo3,0.96,191.0,16.0,18.0,7.0,75%,121.0,20%,5.0,3.0,0.89
JessieVash,TS,https://www.vlr.gg/player/2334/jessievash,Pacific,673531,268056,Split,bo3,0.9,158.0,12.0,15.0,8.0,83%,109.0,18%,2.0,0.0,0.8
XuNa,VL,https://www.vlr.gg/player/42733/xuna,Pacific,673531,268057,Lotus,bo3,1.2,211.0,26.0,19.0,1.0,69%,144.0,28%,1.0,3.0,1.37
Zexy,VL,https://www.vlr.gg/player/37532/zexy,Pacific,673531,268057,Lotus,bo3,1.05,191.0,22.0,21.0,4.0,72%,129.0,19%,2.0,2.0,1.05
Klaus,VL,https://www.vlr.gg/player/4426/klaus,Pacific,673531,268057,Lotus,bo3,0.85,177.0,20.0,23.0,8.0,75%,125.0,41%,2.0,5.0,0.87
Foxy9,VL,https://www.vlr.gg/player/11600/foxy9,Pacific,673531,268057,Lotus,bo3,0.85,238.0,24.0,25.0,10.0,72%,145.0,14%,7.0,5.0,0.96
oonzmlp,VL,https://www.vlr.gg/player/34926/oonzmlp,Pacific,673531,268057,Lotus,bo3,0.79,170.0,17.0,23.0,9.0,72%,106.0,23%,2.0,3.0,0.74
kellyS,TS,https://www.vlr.gg/player/7437/kellys,Pacific,673531,268057,Lotus,bo3,1.43,294.0,30.0,21.0,15.0,84%,205.0,17%,6.0,2.0,1.43
Zeus,TS,https://www.vlr.gg/player/46135/zeus,Pacific,673531,268057,Lotus,bo3,1.24,273.0,29.0,24.0,7.0,78%,182.0,24%,7.0,8.0,1.21
BerserX,TS,https://www.vlr.gg/player/4874/berserx,Pacific,673531,268057,Lotus,bo3,1.13,198.0,24.0,18.0,7.0,69%,126.0,17%,2.0,1.0,1.33
Sylvan,TS,https://www.vlr.gg/player/4056/sylvan,Pacific,673531,268057,Lotus,bo3,0.74,139.0,15.0,23.0,10.0,66%,89.0,28%,2.0,2.0,0.65
JessieVash,TS,https://www.vlr.gg/player/2334/jessievash,Pacific,673531,268057,Lotus,bo3,0.69,123.0,13.0,23.0,12.0,78%,89.0,28%,1.0,1.0,0.57
Foxy9,VL,https://www.vlr.gg/player/11600/foxy9,Pacific,673531,268058,Fracture,bo3,1.21,250.0,26.0,21.0,5.0,82%,151.0,24%,2.0,1.0,1.24
XuNa,VL,https://www.vlr.gg/player/42733/xuna,Pacific,673531,268058,Fracture,bo3,1.17,177.0,17.0,18.0,21.0,86%,111.0,30%,0.0,2.0,0.94
Klaus,VL,https://www.vlr.gg/player/4426/klaus,Pacific,673531,268058,Fracture,bo3,1.12,249.0,24.0,21.0,4.0,71%,170.0,33%,4.0,5.0,1.14
oonzmlp,VL,https://www.vlr.gg/player/34926/oonzmlp,Pacific,673531,268058,Fracture,bo3,0.99,191.0,19.0,19.0,10.0,71%,129.0,24%,2.0,3.0,1.0
Zexy,VL,https://www.vlr.gg/player/37532/zexy,Pacific,673531,268058,Fracture,bo3,0.66,179.0,16.0,22.0,4.0,61%,120.0,18%,3.0,6.0,0.73
Zeus,TS,https://www.vlr.gg/player/46135/zeus,Pacific,673531,268058,Fracture,bo3,1.51,323.0,34.0,19.0,5.0,82%,194.0,15%,8.0,5.0,1.79
kellyS,TS,https://www.vlr.gg/player/7437/kellys,Pacific,673531,268058,Fracture,bo3,1.39,225.0,26.0,17.0,8.0,79%,142.0,19%,4.0,1.0,1.53
Sylvan,TS,https://www.vlr.gg/player/4056/sylvan,Pacific,673531,268058,Fracture,bo3,0.9,218.0,17.0,22.0,21.0,82%,144.0,25%,3.0,2.0,0.77
BerserX,TS,https://www.vlr.gg/player/4874/berserx,Pacific,673531,268058,Fracture,bo3,0.56,115.0,10.0,20.0,8.0,61%,79.0,8%,2.0,3.0,0.5
JessieVash,TS,https://www.vlr.gg/player/2334/jessievash,Pacific,673531,268058,Fracture,bo3,0.52,149.0,14.0,24.0,8.0,75%,97.0,18%,0.0,0.0,0.58
eKo,ZETA,https://www.vlr.gg/player/1960/eko,Pacific,673533,268062,Ascent,bo3,1.29,253.0,15.0,15.0,8.0,74%,171.0,31%,5.0,0.0,1.0
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Pacific,673533,268062,Ascent,bo3,1.09,213.0,15.0,14.0,2.0,68%,126.0,21%,2.0,2.0,1.07
SyouTa,ZETA,https://www.vlr.gg/player/12990/syouta,Pacific,673533,268062,Ascent,bo3,0.91,179.0,12.0,15.0,6.0,58%,125.0,31%,1.0,1.0,0.8
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Pacific,673533,268062,Ascent,bo3,0.62,141.0,9.0,16.0,7.0,68%,103.0,18%,0.0,1.0,0.56
Absol,ZETA,https://www.vlr.gg/player/34776/absol,Pacific,673533,268062,Ascent,bo3,0.47,158.0,9.0,18.0,5.0,53%,109.0,12%,3.0,4.0,0.5
ZynX,GEN,https://www.vlr.gg/player/51099/zynx,Pacific,673533,268062,Ascent,bo3,1.47,254.0,19.0,11.0,3.0,79%,176.0,32%,0.0,0.0,1.73
Lakia,GEN,https://www.vlr.gg/player/773/lakia,Pacific,673533,268062,Ascent,bo3,1.25,249.0,15.0,10.0,12.0,74%,184.0,39%,1.0,2.0,1.5
