Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
NoMan,XLG,https://www.vlr.gg/player/11527/noman,International,684613,270746,PearlPICK,bo3,1.17,236,15,14,2,68%,139,52%,2,3,1.07
Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,International,684613,270746,PearlPICK,bo3,0.88,173,12,15,8,68%,116,23%,0,1,0.8
happywei,XLG,https://www.vlr.gg/player/37927/happywei,International,684613,270746,PearlPICK,bo3,0.8,168,12,16,2,68%,110,38%,2,1,0.75
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,International,684613,270746,PearlPICK,bo3,0.76,172,11,15,5,68%,116,50%,3,2,0.73
WsLeo,XLG,https://www.vlr.gg/player/24308/wsleo,International,684613,270746,PearlPICK,bo3,0.59,148,8,15,7,68%,104,16%,1,4,0.53
keiko,NRG,https://www.vlr.gg/player/11494/keiko,International,684613,270746,PearlPICK,bo3,1.69,352,26,14,3,84%,211,25%,2,0,1.86
brawk,NRG,https://www.vlr.gg/player/2172/brawk,International,684613,270746,PearlPICK,bo3,1.33,215,11,9,12,89%,173,25%,1,0,1.22
mada,NRG,https://www.vlr.gg/player/5132/mada,International,684613,270746,PearlPICK,bo3,1.04,211,17,11,2,63%,143,34%,4,4,1.55
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,International,684613,270746,PearlPICK,bo3,0.92,196,13,13,4,84%,126,26%,3,4,1.0
skuba,NRG,https://www.vlr.gg/player/11118/skuba,International,684613,270746,PearlPICK,bo3,0.89,140,8,11,8,68%,94,19%,1,0,0.73
happywei,XLG,https://www.vlr.gg/player/37927/happywei,International,684613,270747,LotusPICK,bo3,1.17,252,22,17,4,79%,159,31%,4,0,1.29
WsLeo,XLG,https://www.vlr.gg/player/24308/wsleo,International,684613,270747,LotusPICK,bo3,1.06,233,18,19,10,71%,156,24%,3,3,0.95
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,International,684613,270747,LotusPICK,bo3,0.86,148,14,16,7,79%,89,34%,1,3,0.88
Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,International,684613,270747,LotusPICK,bo3,0.82,160,14,18,11,75%,111,22%,2,0,0.78
NoMan,XLG,https://www.vlr.gg/player/11527/noman,International,684613,270747,LotusPICK,bo3,0.67,147,12,16,6,63%,90,24%,3,4,0.75
keiko,NRG,https://www.vlr.gg/player/11494/keiko,International,684613,270747,LotusPICK,bo3,1.97,388,34,15,5,75%,244,36%,5,1,2.27
skuba,NRG,https://www.vlr.gg/player/11118/skuba,International,684613,270747,LotusPICK,bo3,0.93,150,12,14,9,75%,107,20%,1,3,0.86
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,International,684613,270747,LotusPICK,bo3,0.79,171,14,18,11,67%,110,18%,1,4,0.78
mada,NRG,https://www.vlr.gg/player/5132/mada,International,684613,270747,LotusPICK,bo3,0.78,157,13,16,6,75%,105,19%,2,4,0.81
brawk,NRG,https://www.vlr.gg/player/2172/brawk,International,684613,270747,LotusPICK,bo3,0.75,173,13,17,9,58%,119,11%,1,1,0.76
Derke,VIT,https://www.vlr.gg/player/5022/derke,International,684610,270737,LotusPICK,bo3,1.51,276,19,10,3,78%,180,38%,5,1,1.9
Sayonara,VIT,https://www.vlr.gg/player/33902/sayonara,International,684610,270737,LotusPICK,bo3,1.42,294,19,10,6,78%,180,19%,4,1,1.9
PROFEK,VIT,https://www.vlr.gg/player/5554/profek,International,684610,270737,LotusPICK,bo3,1.24,213,14,8,5,72%,141,25%,3,0,1.75
Jamppi,VIT,https://www.vlr.gg/player/9780/jamppi,International,684610,270737,LotusPICK,bo3,1.22,207,13,9,7,94%,151,24%,2,1,1.44
Chronicle,VIT,https://www.vlr.gg/player/458/chronicle,International,684610,270737,LotusPICK,bo3,1.0,177,13,8,4,78%,111,25%,0,1,1.62
