Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
Minny,M8,https://www.vlr.gg/player/23169/minny,EMEA,625788,254143,HavenPICK,bo1,1.33,241,21,16,5,1.31,71%,163,42%,1,1
starxo,M8,https://www.vlr.gg/player/565/starxo,EMEA,625788,254143,HavenPICK,bo1,1.07,207,17,15,4,1.13,58%,125,26%,4,5
marteen,M8,https://www.vlr.gg/player/10307/marteen,EMEA,625788,254143,HavenPICK,bo1,0.94,164,12,15,7,0.8,63%,107,26%,2,4
bipo,M8,https://www.vlr.gg/player/18400/bipo,EMEA,625788,254143,HavenPICK,bo1,0.93,162,14,13,6,1.08,63%,104,21%,2,4
GLYPH,M8,https://www.vlr.gg/player/8286/glyph,EMEA,625788,254143,HavenPICK,bo1,0.85,114,10,15,8,0.67,54%,73,25%,1,0
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,625788,254143,HavenPICK,bo1,1.21,240,21,14,1,1.5,67%,153,28%,6,2
cb,EDG,https://www.vlr.gg/player/39697/cb,CN,625788,254143,HavenPICK,bo1,0.93,204,19,15,0,1.27,71%,128,33%,3,2
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,625788,254143,HavenPICK,bo1,0.92,147,13,14,3,0.93,50%,101,18%,0,2
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,625788,254143,HavenPICK,bo1,0.81,148,10,16,9,0.62,71%,104,23%,3,2
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,625788,254143,HavenPICK,bo1,0.80,146,11,15,5,0.73,58%,106,21%,2,2
marteen,M8,https://www.vlr.gg/player/10307/marteen,EMEA,625788,254144,PearlPICK,bo1,1.70,288,20,9,10,2.22,85%,191,33%,2,2
GLYPH,M8,https://www.vlr.gg/player/8286/glyph,EMEA,625788,254144,PearlPICK,bo1,1.46,291,20,13,14,1.54,95%,185,23%,1,0
Minny,M8,https://www.vlr.gg/player/23169/minny,EMEA,625788,254144,PearlPICK,bo1,1.22,216,16,11,4,1.45,80%,120,29%,2,2
starxo,M8,https://www.vlr.gg/player/565/starxo,EMEA,625788,254144,PearlPICK,bo1,0.95,129,7,10,11,0.7,75%,91,15%,0,1
bipo,M8,https://www.vlr.gg/player/18400/bipo,EMEA,625788,254144,PearlPICK,bo1,0.73,146,11,14,2,0.79,65%,92,23%,5,5
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,625788,254144,PearlPICK,bo1,0.94,169,13,14,2,0.93,65%,114,31%,2,2
cb,EDG,https://www.vlr.gg/player/39697/cb,CN,625788,254144,PearlPICK,bo1,0.90,203,15,16,1,0.94,70%,136,33%,3,1
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,625788,254144,PearlPICK,bo1,0.86,159,12,13,4,0.92,75%,102,37%,1,1
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,625788,254144,PearlPICK,bo1,0.72,147,11,15,2,0.73,50%,94,52%,3,5
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,625788,254144,PearlPICK,bo1,0.46,121,6,16,4,0.38,40%,80,10%,1,1
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,625791,254152,HavenPICK,bo1,0.90,255,11,12,1,0.92,53%,186,17%,3,0
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,625791,254152,HavenPICK,bo1,0.47,189,9,13,1,0.69,47%,111,25%,0,4
NoMan,XLG,https://www.vlr.gg/player/11527/noman,CN,625791,254152,HavenPICK,bo1,0.43,119,5,13,2,0.38,47%,71,29%,1,3
Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,CN,625791,254152,HavenPICK,bo1,0.41,74,3,12,6,0.25,67%,49,12%,0,2
WsLeo,XLG,https://www.vlr.gg/player/24308/wsleo,CN,625791,254152,HavenPICK,bo1,0.33,78,4,12,1,0.33,47%,53,5%,0,2
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,625791,254152,HavenPICK,bo1,1.75,304,17,7,4,2.43,93%,179,23%,5,2
keiko,NRG,https://www.vlr.gg/player/11494/keiko,Americas,625791,254152,HavenPICK,bo1,1.58,213,12,4,7,3.0,100%,123,25%,1,0
skuba,NRG,https://www.vlr.gg/player/11118/skuba,Americas,625791,254152,HavenPICK,bo1,1.44,244,14,7,4,2.0,93%,159,14%,4,0
brawk,NRG,https://www.vlr.gg/player/2172/brawk,Americas,625791,254152,HavenPICK,bo1,1.26,200,10,8,6,1.25,80%,138,19%,0,0
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,625791,254152,HavenPICK,bo1,1.17,155,9,6,8,1.5,87%,86,15%,1,2
Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,CN,625791,254153,AbyssPICK,bo1,1.24,225,21,14,5,1.5,91%,141,40%,0,1
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,625791,254153,AbyssPICK,bo1,1.03,178,15,14,9,1.07,74%,111,25%,2,2
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,625791,254153,AbyssPICK,bo1,0.94,241,19,20,7,0.95,83%,161,29%,7,2
WsLeo,XLG,https://www.vlr.gg/player/24308/wsleo,CN,625791,254153,AbyssPICK,bo1,0.84,169,13,16,9,0.81,83%,111,36%,2,1
NoMan,XLG,https://www.vlr.gg/player/11527/noman,CN,625791,254153,AbyssPICK,bo1,0.76,131,13,16,1,0.81,78%,94,52%,3,2
keiko,NRG,https://www.vlr.gg/player/11494/keiko,Americas,625791,254153,AbyssPICK,bo1,1.29,284,23,17,5,1.35,74%,178,48%,4,1
brawk,NRG,https://www.vlr.gg/player/2172/brawk,Americas,625791,254153,AbyssPICK,bo1,1.02,209,17,17,6,1.0,74%,145,23%,1,1
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,625791,254153,AbyssPICK,bo1,0.96,136,10,14,8,0.71,65%,98,18%,1,2
skuba,NRG,https://www.vlr.gg/player/11118/skuba,Americas,625791,254153,AbyssPICK,bo1,0.81,141,13,16,3,0.81,70%,92,43%,0,5
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,625791,254153,AbyssPICK,bo1,0.68,165,12,19,5,0.63,78%,104,29%,2,5
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,625790,254149,SplitPICK,bo1,1.26,254,20,16,5,1.25,64%,156,27%,3,1
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,625790,254149,SplitPICK,bo1,1.21,245,18,15,10,1.2,91%,167,29%,0,1
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,625790,254149,SplitPICK,bo1,1.04,187,16,14,4,1.14,64%,122,25%,3,1
jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,Americas,625790,254149,SplitPICK,bo1,0.65,189,15,20,3,0.75,77%,115,27%,4,6
BABYBAY,G2,https://www.vlr.gg/player/2170/babybay,Americas,625790,254149,SplitPICK,bo1,0.56,124,9,17,6,0.53,59%,91,12%,0,3
invy,PRX,https://www.vlr.gg/player/8504/invy,Pacific,625790,254149,SplitPICK,bo1,1.26,226,17,14,3,1.21,73%,159,28%,3,0
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,625790,254149,SplitPICK,bo1,1.18,235,18,15,8,1.2,82%,163,25%,2,1
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,625790,254149,SplitPICK,bo1,1.11,218,17,15,7,1.13,68%,168,30%,2,3
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,625790,254149,SplitPICK,bo1,1.00,191,17,16,1,1.06,55%,118,29%,2,2
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,625790,254149,SplitPICK,bo1,0.69,166,13,18,1,0.72,64%,116,23%,3,4
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,625790,254150,CorrodePICK,bo1,1.12,218,13,14,9,0.93,72%,152,35%,2,0
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,625790,254150,CorrodePICK,bo1,1.03,190,11,14,12,0.79,72%,121,29%,0,2
