Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Neon,LEV,https://www.vlr.gg/player/29243/neon,Americas,706349,275064,HavenPICK,bo3,1.37,213,19,10,2,81%,155,33%,1,1,1.9
blowz,LEV,https://www.vlr.gg/player/21251/blowz,Americas,706349,275064,HavenPICK,bo3,1.22,220,15,13,11,86%,154,32%,2,0,1.15
Sato,LEV,https://www.vlr.gg/player/21659/sato,Americas,706349,275064,HavenPICK,bo3,1.13,246,16,16,11,86%,172,39%,1,2,1.0
spike,LEV,https://www.vlr.gg/player/21661/spike,Americas,706349,275064,HavenPICK,bo3,1.02,247,19,16,3,71%,156,34%,6,5,1.19
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Americas,706349,275064,HavenPICK,bo3,0.82,136,10,12,8,76%,82,31%,2,1,0.83
eeiu,FUR,https://www.vlr.gg/player/796/eeiu,Americas,706349,275064,HavenPICK,bo3,1.46,283,21,14,7,86%,196,19%,1,0,1.5
basic,FUR,https://www.vlr.gg/player/37354/basic,Americas,706349,275064,HavenPICK,bo3,1.34,201,16,12,7,71%,130,18%,2,1,1.33
koalanoob,FUR,https://www.vlr.gg/player/3722/koalanoob,Americas,706349,275064,HavenPICK,bo3,0.70,169,11,17,3,71%,107,21%,3,3,0.65
Shyy,FUR,https://www.vlr.gg/player/24007/shyy,Americas,706349,275064,HavenPICK,bo3,0.57,135,9,18,4,62%,96,27%,2,1,0.5
artzin,FUR,https://www.vlr.gg/player/5957/artzin,Americas,706349,275064,HavenPICK,bo3,0.55,173,10,18,8,62%,128,18%,1,7,0.56
Sato,LEV,https://www.vlr.gg/player/21659/sato,Americas,706349,275065,SunsetPICK,bo3,0.95,256,12,14,2,50%,157,41%,1,2,0.86
Neon,LEV,https://www.vlr.gg/player/29243/neon,Americas,706349,275065,SunsetPICK,bo3,0.95,193,10,13,3,71%,124,21%,0,0,0.77
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Americas,706349,275065,SunsetPICK,bo3,0.66,143,6,13,7,64%,97,40%,1,1,0.46
blowz,LEV,https://www.vlr.gg/player/21251/blowz,Americas,706349,275065,SunsetPICK,bo3,0.36,98,5,13,1,43%,63,45%,0,1,0.38
spike,LEV,https://www.vlr.gg/player/21661/spike,Americas,706349,275065,SunsetPICK,bo3,0.35,146,6,14,2,50%,94,12%,3,5,0.43
basic,FUR,https://www.vlr.gg/player/37354/basic,Americas,706349,275065,SunsetPICK,bo3,2.08,367,20,6,9,100%,215,18%,1,1,3.33
Shyy,FUR,https://www.vlr.gg/player/24007/shyy,Americas,706349,275065,SunsetPICK,bo3,1.40,252,14,7,1,93%,162,48%,2,0,2.0
eeiu,FUR,https://www.vlr.gg/player/796/eeiu,Americas,706349,275065,SunsetPICK,bo3,1.31,247,15,7,4,93%,155,26%,2,1,2.14
koalanoob,FUR,https://www.vlr.gg/player/3722/koalanoob,Americas,706349,275065,SunsetPICK,bo3,0.99,235,11,10,2,86%,173,28%,4,1,1.1
artzin,FUR,https://www.vlr.gg/player/5957/artzin,Americas,706349,275065,SunsetPICK,bo3,0.60,142,7,9,7,86%,105,18%,0,2,0.78
Neon,LEV,https://www.vlr.gg/player/29243/neon,Americas,706349,275066,Split,bo3,1.61,268,20,10,9,90%,159,24%,4,0,2.0
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Americas,706349,275066,Split,bo3,1.29,214,17,10,3,71%,156,31%,2,1,1.7
Sato,LEV,https://www.vlr.gg/player/21659/sato,Americas,706349,275066,Split,bo3,1.25,293,22,17,7,67%,190,56%,4,2,1.29
blowz,LEV,https://www.vlr.gg/player/21251/blowz,Americas,706349,275066,Split,bo3,0.92,128,10,12,7,76%,89,18%,1,1,0.83
spike,LEV,https://www.vlr.gg/player/21661/spike,Americas,706349,275066,Split,bo3,0.64,166,11,15,5,76%,117,28%,2,4,0.73
Shyy,FUR,https://www.vlr.gg/player/24007/shyy,Americas,706349,275066,Split,bo3,1.27,247,18,15,5,76%,169,35%,1,2,1.2
koalanoob,FUR,https://www.vlr.gg/player/3722/koalanoob,Americas,706349,275066,Split,bo3,0.99,221,15,16,2,57%,143,22%,3,4,0.94
eeiu,FUR,https://www.vlr.gg/player/796/eeiu,Americas,706349,275066,Split,bo3,0.79,145,9,15,14,76%,89,18%,1,1,0.6
basic,FUR,https://www.vlr.gg/player/37354/basic,Americas,706349,275066,Split,bo3,0.75,146,10,17,11,71%,100,41%,2,1,0.59
artzin,FUR,https://www.vlr.gg/player/5957/artzin,Americas,706349,275066,Split,bo3,0.57,164,12,17,4,67%,115,24%,1,5,0.71
cortezia,SEN,https://www.vlr.gg/player/5395/cortezia,Americas,706350,275067,SummitPICK,bo3,1.88,396,25,10,10,88%,245,45%,1,0,2.5
JonahP,SEN,https://www.vlr.gg/player/4581/jonahp,Americas,706350,275067,SummitPICK,bo3,1.46,226,14,8,8,88%,167,27%,1,2,1.75
Jerrwin,SEN,https://www.vlr.gg/player/34057/jerrwin,Americas,706350,275067,SummitPICK,bo3,1.17,188,13,10,3,76%,118,30%,3,1,1.3
Reduxx,SEN,https://www.vlr.gg/player/8419/reduxx,Americas,706350,275067,SummitPICK,bo3,1.00,168,12,9,4,76%,101,32%,4,2,1.33
Marved,SEN,https://www.vlr.gg/player/263/marved,Americas,706350,275067,SummitPICK,bo3,0.95,148,7,9,14,94%,100,30%,1,1,0.78
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,706350,275067,SummitPICK,bo3,0.82,198,12,16,2,65%,122,20%,1,8,0.75
Jackk,C9,https://www.vlr.gg/player/44842/jackk,Americas,706350,275067,SummitPICK,bo3,0.81,162,9,15,5,65%,124,32%,1,0,0.6
