MatchID,MapNum,WinnerOrg,Score,MatchName
167348,113040,NRG,13-11,Bracket Stage: Alpha - Round of 16
167348,113041,NRG,13-9,Bracket Stage: Alpha - Round of 16
167348,all,NRG,2-0,Bracket Stage: Alpha - Round of 16
167349,113043,GIA,13-4,Bracket Stage: Alpha - Round of 16
167349,113044,GIA,13-7,Bracket Stage: Alpha - Round of 16
167349,all,GIA,2-0,Bracket Stage: Alpha - Round of 16
167350,113046,LOUD,13-9,Bracket Stage: Alpha - Round of 16
167350,113047,LOUD,14-12,Bracket Stage: Alpha - Round of 16
167350,all,LOUD,2-0,Bracket Stage: Alpha - Round of 16
167351,113049,KC,13-6,Bracket Stage: Alpha - Round of 16
167351,113050,FPX,13-8,Bracket Stage: Alpha - Round of 16
167351,113051,KC,13-6,Bracket Stage: Alpha - Round of 16
167351,all,KC,2-1,Bracket Stage: Alpha - Round of 16
167352,113052,KRX,13-3,Bracket Stage: Alpha - Round of 16
167352,113053,BBL,13-11,Bracket Stage: Alpha - Round of 16
167352,113054,KRX,13-7,Bracket Stage: Alpha - Round of 16
167352,all,KRX,2-1,Bracket Stage: Alpha - Round of 16
167353,113055,C9,13-8,Bracket Stage: Alpha - Round of 16
167353,113056,C9,13-4,Bracket Stage: Alpha - Round of 16
167353,all,C9,2-0,Bracket Stage: Alpha - Round of 16
167354,113058,EG,13-8,Bracket Stage: Alpha - Round of 16
167354,113059,EG,13-8,Bracket Stage: Alpha - Round of 16
167354,all,EG,2-0,Bracket Stage: Alpha - Round of 16
167355,113061,TLN,13-8,Bracket Stage: Alpha - Round of 16
167355,113062,TLN,13-11,Bracket Stage: Alpha - Round of 16
167355,all,TLN,2-0,Bracket Stage: Alpha - Round of 16
167356,113064,GIA,14-12,Bracket Stage: Alpha - Quarterfinals
167356,113065,NRG,13-1,Bracket Stage: Alpha - Quarterfinals
167356,113066,NRG,13-7,Bracket Stage: Alpha - Quarterfinals
167356,all,NRG,2-1,Bracket Stage: Alpha - Quarterfinals
167357,113067,LOUD,13-10,Bracket Stage: Alpha - Quarterfinals
167357,113068,LOUD,13-8,Bracket Stage: Alpha - Quarterfinals
167357,all,LOUD,2-0,Bracket Stage: Alpha - Quarterfinals
167358,113070,C9,13-3,Bracket Stage: Alpha - Quarterfinals
167358,113071,KRX,13-7,Bracket Stage: Alpha - Quarterfinals
167358,113072,KRX,13-2,Bracket Stage: Alpha - Quarterfinals
167358,all,KRX,2-1,Bracket Stage: Alpha - Quarterfinals
167359,113073,TLN,13-11,Bracket Stage: Alpha - Quarterfinals
167359,113074,TLN,13-10,Bracket Stage: Alpha - Quarterfinals
167359,all,TLN,2-0,Bracket Stage: Alpha - Quarterfinals
167360,113076,LOUD,13-3,Bracket Stage: Alpha - Semifinals
167360,113077,NRG,15-13,Bracket Stage: Alpha - Semifinals
167360,113078,LOUD,18-16,Bracket Stage: Alpha - Semifinals
167360,all,LOUD,2-1,Bracket Stage: Alpha - Semifinals
167361,113079,TLN,13-10,Bracket Stage: Alpha - Semifinals
167361,113080,KRX,13-6,Bracket Stage: Alpha - Semifinals
167361,113081,KRX,13-10,Bracket Stage: Alpha - Semifinals
167361,all,KRX,2-1,Bracket Stage: Alpha - Semifinals
167362,113082,TS,13-8,Bracket Stage: Omega - Round of 16
167362,113083,TS,13-7,Bracket Stage: Omega - Round of 16
167362,all,TS,2-0,Bracket Stage: Omega - Round of 16
167363,113085,NAVI,13-5,Bracket Stage: Omega - Round of 16
167363,113086,NAVI,13-10,Bracket Stage: Omega - Round of 16
167363,all,NAVI,2-0,Bracket Stage: Omega - Round of 16
167364,113088,LEV,13-4,Bracket Stage: Omega - Round of 16
167364,113089,LEV,13-11,Bracket Stage: Omega - Round of 16
167364,all,LEV,2-0,Bracket Stage: Omega - Round of 16
167365,113091,VIT,13-4,Bracket Stage: Omega - Round of 16
167365,113092,GE,13-9,Bracket Stage: Omega - Round of 16
167365,113093,VIT,13-6,Bracket Stage: Omega - Round of 16
167365,all,VIT,2-1,Bracket Stage: Omega - Round of 16
167366,113094,FUT,13-3,Bracket Stage: Omega - Round of 16
167366,113095,FUT,13-11,Bracket Stage: Omega - Round of 16
167366,all,FUT,2-0,Bracket Stage: Omega - Round of 16
167367,113097,100T,13-10,Bracket Stage: Omega - Round of 16
167367,113098,EDG,13-9,Bracket Stage: Omega - Round of 16
167367,113099,100T,14-12,Bracket Stage: Omega - Round of 16
167367,all,100T,2-1,Bracket Stage: Omega - Round of 16
167368,113100,FNC,13-6,Bracket Stage: Omega - Round of 16
167368,113101,FNC,13-7,Bracket Stage: Omega - Round of 16
167368,all,FNC,2-0,Bracket Stage: Omega - Round of 16
167369,113103,FUR,13-7,Bracket Stage: Omega - Round of 16
167369,113104,FUR,13-5,Bracket Stage: Omega - Round of 16
167369,all,FUR,2-0,Bracket Stage: Omega - Round of 16
167370,113106,NAVI,13-8,Bracket Stage: Omega - Quarterfinals
167370,113107,NAVI,13-4,Bracket Stage: Omega - Quarterfinals
167370,all,NAVI,2-0,Bracket Stage: Omega - Quarterfinals
167371,113109,LEV,16-14,Bracket Stage: Omega - Quarterfinals
167371,113110,LEV,13-3,Bracket Stage: Omega - Quarterfinals
167371,all,LEV,2-0,Bracket Stage: Omega - Quarterfinals
167372,113112,FUT,13-9,Bracket Stage: Omega - Quarterfinals
167372,113113,100T,13-11,Bracket Stage: Omega - Quarterfinals
167372,113114,100T,13-8,Bracket Stage: Omega - Quarterfinals
167372,all,100T,2-1,Bracket Stage: Omega - Quarterfinals
167373,113115,FNC,18-16,Bracket Stage: Omega - Quarterfinals
167373,113116,FNC,13-9,Bracket Stage: Omega - Quarterfinals
167373,all,FNC,2-0,Bracket Stage: Omega - Quarterfinals
167374,113118,NAVI,13-10,Bracket Stage: Omega - Semifinals
167374,113119,NAVI,13-2,Bracket Stage: Omega - Semifinals
167374,all,NAVI,2-0,Bracket Stage: Omega - Semifinals
167375,113121,FNC,13-1,Bracket Stage: Omega - Semifinals
167375,113122,FNC,13-10,Bracket Stage: Omega - Semifinals
167375,all,FNC,2-0,Bracket Stage: Omega - Semifinals
167391,113124,LOUD,13-5,Playoffs: Semifinals
167391,113125,LOUD,13-8,Playoffs: Semifinals
167391,113126,KRX,13-7,Playoffs: Semifinals
167391,113127,KRX,13-7,Playoffs: Semifinals
167391,113128,LOUD,13-8,Playoffs: Semifinals
167391,all,LOUD,3-2,Playoffs: Semifinals
167392,113129,FNC,13-11,Playoffs: Semifinals
167392,113130,FNC,13-4,Playoffs: Semifinals
167392,113131,FNC,13-11,Playoffs: Semifinals
167392,all,FNC,3-0,Playoffs: Semifinals
167393,113134,FNC,13-8,Playoffs: Grand Final
167393,113135,FNC,13-7,Playoffs: Grand Final
167393,113136,LOUD,13-9,Playoffs: Grand Final
167393,113137,LOUD,13-8,Playoffs: Grand Final
167393,113138,FNC,14-12,Playoffs: Grand Final
167393,all,FNC,3-2,Playoffs: Grand Final
173214,117161,FNC,13-3,Regular Season: Week 1
173214,117162,FNC,13-11,Regular Season: Week 1
173214,all,FNC,2-0,Regular Season: Week 1
173215,117164,MKOI,13-7,Regular Season: Week 1
173215,117165,MKOI,20-18,Regular Season: Week 1
173215,all,MKOI,2-0,Regular Season: Week 1
173216,117167,FUT,13-4,Regular Season: Week 1
173216,117168,FUT,13-9,Regular Season: Week 1
173216,all,FUT,2-0,Regular Season: Week 1
173217,117170,VIT,13-6,Regular Season: Week 1
173217,117171,TL,13-2,Regular Season: Week 1
173217,117172,VIT,13-10,Regular Season: Week 1
173217,all,VIT,2-1,Regular Season: Week 1
173218,117173,GIA,17-15,Regular Season: Week 1
173218,117174,NAVI,15-13,Regular Season: Week 1
173218,117175,NAVI,13-7,Regular Season: Week 1
173218,all,NAVI,2-1,Regular Season: Week 1
173219,117176,KC,19-17,Regular Season: Week 1
173219,117177,KC,13-11,Regular Season: Week 1
173219,all,KC,2-0,Regular Season: Week 1
173220,117179,FUT,13-10,Regular Season: Week 1
173220,117180,TL,13-6,Regular Season: Week 1
173220,117181,TL,13-6,Regular Season: Week 1
173220,all,TL,2-1,Regular Season: Week 1
173221,117182,VIT,13-9,Regular Season: Week 1
173221,117183,VIT,15-13,Regular Season: Week 1
173221,all,VIT,2-0,Regular Season: Week 1
173222,117185,BBL,13-6,Regular Season: Week 1
173222,117186,FNC,13-9,Regular Season: Week 1
173222,117187,FNC,13-11,Regular Season: Week 1
173222,all,FNC,2-1,Regular Season: Week 1
173223,117188,TH,13-5,Regular Season: Week 1
173223,117189,TH,13-2,Regular Season: Week 1
173223,all,TH,2-0,Regular Season: Week 1
180279,118198,FRTTT,13-10,Showmatch: Showmatch
180279,all,FRTTT,1-0,Showmatch: Showmatch
183774,118923,SEN,13-11,Regular Season: Week 1
183774,118924,100T,14-12,Regular Season: Week 1
183774,118925,SEN,14-12,Regular Season: Week 1
183774,all,SEN,2-1,Regular Season: Week 1
