Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Americas,Less,LOUD,https://www.vlr.gg/player/8447/less,50%50%,167,1.29,239,1.51,75%,159.2,0.87,0.20,0.10,0.08,28%,35%,6/17,25,145,96,34,16,13
Americas,kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,67%33%,136,1.21,242,1.21,75%,153.3,0.84,0.28,0.11,0.11,29%,6%,1/17,35,114,94,38,15,15
Americas,Demon1,EG,https://www.vlr.gg/player/26171/demon1,83%17%,252,1.15,235,1.24,71%,156.9,0.83,0.17,0.15,0.12,37%,8%,2/25,28,210,169,42,38,29
Americas,crashies,NRG,https://www.vlr.gg/player/4/crashies,73%27%,343,1.14,201,1.09,79%,133.6,0.69,0.47,0.05,0.06,30%,21%,10/48,23,237,217,162,16,21
Americas,aspas,LOUD,https://www.vlr.gg/player/8480/aspas,50%25%25%,167,1.13,223,1.29,75%,144.4,0.81,0.20,0.12,0.11,25%,18%,3/17,24,135,105,34,20,19
Americas,s0m,NRG,https://www.vlr.gg/player/4164/s0m,40%33%20%+1,343,1.10,202,1.16,76%,129.1,0.76,0.35,0.06,0.06,27%,11%,3/28,25,259,223,120,22,22
Americas,cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,38%38%25%,167,1.09,210,1.11,77%,137.2,0.73,0.31,0.09,0.07,26%,19%,3/16,19,122,110,51,15,12
Americas,saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,63%25%13%,167,1.08,208,1.11,72%,126.7,0.69,0.43,0.14,0.13,20%,15%,2/13,22,115,104,71,23,21
Americas,ardiis,NRG,https://www.vlr.gg/player/98/ardiis,73%13%13%,343,1.07,224,1.12,73%,144.3,0.76,0.24,0.22,0.13,19%,19%,5/27,27,261,233,82,77,45
Americas,Zellsis,C9,https://www.vlr.gg/player/729/zellsis,50%25%13%+1,165,1.05,183,1.03,73%,122.3,0.65,0.26,0.07,0.07,18%,22%,5/23,20,107,104,43,11,11
Americas,Ethan,EG,https://www.vlr.gg/player/11225/ethan,42%33%25%,252,1.05,184,0.95,75%,114.1,0.62,0.54,0.08,0.07,20%,16%,5/31,20,155,164,136,20,18
Americas,C0M,EG,https://www.vlr.gg/player/619/c0m,58%33%8%,252,1.02,186,1.00,73%,122.3,0.63,0.30,0.07,0.08,21%,12%,5/43,19,160,160,76,17,19
Americas,mwzera,FUR,https://www.vlr.gg/player/939/mwzera,43%29%29%,155,1.01,206,0.98,75%,144.1,0.68,0.39,0.07,0.08,22%,36%,4/11,24,106,108,60,11,13
