Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Americas,TenZ,SEN,https://www.vlr.gg/player/9/tenz,75%13%13%,167,1.24,246,1.25,82%,158.4,0.84,0.46,0.17,0.11,24%,0%,0/13,30,141,113,77,28,18
Americas,Derrek,EG,https://www.vlr.gg/player/1533/derrek,33%33%33%,58,1.15,227,1.05,72%,147.5,0.74,0.26,0.10,0.03,31%,13%,2/15,20,43,41,15,6,2
Americas,tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,63%25%13%,158,1.14,205,1.19,73%,137.4,0.75,0.42,0.05,0.04,29%,23%,9/40,19,118,99,67,8,6
Americas,zekken,SEN,https://www.vlr.gg/player/4004/zekken,75%25%,167,1.12,243,1.20,74%,154.8,0.84,0.19,0.23,0.13,28%,7%,1/14,31,140,117,32,39,22
Americas,Less,LOUD,https://www.vlr.gg/player/8447/less,100%,158,1.09,203,1.13,73%,138.8,0.73,0.21,0.06,0.07,32%,9%,2/22,20,115,102,33,9,11
Americas,johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,63%38%,167,1.06,187,1.15,75%,124.4,0.68,0.27,0.03,0.07,26%,29%,8/28,19,113,98,45,5,11
Americas,Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,38%25%25%+1,167,1.02,187,1.03,74%,118.7,0.66,0.39,0.08,0.08,16%,12%,2/17,17,111,108,65,14,13
Americas,Sacy,SEN,https://www.vlr.gg/player/659/sacy,38%38%13%+1,167,1.00,194,0.93,74%,135.0,0.63,0.46,0.05,0.05,26%,36%,5/14,23,106,114,76,8,9
Americas,supamen,EG,https://www.vlr.gg/player/826/supamen,67%33%,58,0.99,155,0.83,67%,101.8,0.52,0.28,0.09,0.10,33%,20%,2/10,19,30,36,16,5,6
Americas,Apoth,EG,https://www.vlr.gg/player/5188/apoth,67%33%,58,0.99,220,1.00,59%,156.8,0.74,0.21,0.07,0.19,33%,33%,1/3,18,43,43,12,4,11
Americas,cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,75%25%,158,0.98,198,0.99,71%,120.2,0.72,0.31,0.15,0.11,28%,0%,0/9,20,114,115,49,23,17
Americas,Victor,NRG,https://www.vlr.gg/player/261/victor,33%33%33%,67,0.95,186,1.10,69%,120.8,0.69,0.10,0.07,0.12,26%,17%,1/6,19,46,42,7,5,8
