Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Americas,Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,36%36%18%+1,227,1.23,237,1.37,77%,156.2,0.87,0.26,0.15,0.06,24%,6%,1/17,26,197,144,58,34,13
Americas,eeiu,100T,https://www.vlr.gg/player/796/eeiu,55%45%,227,1.18,201,1.26,78%,137.9,0.72,0.36,0.07,0.04,31%,8%,3/39,21,164,130,81,15,10
Americas,valyn,G2,https://www.vlr.gg/player/3885/valyn,53%20%13%+1,331,1.18,222,1.16,76%,144.2,0.79,0.38,0.12,0.08,26%,27%,12/45,26,260,225,125,40,26
Americas,aspas,LEV,https://www.vlr.gg/player/8480/aspas,55%45%,248,1.16,246,1.25,73%,163.9,0.88,0.18,0.17,0.11,31%,10%,3/29,28,217,173,44,42,28
Americas,tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,50%50%,36,1.14,195,0.96,75%,116.0,0.72,0.36,0.08,0.03,36%,17%,1/6,16,26,27,13,3,1
Americas,Asuna,100T,https://www.vlr.gg/player/601/asuna,64%18%18%,227,1.13,240,1.21,76%,152.8,0.82,0.34,0.13,0.13,21%,15%,2/13,23,187,154,78,29,29
Americas,bang,100T,https://www.vlr.gg/player/3880/bang,73%27%,227,1.10,202,1.21,78%,128.0,0.73,0.31,0.11,0.09,34%,6%,1/18,21,165,136,71,25,21
Americas,leaf,G2,https://www.vlr.gg/player/7873/leaf,53%27%20%,331,1.05,218,1.08,70%,145.5,0.78,0.20,0.11,0.11,25%,9%,3/33,24,258,239,65,38,35
Americas,trent,G2,https://www.vlr.gg/player/15500/trent,53%27%20%,331,1.05,193,1.00,72%,130.0,0.65,0.32,0.08,0.08,26%,17%,8/46,29,216,217,105,28,25
Americas,Mazino,LEV,https://www.vlr.gg/player/7603/mazino,27%18%18%+2,248,1.03,222,1.00,75%,144.2,0.77,0.44,0.07,0.11,28%,15%,4/26,26,190,190,109,17,27
Americas,Shyy,KRÜ,https://www.vlr.gg/player/24007/shyy,80%20%,103,0.98,198,1.03,67%,129.0,0.72,0.08,0.07,0.05,25%,18%,4/22,22,74,72,8,7,5
Americas,Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,50%50%,47,0.96,213,0.94,74%,143.1,0.72,0.36,0.06,0.00,29%,0%,0/5,23,34,36,17,3,0
Americas,keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,40%40%20%,103,0.94,227,0.95,62%,152.5,0.76,0.20,0.14,0.18,27%,0%,0/7,23,78,82,21,14,19
Americas,kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,73%27%,248,0.94,191,0.93,71%,124.9,0.65,0.34,0.08,0.08,27%,7%,2/27,25,162,174,85,21,21
Americas,Melser,KRÜ,https://www.vlr.gg/player/1311/melser,60%40%,103,0.92,176,0.89,66%,116.7,0.63,0.24,0.09,0.10,35%,19%,3/16,17,65,73,25,9,10
Americas,moose,C9,https://www.vlr.gg/player/7458/moose,100%,47,0.92,215,1.03,62%,136.4,0.74,0.09,0.15,0.13,29%,14%,1/7,18,35,34,4,7,6
Americas,icy,G2,https://www.vlr.gg/player/8402/icy,47%27%13%+1,331,0.92,190,0.93,69%,127.8,0.69,0.17,0.13,0.14,28%,14%,4/28,26,230,247,55,42,47
